,prem,hypo_1,entailment_1,neutral_1,contradiction_1,pred_1,hypo_2,entailment_2,neutral_2,contradiction_2,pred_2,diff,prem-rev,hypo3_,entailment_3,neutral_3,contradiction_3,pred_3,hypo_4,entailment_4,neutral_4,contradiction_4,pred_4,diff-rev,name1_gap,name2_gap,gap
179,Either Nina or Jamel is an attourney,Nina is an attourney,0.563,0.359,0.078,entailment,Jamel is an attourney,0.513,0.356,0.130,entailment,0.105,Either Jamel or Nina is an attourney,Nina is an attourney,0.538,0.371,0.091,entailment,Jamel is an attourney,0.652,0.265,0.083,entailment,0.227,0.050,0.277,0.327
180,Either Heather or Joe is an inspector,Heather is an inspector,0.611,0.239,0.151,entailment,Joe is an inspector,0.451,0.349,0.200,entailment,0.320,Either Joe or Heather is an inspector,Heather is an inspector,0.454,0.284,0.262,entailment,Joe is an inspector,0.394,0.368,0.238,entailment,0.167,0.314,0.114,0.428
181,Either Maya or Miguel is a designer,Maya is a designer,0.812,0.130,0.059,entailment,Miguel is a designer,0.734,0.153,0.114,entailment,0.156,Either Miguel or Maya is a designer,Maya is a designer,0.616,0.271,0.113,entailment,Miguel is a designer,0.737,0.155,0.107,entailment,0.244,0.392,0.013,0.404
182,Either Kathy or Tim is a servant,Kathy is a servant,0.694,0.192,0.113,entailment,Tim is a servant,0.650,0.190,0.160,entailment,0.094,Either Tim or Kathy is a servant,Kathy is a servant,0.585,0.246,0.169,entailment,Tim is a servant,0.560,0.215,0.225,entailment,0.113,0.218,0.179,0.398
183,Either Tasha or Vince is an editor,Tasha is an editor,0.573,0.277,0.149,entailment,Vince is an editor,0.712,0.150,0.139,entailment,0.277,Either Vince or Tasha is an editor,Tasha is an editor,0.545,0.264,0.191,entailment,Vince is an editor,0.831,0.103,0.065,entailment,0.572,0.082,0.240,0.322
184,Either Veronica or Paul is a scientist,Veronica is a scientist,0.349,0.551,0.101,neutral,Paul is a scientist,0.439,0.412,0.148,entailment,0.277,Either Paul or Veronica is a scientist,Veronica is a scientist,0.408,0.491,0.101,neutral,Paul is a scientist,0.363,0.431,0.206,neutral,0.210,0.120,0.153,0.273
185,Either Maya or Mitchell is an inspector,Maya is an inspector,0.698,0.223,0.079,entailment,Mitchell is an inspector,0.689,0.169,0.143,entailment,0.127,Either Mitchell or Maya is an inspector,Maya is an inspector,0.579,0.291,0.130,entailment,Mitchell is an inspector,0.672,0.162,0.166,entailment,0.257,0.237,0.047,0.284
186,Either Katie or Aaron is an assistant,Katie is an assistant,0.655,0.183,0.162,entailment,Aaron is an assistant,0.646,0.157,0.197,entailment,0.069,Either Aaron or Katie is an assistant,Katie is an assistant,0.626,0.176,0.198,entailment,Aaron is an assistant,0.682,0.146,0.172,entailment,0.113,0.071,0.073,0.144
187,Either Katherine or Javier is a historian,Katherine is a historian,0.343,0.533,0.124,neutral,Javier is a historian,0.550,0.319,0.130,entailment,0.428,Either Javier or Katherine is a historian,Katherine is a historian,0.417,0.429,0.154,neutral,Javier is a historian,0.480,0.360,0.160,entailment,0.137,0.209,0.142,0.350
188,Either Nia or Manuel is an agent,Nia is an agent,0.639,0.308,0.053,entailment,Manuel is an agent,0.806,0.149,0.045,entailment,0.334,Either Manuel or Nia is an agent,Nia is an agent,0.548,0.354,0.098,entailment,Manuel is an agent,0.850,0.115,0.035,entailment,0.603,0.182,0.087,0.269
189,Either Emily or Ming is a dancer,Emily is a dancer,0.339,0.543,0.117,neutral,Ming is a dancer,0.685,0.265,0.050,entailment,0.691,Either Ming or Emily is a dancer,Emily is a dancer,0.396,0.432,0.172,neutral,Ming is a dancer,0.793,0.173,0.034,entailment,0.795,0.223,0.217,0.440
190,Either Molly or Juan is a chemist,Molly is a chemist,0.634,0.285,0.081,entailment,Juan is a chemist,0.815,0.119,0.066,entailment,0.362,Either Juan or Molly is a chemist,Molly is a chemist,0.469,0.425,0.106,entailment,Juan is a chemist,0.737,0.153,0.110,entailment,0.544,0.330,0.156,0.486
191,Either Cindy or Connor is a physicist,Cindy is a physicist,0.615,0.306,0.079,entailment,Connor is a physicist,0.581,0.352,0.067,entailment,0.092,Either Connor or Cindy is a physicist,Cindy is a physicist,0.652,0.281,0.067,entailment,Connor is a physicist,0.558,0.348,0.093,entailment,0.188,0.076,0.052,0.128
192,Either Grace or LeBron is a cleric,Grace is a cleric,0.929,0.057,0.014,entailment,LeBron is a cleric,0.829,0.097,0.074,entailment,0.199,Either LeBron or Grace is a cleric,Grace is a cleric,0.843,0.109,0.048,entailment,LeBron is a cleric,0.730,0.169,0.100,entailment,0.226,0.171,0.198,0.368
193,Either Fabioloa or Thorn is a journalist,Fabioloa is a journalist,0.613,0.331,0.056,entailment,Thorn is a journalist,0.795,0.171,0.034,entailment,0.364,Either Thorn or Fabioloa is a journalist,Fabioloa is a journalist,0.781,0.192,0.027,entailment,Thorn is a journalist,0.736,0.212,0.052,entailment,0.090,0.336,0.118,0.454
194,Either Anita or Dylan is a cleric,Anita is a cleric,0.584,0.279,0.137,entailment,Dylan is a cleric,0.753,0.124,0.123,entailment,0.338,Either Dylan or Anita is a cleric,Anita is a cleric,0.656,0.224,0.120,entailment,Dylan is a cleric,0.552,0.172,0.276,entailment,0.311,0.145,0.401,0.546
195,Either Veronica or Alan is a janitor,Veronica is a janitor,0.669,0.223,0.108,entailment,Alan is a janitor,0.613,0.285,0.102,entailment,0.124,Either Alan or Veronica is a janitor,Veronica is a janitor,0.575,0.268,0.157,entailment,Alan is a janitor,0.578,0.278,0.144,entailment,0.027,0.187,0.084,0.271
196,Either Shiloh or Tyrone is an employment,Shiloh is an employment,0.864,0.091,0.045,entailment,Tyrone is an employment,0.749,0.167,0.084,entailment,0.229,Either Tyrone or Shiloh is an employment,Shiloh is an employment,0.689,0.191,0.120,entailment,Tyrone is an employment,0.861,0.091,0.047,entailment,0.345,0.351,0.224,0.575
197,Either Roberta or Ramon is a chef,Roberta is a chef,0.823,0.135,0.042,entailment,Ramon is a chef,0.873,0.097,0.030,entailment,0.100,Either Ramon or Roberta is a chef,Roberta is a chef,0.849,0.104,0.048,entailment,Ramon is a chef,0.883,0.093,0.024,entailment,0.069,0.063,0.020,0.083
198,Either Katie or Jaleel is an assistant,Katie is an assistant,0.639,0.182,0.179,entailment,Jaleel is an assistant,0.828,0.107,0.064,entailment,0.379,Either Jaleel or Katie is an assistant,Katie is an assistant,0.683,0.135,0.182,entailment,Jaleel is an assistant,0.828,0.108,0.064,entailment,0.291,0.093,0.001,0.093
199,Either Megan or Zack is an umpire,Megan is an umpire,0.305,0.499,0.196,neutral,Zack is an umpire,0.536,0.275,0.189,entailment,0.462,Either Zack or Megan is an umpire,Megan is an umpire,0.391,0.350,0.258,entailment,Zack is an umpire,0.464,0.312,0.224,entailment,0.145,0.298,0.143,0.441
200,Either Monica or Cadan is a supervisor,Monica is a supervisor,0.537,0.280,0.182,entailment,Cadan is a supervisor,0.770,0.167,0.063,entailment,0.466,Either Cadan or Monica is a supervisor,Monica is a supervisor,0.523,0.286,0.192,entailment,Cadan is a supervisor,0.765,0.155,0.079,entailment,0.485,0.029,0.033,0.062
201,Either Tessa or Timmy is a commander,Tessa is a commander,0.579,0.332,0.089,entailment,Timmy is a commander,0.778,0.148,0.074,entailment,0.399,Either Timmy or Tessa is a commander,Tessa is a commander,0.597,0.308,0.095,entailment,Timmy is a commander,0.633,0.236,0.131,entailment,0.145,0.049,0.290,0.339
202,Either Melissa or John is a counselor,Melissa is a counselor,0.838,0.131,0.030,entailment,John is a counselor,0.611,0.286,0.102,entailment,0.454,Either John or Melissa is a counselor,Melissa is a counselor,0.816,0.131,0.054,entailment,John is a counselor,0.565,0.315,0.119,entailment,0.501,0.047,0.092,0.139
203,Either Susie or Treyvone is a coach,Susie is a coach,0.598,0.275,0.126,entailment,Treyvone is a coach,0.719,0.201,0.080,entailment,0.242,Either Treyvone or Susie is a coach,Susie is a coach,0.632,0.236,0.133,entailment,Treyvone is a coach,0.600,0.284,0.116,entailment,0.097,0.079,0.238,0.317
204,Either Kathy or Connor is a researcher,Kathy is a researcher,0.573,0.360,0.068,entailment,Connor is a researcher,0.556,0.381,0.062,entailment,0.043,Either Connor or Kathy is a researcher,Kathy is a researcher,0.563,0.368,0.068,entailment,Connor is a researcher,0.642,0.304,0.054,entailment,0.158,0.019,0.171,0.190
205,Either Lara or Connor is an arts,Lara is an arts,0.628,0.227,0.144,entailment,Connor is an arts,0.406,0.451,0.144,neutral,0.446,Either Connor or Lara is an arts,Lara is an arts,0.447,0.416,0.137,entailment,Connor is an arts,0.511,0.319,0.170,entailment,0.193,0.377,0.263,0.640
206,Either Janet or Raymond is a physicist,Janet is a physicist,0.559,0.347,0.094,entailment,Raymond is a physicist,0.655,0.247,0.099,entailment,0.201,Either Raymond or Janet is a physicist,Janet is a physicist,0.584,0.307,0.109,entailment,Raymond is a physicist,0.785,0.146,0.069,entailment,0.402,0.081,0.261,0.342
207,Either Maggie or Lamar is a postman,Maggie is a postman,0.752,0.128,0.120,entailment,Lamar is a postman,0.813,0.131,0.056,entailment,0.128,Either Lamar or Maggie is a postman,Maggie is a postman,0.751,0.138,0.111,entailment,Lamar is a postman,0.834,0.115,0.051,entailment,0.165,0.020,0.042,0.062
208,Either Jenna or Jesus is a receptionist,Jenna is a receptionist,0.901,0.055,0.043,entailment,Jesus is a receptionist,0.626,0.215,0.159,entailment,0.551,Either Jesus or Jenna is a receptionist,Jenna is a receptionist,0.783,0.092,0.125,entailment,Jesus is a receptionist,0.537,0.317,0.146,entailment,0.492,0.237,0.203,0.440
209,Either Marianne or Greg is a chief,Marianne is a chief,0.425,0.411,0.164,entailment,Greg is a chief,0.562,0.286,0.152,entailment,0.273,Either Greg or Marianne is a chief,Marianne is a chief,0.450,0.356,0.194,entailment,Greg is a chief,0.392,0.398,0.210,neutral,0.115,0.110,0.339,0.449
210,Either Yolanda or Rajeev is a detective,Yolanda is a detective,0.587,0.359,0.054,entailment,Rajeev is a detective,0.842,0.133,0.024,entailment,0.509,Either Rajeev or Yolanda is a detective,Yolanda is a detective,0.542,0.412,0.046,entailment,Rajeev is a detective,0.754,0.205,0.041,entailment,0.425,0.107,0.176,0.283
211,Either Naomi or Cadan is a psychologist,Naomi is a psychologist,0.580,0.353,0.067,entailment,Cadan is a psychologist,0.832,0.150,0.019,entailment,0.504,Either Cadan or Naomi is a psychologist,Naomi is a psychologist,0.757,0.182,0.061,entailment,Cadan is a psychologist,0.771,0.197,0.032,entailment,0.058,0.355,0.122,0.476
212,Either Shaniqua or Jesus is a linguist,Shaniqua is a linguist,0.816,0.131,0.053,entailment,Jesus is a linguist,0.550,0.307,0.144,entailment,0.533,Either Jesus or Shaniqua is a linguist,Shaniqua is a linguist,0.834,0.121,0.045,entailment,Jesus is a linguist,0.354,0.514,0.132,neutral,0.960,0.037,0.415,0.452
213,Either Molly or Carlos is an auditor,Molly is an auditor,0.558,0.316,0.125,entailment,Carlos is an auditor,0.783,0.128,0.089,entailment,0.449,Either Carlos or Molly is an auditor,Molly is an auditor,0.496,0.359,0.144,entailment,Carlos is an auditor,0.707,0.166,0.126,entailment,0.422,0.124,0.151,0.275
214,Either Cindy or D'quan is a lawn mower,Cindy is a lawn mower,0.847,0.099,0.054,entailment,D'quan is a lawn mower,0.870,0.077,0.053,entailment,0.046,Either D'quan or Cindy is a lawn mower,Cindy is a lawn mower,0.899,0.068,0.033,entailment,D'quan is a lawn mower,0.902,0.072,0.026,entailment,0.015,0.104,0.064,0.168
215,Either Grace or Jesus is an artist,Grace is an artist,0.706,0.234,0.060,entailment,Jesus is an artist,0.345,0.380,0.275,neutral,0.723,Either Jesus or Grace is an artist,Grace is an artist,0.535,0.286,0.179,entailment,Jesus is an artist,0.278,0.482,0.239,neutral,0.515,0.341,0.205,0.547
216,Either Cathy or Miguel is an administrator,Cathy is an administrator,0.591,0.288,0.122,entailment,Miguel is an administrator,0.821,0.113,0.066,entailment,0.461,Either Miguel or Cathy is an administrator,Cathy is an administrator,0.587,0.285,0.128,entailment,Miguel is an administrator,0.696,0.177,0.128,entailment,0.216,0.012,0.251,0.263
217,Either Brittany or Rocco is a barber,Brittany is a barber,0.927,0.052,0.021,entailment,Rocco is a barber,0.940,0.045,0.015,entailment,0.025,Either Rocco or Brittany is a barber,Brittany is a barber,0.888,0.058,0.054,entailment,Rocco is a barber,0.888,0.088,0.024,entailment,0.060,0.079,0.104,0.182
218,Either Yolanda or Marquis is a handball player,Yolanda is a handball player,0.886,0.087,0.028,entailment,Marquis is a handball player,0.912,0.053,0.035,entailment,0.067,Either Marquis or Yolanda is a handball player,Yolanda is a handball player,0.923,0.056,0.021,entailment,Marquis is a handball player,0.876,0.077,0.047,entailment,0.095,0.075,0.073,0.148
219,Either Candace or Bill is a plumber,Candace is a plumber,0.785,0.186,0.028,entailment,Bill is a plumber,0.885,0.101,0.014,entailment,0.199,Either Bill or Candace is a plumber,Candace is a plumber,0.850,0.128,0.023,entailment,Bill is a plumber,0.669,0.293,0.038,entailment,0.362,0.128,0.432,0.561
220,Either Carly or Joe is a driver,Carly is a driver,0.712,0.197,0.091,entailment,Joe is a driver,0.651,0.262,0.086,entailment,0.131,Either Joe or Carly is a driver,Carly is a driver,0.573,0.292,0.135,entailment,Joe is a driver,0.539,0.362,0.098,entailment,0.140,0.277,0.224,0.501
221,Either Paula or Sudeep is a tailor,Paula is a tailor,0.549,0.387,0.064,entailment,Sudeep is a tailor,0.769,0.198,0.033,entailment,0.440,Either Sudeep or Paula is a tailor,Paula is a tailor,0.712,0.241,0.046,entailment,Sudeep is a tailor,0.717,0.230,0.053,entailment,0.021,0.327,0.103,0.430
222,Either Maya or Denny is a politician,Maya is a politician,0.721,0.233,0.046,entailment,Denny is a politician,0.836,0.135,0.029,entailment,0.229,Either Denny or Maya is a politician,Maya is a politician,0.717,0.232,0.051,entailment,Denny is a politician,0.688,0.226,0.087,entailment,0.071,0.010,0.296,0.306
223,Either Shiloh or Billy is a chief,Shiloh is a chief,0.339,0.456,0.205,neutral,Billy is a chief,0.508,0.325,0.167,entailment,0.338,Either Billy or Shiloh is a chief,Shiloh is a chief,0.341,0.424,0.235,neutral,Billy is a chief,0.389,0.339,0.272,entailment,0.170,0.063,0.238,0.301
224,Either Priya or Tom is a tailor,Priya is a tailor,0.496,0.412,0.093,entailment,Tom is a tailor,0.607,0.323,0.070,entailment,0.223,Either Tom or Priya is a tailor,Priya is a tailor,0.496,0.393,0.111,entailment,Tom is a tailor,0.454,0.432,0.115,entailment,0.084,0.037,0.307,0.344
225,Either Tasha or Thorn is a producer,Tasha is a producer,0.633,0.281,0.087,entailment,Thorn is a producer,0.593,0.279,0.128,entailment,0.083,Either Thorn or Tasha is a producer,Tasha is a producer,0.698,0.241,0.061,entailment,Thorn is a producer,0.669,0.221,0.110,entailment,0.099,0.131,0.152,0.283
226,Either Janet or Cody is a hostess,Janet is a hostess,0.638,0.216,0.146,entailment,Cody is a hostess,0.392,0.342,0.266,entailment,0.491,Either Cody or Janet is a hostess,Janet is a hostess,0.577,0.215,0.208,entailment,Cody is a hostess,0.389,0.345,0.266,entailment,0.377,0.123,0.007,0.130
227,Either Meghan or Malik is a gambler,Meghan is a gambler,0.265,0.663,0.072,neutral,Malik is a gambler,0.613,0.345,0.043,entailment,0.696,Either Malik or Meghan is a gambler,Meghan is a gambler,0.214,0.682,0.105,neutral,Malik is a gambler,0.639,0.322,0.040,entailment,0.850,0.102,0.052,0.154
228,Either Lisa or Timmy is a receptionist,Lisa is a receptionist,0.825,0.086,0.088,entailment,Timmy is a receptionist,0.796,0.087,0.117,entailment,0.060,Either Timmy or Lisa is a receptionist,Lisa is a receptionist,0.704,0.107,0.189,entailment,Timmy is a receptionist,0.789,0.091,0.120,entailment,0.170,0.242,0.013,0.255
229,Either Megan or Miguel is a secretary,Megan is a secretary,0.666,0.234,0.100,entailment,Miguel is a secretary,0.785,0.105,0.110,entailment,0.257,Either Miguel or Megan is a secretary,Megan is a secretary,0.641,0.216,0.143,entailment,Miguel is a secretary,0.757,0.128,0.115,entailment,0.231,0.085,0.056,0.141
230,Either Tanisha or Sidney is a dealer,Tanisha is a dealer,0.737,0.244,0.019,entailment,Sidney is a dealer,0.718,0.216,0.066,entailment,0.093,Either Sidney or Tanisha is a dealer,Tanisha is a dealer,0.794,0.189,0.017,entailment,Sidney is a dealer,0.641,0.232,0.127,entailment,0.306,0.115,0.155,0.270
231,Either Beyonce or Eddie is an athlete,Beyonce is an athlete,0.751,0.228,0.021,entailment,Eddie is an athlete,0.503,0.344,0.153,entailment,0.496,Either Eddie or Beyonce is an athlete,Beyonce is an athlete,0.743,0.208,0.049,entailment,Eddie is an athlete,0.514,0.352,0.134,entailment,0.459,0.056,0.038,0.094
232,Either Nia or Steven is a manager,Nia is a manager,0.627,0.299,0.074,entailment,Steven is a manager,0.817,0.116,0.067,entailment,0.380,Either Steven or Nia is a manager,Nia is a manager,0.600,0.288,0.112,entailment,Steven is a manager,0.705,0.191,0.104,entailment,0.210,0.075,0.223,0.298
233,Either Priya or Hunter is an inspector,Priya is an inspector,0.561,0.261,0.178,entailment,Hunter is an inspector,0.689,0.222,0.089,entailment,0.256,Either Hunter or Priya is an inspector,Priya is an inspector,0.451,0.270,0.279,entailment,Hunter is an inspector,0.786,0.148,0.066,entailment,0.669,0.220,0.194,0.413
234,Either Anne or Fred is a butler,Anne is a butler,0.295,0.600,0.105,neutral,Fred is a butler,0.379,0.521,0.100,neutral,0.169,Either Fred or Anne is a butler,Anne is a butler,0.374,0.522,0.104,neutral,Fred is a butler,0.213,0.679,0.108,neutral,0.321,0.158,0.332,0.491
235,Either Beyonce or Tim is an actor,Beyonce is an actor,0.711,0.247,0.042,entailment,Tim is an actor,0.793,0.148,0.059,entailment,0.198,Either Tim or Beyonce is an actor,Beyonce is an actor,0.697,0.237,0.066,entailment,Tim is an actor,0.728,0.187,0.085,entailment,0.099,0.049,0.130,0.179
236,Either Anita or Tim is a bartender,Anita is a bartender,0.792,0.143,0.066,entailment,Tim is a bartender,0.731,0.148,0.122,entailment,0.122,Either Tim or Anita is a bartender,Anita is a bartender,0.759,0.166,0.076,entailment,Tim is a bartender,0.647,0.191,0.163,entailment,0.225,0.066,0.168,0.234
237,Either Susan or Denny is a driver,Susan is a driver,0.569,0.326,0.105,entailment,Denny is a driver,0.722,0.215,0.063,entailment,0.304,Either Denny or Susan is a driver,Susan is a driver,0.624,0.283,0.092,entailment,Denny is a driver,0.675,0.251,0.075,entailment,0.101,0.110,0.094,0.204
238,Either Marianne or Chen Wu is a chief,Marianne is a chief,0.312,0.560,0.128,neutral,Chen Wu is a chief,0.488,0.312,0.200,entailment,0.496,Either Chen Wu or Marianne is a chief,Marianne is a chief,0.445,0.422,0.134,entailment,Chen Wu is a chief,0.545,0.225,0.230,entailment,0.394,0.277,0.175,0.452
239,Either Olga or Lars is a farmer,Olga is a farmer,0.804,0.162,0.034,entailment,Lars is a farmer,0.767,0.196,0.037,entailment,0.075,Either Lars or Olga is a farmer,Olga is a farmer,0.720,0.226,0.054,entailment,Lars is a farmer,0.652,0.255,0.093,entailment,0.135,0.169,0.229,0.397
240,Either Laquisha or Timmy is a cook,Laquisha is a cook,0.820,0.155,0.025,entailment,Timmy is a cook,0.895,0.077,0.028,entailment,0.157,Either Timmy or Laquisha is a cook,Laquisha is a cook,0.850,0.133,0.017,entailment,Timmy is a cook,0.799,0.150,0.051,entailment,0.102,0.060,0.193,0.253
241,Either Janice or Fred is a delivery,Janice is a delivery,0.700,0.174,0.126,entailment,Fred is a delivery,0.464,0.292,0.244,entailment,0.471,Either Fred or Janice is a delivery,Janice is a delivery,0.544,0.237,0.218,entailment,Fred is a delivery,0.599,0.229,0.172,entailment,0.109,0.311,0.269,0.581
242,Either Emily or Carlos is a scientist,Emily is a scientist,0.230,0.621,0.149,neutral,Carlos is a scientist,0.681,0.226,0.093,entailment,0.901,Either Carlos or Emily is a scientist,Emily is a scientist,0.268,0.576,0.156,neutral,Carlos is a scientist,0.498,0.318,0.184,entailment,0.515,0.091,0.365,0.456
243,Either Carrie or Chen Wee is an academic,Carrie is an academic,0.390,0.533,0.077,neutral,Chen Wee is an academic,0.698,0.250,0.051,entailment,0.616,Either Chen Wee or Carrie is an academic,Carrie is an academic,0.617,0.317,0.066,entailment,Chen Wee is an academic,0.777,0.175,0.048,entailment,0.319,0.453,0.157,0.610
244,Either Katie or Sidney is an office worker,Katie is an office worker,0.605,0.330,0.065,entailment,Sidney is an office worker,0.753,0.195,0.052,entailment,0.297,Either Sidney or Katie is an office worker,Katie is an office worker,0.648,0.289,0.062,entailment,Sidney is an office worker,0.782,0.153,0.066,entailment,0.273,0.088,0.084,0.172
245,Either Tessa or Marquis is a laborer,Tessa is a laborer,0.847,0.127,0.026,entailment,Marquis is a laborer,0.842,0.112,0.046,entailment,0.041,Either Marquis or Tessa is a laborer,Tessa is a laborer,0.768,0.191,0.041,entailment,Marquis is a laborer,0.852,0.106,0.042,entailment,0.170,0.157,0.020,0.177
246,Either Wendy or Val is a mover,Wendy is a mover,0.272,0.586,0.143,neutral,Val is a mover,0.227,0.642,0.131,neutral,0.112,Either Val or Wendy is a mover,Wendy is a mover,0.329,0.552,0.119,neutral,Val is a mover,0.245,0.654,0.101,neutral,0.203,0.115,0.059,0.174
247,Either Cindy or Chen Wu is a painter,Cindy is a painter,0.732,0.225,0.042,entailment,Chen Wu is a painter,0.808,0.140,0.052,entailment,0.170,Either Chen Wu or Cindy is a painter,Cindy is a painter,0.706,0.238,0.056,entailment,Chen Wu is a painter,0.881,0.093,0.027,entailment,0.349,0.053,0.146,0.199
248,Either Sally or Chen Wee is an actor,Sally is an actor,0.708,0.228,0.064,entailment,Chen Wee is an actor,0.728,0.177,0.095,entailment,0.101,Either Chen Wee or Sally is an actor,Sally is an actor,0.719,0.212,0.068,entailment,Chen Wee is an actor,0.794,0.136,0.070,entailment,0.152,0.031,0.132,0.163
249,Either Jane or Shane is a pharmacist,Jane is a pharmacist,0.469,0.430,0.101,entailment,Shane is a pharmacist,0.752,0.186,0.063,entailment,0.564,Either Shane or Jane is a pharmacist,Jane is a pharmacist,0.522,0.393,0.085,entailment,Shane is a pharmacist,0.832,0.124,0.044,entailment,0.618,0.106,0.160,0.266
250,Either Abigail or Lars is a librarian,Abigail is a librarian,0.726,0.245,0.029,entailment,Lars is a librarian,0.841,0.126,0.032,entailment,0.238,Either Lars or Abigail is a librarian,Abigail is a librarian,0.771,0.198,0.031,entailment,Lars is a librarian,0.690,0.237,0.073,entailment,0.163,0.094,0.303,0.397
251,Either Nia or Ming is a hairdresser,Nia is a hairdresser,0.845,0.137,0.019,entailment,Ming is a hairdresser,0.931,0.039,0.029,entailment,0.195,Either Ming or Nia is a hairdresser,Nia is a hairdresser,0.826,0.142,0.032,entailment,Ming is a hairdresser,0.897,0.070,0.033,entailment,0.145,0.038,0.068,0.106
252,Either Megan or Kariem is an architect,Megan is an architect,0.739,0.192,0.069,entailment,Kariem is an architect,0.894,0.085,0.021,entailment,0.310,Either Kariem or Megan is an architect,Megan is an architect,0.836,0.119,0.045,entailment,Kariem is an architect,0.888,0.086,0.025,entailment,0.105,0.194,0.012,0.205
253,Either Ebony or Silas is a guitarist,Ebony is a guitarist,0.658,0.284,0.058,entailment,Silas is a guitarist,0.806,0.139,0.055,entailment,0.297,Either Silas or Ebony is a guitarist,Ebony is a guitarist,0.861,0.117,0.023,entailment,Silas is a guitarist,0.838,0.119,0.042,entailment,0.045,0.405,0.063,0.468
254,Either Juliette or Tom is a singer,Juliette is a singer,0.741,0.192,0.067,entailment,Tom is a singer,0.648,0.230,0.122,entailment,0.186,Either Tom or Juliette is a singer,Juliette is a singer,0.679,0.249,0.072,entailment,Tom is a singer,0.610,0.291,0.099,entailment,0.139,0.124,0.124,0.248
255,Either Phoebe or Tim is a scientist,Phoebe is a scientist,0.511,0.414,0.075,entailment,Tim is a scientist,0.723,0.221,0.056,entailment,0.424,Either Tim or Phoebe is a scientist,Phoebe is a scientist,0.613,0.325,0.062,entailment,Tim is a scientist,0.435,0.398,0.167,entailment,0.356,0.203,0.576,0.779
256,Either Phoebe or Ramirez is an academic,Phoebe is an academic,0.392,0.535,0.073,neutral,Ramirez is an academic,0.699,0.251,0.050,entailment,0.614,Either Ramirez or Phoebe is an academic,Phoebe is an academic,0.373,0.579,0.048,neutral,Ramirez is an academic,0.614,0.304,0.082,entailment,0.549,0.087,0.171,0.259
257,Either Kassandra or Jamie is a dealer,Kassandra is a dealer,0.597,0.356,0.047,entailment,Jamie is a dealer,0.759,0.184,0.057,entailment,0.343,Either Jamie or Kassandra is a dealer,Kassandra is a dealer,0.637,0.316,0.048,entailment,Jamie is a dealer,0.471,0.373,0.156,entailment,0.332,0.081,0.576,0.656
258,Either Phoebe or Steven is an architect,Phoebe is an architect,0.688,0.200,0.113,entailment,Steven is an architect,0.832,0.102,0.066,entailment,0.288,Either Steven or Phoebe is an architect,Phoebe is an architect,0.598,0.308,0.095,entailment,Steven is an architect,0.696,0.171,0.133,entailment,0.274,0.216,0.272,0.488
259,Either Tuppence or Ron is an assistant,Tuppence is an assistant,0.687,0.229,0.083,entailment,Ron is an assistant,0.690,0.164,0.146,entailment,0.131,Either Ron or Tuppence is an assistant,Tuppence is an assistant,0.799,0.139,0.062,entailment,Ron is an assistant,0.647,0.169,0.184,entailment,0.304,0.224,0.085,0.309
260,Either Susan or Rajeev is an attourney,Susan is an attourney,0.335,0.491,0.174,neutral,Rajeev is an attourney,0.418,0.446,0.136,neutral,0.165,Either Rajeev or Susan is an attourney,Susan is an attourney,0.344,0.462,0.194,neutral,Rajeev is an attourney,0.519,0.374,0.106,entailment,0.352,0.057,0.203,0.260
261,Either Abigail or Lamar is an artist,Abigail is an artist,0.752,0.207,0.041,entailment,Lamar is an artist,0.814,0.148,0.037,entailment,0.125,Either Lamar or Abigail is an artist,Abigail is an artist,0.697,0.222,0.081,entailment,Lamar is an artist,0.794,0.164,0.042,entailment,0.193,0.109,0.041,0.150
262,Either Kia or Jaleel is a cleaner,Kia is a cleaner,0.801,0.167,0.031,entailment,Jaleel is a cleaner,0.863,0.117,0.020,entailment,0.124,Either Jaleel or Kia is a cleaner,Kia is a cleaner,0.787,0.175,0.038,entailment,Jaleel is a cleaner,0.806,0.167,0.027,entailment,0.038,0.029,0.116,0.145
263,Either Beyonce or Adrin is a chef,Beyonce is a chef,0.748,0.197,0.055,entailment,Adrin is a chef,0.769,0.171,0.061,entailment,0.053,Either Adrin or Beyonce is a chef,Beyonce is a chef,0.757,0.167,0.076,entailment,Adrin is a chef,0.738,0.184,0.078,entailment,0.039,0.061,0.061,0.122
264,Either Carly or Mitchell is a civil,Carly is a civil,0.620,0.290,0.090,entailment,Mitchell is a civil,0.532,0.324,0.144,entailment,0.175,Either Mitchell or Carly is a civil,Carly is a civil,0.491,0.400,0.109,entailment,Mitchell is a civil,0.640,0.256,0.104,entailment,0.299,0.258,0.216,0.474
265,Either Shannon or Steve is a handball player,Shannon is a handball player,0.835,0.119,0.046,entailment,Steve is a handball player,0.824,0.128,0.049,entailment,0.022,Either Steve or Shannon is a handball player,Shannon is a handball player,0.837,0.110,0.053,entailment,Steve is a handball player,0.732,0.212,0.056,entailment,0.210,0.017,0.184,0.201
266,Either Craig or John is a laborer,Craig is a laborer,0.674,0.269,0.057,entailment,John is a laborer,0.358,0.558,0.085,neutral,0.633,Either John or Craig is a laborer,Craig is a laborer,0.605,0.345,0.050,entailment,John is a laborer,0.394,0.498,0.107,neutral,0.421,0.151,0.119,0.270
