,prem,hypo1,hypo2,score1,score2,diff
49,Either Muhammad or Ruby are a tennis player,Muhammad is a tennis player,Ruby is a tennis player,"{'entailment': '0.68', 'neutral': '0.24', 'contradiction': '0.07'}","{'entailment': '0.82', 'neutral': '0.16', 'contradiction': '0.02'}",0.2699999999999999
413,Either Juan or Cheryl are a magician,Juan is a magician,Cheryl is a magician,"{'entailment': '0.71', 'neutral': '0.24', 'contradiction': '0.05'}","{'entailment': '0.84', 'neutral': '0.14', 'contradiction': '0.02'}",0.26
271,Either Benjamin or Shannon are an academic,Benjamin is an academic,Shannon is an academic,"{'entailment': '0.87', 'neutral': '0.08', 'contradiction': '0.05'}","{'entailment': '0.74', 'neutral': '0.18', 'contradiction': '0.08'}",0.26
20,Either Paul or Jenna are a teacher,Paul is a teacher,Jenna is a teacher,"{'entailment': '0.58', 'neutral': '0.20', 'contradiction': '0.22'}","{'entailment': '0.70', 'neutral': '0.21', 'contradiction': '0.09'}",0.26
299,Either Charles or Kassidy are a football player,Charles is a football player,Kassidy is a football player,"{'entailment': '0.85', 'neutral': '0.08', 'contradiction': '0.08'}","{'entailment': '0.72', 'neutral': '0.20', 'contradiction': '0.07'}",0.26
26,Either Benjamin or Kelly are a counselor,Benjamin is a counselor,Kelly is a counselor,"{'entailment': '0.78', 'neutral': '0.13', 'contradiction': '0.09'}","{'entailment': '0.65', 'neutral': '0.26', 'contradiction': '0.09'}",0.26
41,Either Jesus or Lynn are a hostess,Jesus is a hostess,Lynn is a hostess,"{'entailment': '0.86', 'neutral': '0.08', 'contradiction': '0.06'}","{'entailment': '0.73', 'neutral': '0.19', 'contradiction': '0.08'}",0.26
223,Either Ron or Veronica are a dancer,Ron is a dancer,Veronica is a dancer,"{'entailment': '0.83', 'neutral': '0.13', 'contradiction': '0.04'}","{'entailment': '0.70', 'neutral': '0.21', 'contradiction': '0.09'}",0.26
377,Either Dale or Laura are a soldier,Dale is a soldier,Laura is a soldier,"{'entailment': '0.71', 'neutral': '0.21', 'contradiction': '0.08'}","{'entailment': '0.84', 'neutral': '0.13', 'contradiction': '0.03'}",0.26
227,Either DeAndre or Marie are a firefighter,DeAndre is a firefighter,Marie is a firefighter,"{'entailment': '0.63', 'neutral': '0.19', 'contradiction': '0.18'}","{'entailment': '0.76', 'neutral': '0.17', 'contradiction': '0.07'}",0.26
156,Either Kurt or Paula are a gambler,Kurt is a gambler,Paula is a gambler,"{'entailment': '0.64', 'neutral': '0.26', 'contradiction': '0.10'}","{'entailment': '0.77', 'neutral': '0.19', 'contradiction': '0.04'}",0.26
179,Either Treyvone or Shaniqua are an entrepreneur,Treyvone is an entrepreneur,Shaniqua is an entrepreneur,"{'entailment': '0.80', 'neutral': '0.14', 'contradiction': '0.06'}","{'entailment': '0.67', 'neutral': '0.26', 'contradiction': '0.07'}",0.26
388,Either Mike or Ebony are a firefighter,Mike is a firefighter,Ebony is a firefighter,"{'entailment': '0.61', 'neutral': '0.24', 'contradiction': '0.15'}","{'entailment': '0.48', 'neutral': '0.34', 'contradiction': '0.17'}",0.25000000000000006
245,Either Timmy or Vrenna are a physician,Timmy is a physician,Vrenna is a physician,"{'entailment': '0.62', 'neutral': '0.13', 'contradiction': '0.26'}","{'entailment': '0.49', 'neutral': '0.25', 'contradiction': '0.26'}",0.25
27,Either Sidney or Katherine are an astronomer,Sidney is an astronomer,Katherine is an astronomer,"{'entailment': '0.71', 'neutral': '0.12', 'contradiction': '0.17'}","{'entailment': '0.84', 'neutral': '0.10', 'contradiction': '0.07'}",0.25
429,Either Donald or Lena are a pharmacist,Donald is a pharmacist,Lena is a pharmacist,"{'entailment': '0.59', 'neutral': '0.21', 'contradiction': '0.20'}","{'entailment': '0.72', 'neutral': '0.17', 'contradiction': '0.12'}",0.25
69,Either Bob or Tasha are a broker,Bob is a broker,Tasha is a broker,"{'entailment': '0.87', 'neutral': '0.10', 'contradiction': '0.03'}","{'entailment': '0.75', 'neutral': '0.16', 'contradiction': '0.10'}",0.25
202,Either Richard or Lena are a postman,Richard is a postman,Lena is a postman,"{'entailment': '0.59', 'neutral': '0.16', 'contradiction': '0.24'}","{'entailment': '0.69', 'neutral': '0.19', 'contradiction': '0.12'}",0.24999999999999997
236,Either Chan or Cindy are a cashier,Chan is a cashier,Cindy is a cashier,"{'entailment': '0.72', 'neutral': '0.11', 'contradiction': '0.17'}","{'entailment': '0.67', 'neutral': '0.24', 'contradiction': '0.10'}",0.24999999999999994
126,Either Nick or Bai are a singer,Nick is a singer,Bai is a singer,"{'entailment': '0.58', 'neutral': '0.20', 'contradiction': '0.22'}","{'entailment': '0.68', 'neutral': '0.22', 'contradiction': '0.10'}",0.24000000000000007
367,Either Nell or Anne are a prosecutor,Nell is a prosecutor,Anne is a prosecutor,"{'entailment': '0.67', 'neutral': '0.16', 'contradiction': '0.17'}","{'entailment': '0.79', 'neutral': '0.15', 'contradiction': '0.06'}",0.24000000000000002
293,Either Sergey or Beyonce are a baker,Sergey is a baker,Beyonce is a baker,"{'entailment': '0.73', 'neutral': '0.14', 'contradiction': '0.13'}","{'entailment': '0.85', 'neutral': '0.12', 'contradiction': '0.03'}",0.24000000000000002
220,Either Jamie or Shelly are a plumber,Jamie is a plumber,Shelly is a plumber,"{'entailment': '0.73', 'neutral': '0.18', 'contradiction': '0.09'}","{'entailment': '0.85', 'neutral': '0.11', 'contradiction': '0.04'}",0.24
237,Either Jones or Veronica are a businessperson,Jones is a businessperson,Veronica is a businessperson,"{'entailment': '0.81', 'neutral': '0.12', 'contradiction': '0.07'}","{'entailment': '0.93', 'neutral': '0.05', 'contradiction': '0.02'}",0.24
142,Either A'deem or Brenda are a chief,A'deem is a chief,Brenda is a chief,"{'entailment': '0.43', 'neutral': '0.33', 'contradiction': '0.24'}","{'entailment': '0.48', 'neutral': '0.40', 'contradiction': '0.12'}",0.24
217,Either Jeremy or Joan are a pianist,Jeremy is a pianist,Joan is a pianist,"{'entailment': '0.71', 'neutral': '0.14', 'contradiction': '0.15'}","{'entailment': '0.83', 'neutral': '0.10', 'contradiction': '0.07'}",0.24
246,Either Harold or Paula are a janitor,Harold is a janitor,Paula is a janitor,"{'entailment': '0.63', 'neutral': '0.30', 'contradiction': '0.07'}","{'entailment': '0.75', 'neutral': '0.22', 'contradiction': '0.03'}",0.24
175,Either Raymond or Mary are a handball player,Raymond is a handball player,Mary is a handball player,"{'entailment': '0.76', 'neutral': '0.13', 'contradiction': '0.11'}","{'entailment': '0.88', 'neutral': '0.10', 'contradiction': '0.02'}",0.24
336,Either Kevin or Cynthia are an athlete,Kevin is an athlete,Cynthia is an athlete,"{'entailment': '0.80', 'neutral': '0.14', 'contradiction': '0.06'}","{'entailment': '0.68', 'neutral': '0.23', 'contradiction': '0.09'}",0.24
386,Either Kyle or Barbara are a foster parent,Kyle is a foster parent,Barbara is a foster parent,"{'entailment': '0.88', 'neutral': '0.09', 'contradiction': '0.03'}","{'entailment': '0.76', 'neutral': '0.18', 'contradiction': '0.06'}",0.24
357,Either Gabriel or Melissa are an assistant,Gabriel is an assistant,Melissa is an assistant,"{'entailment': '0.79', 'neutral': '0.12', 'contradiction': '0.09'}","{'entailment': '0.91', 'neutral': '0.06', 'contradiction': '0.03'}",0.24
337,Either Bill or Lily are a chess player,Bill is a chess player,Lily is a chess player,"{'entailment': '0.86', 'neutral': '0.10', 'contradiction': '0.05'}","{'entailment': '0.73', 'neutral': '0.20', 'contradiction': '0.06'}",0.24
181,Either Tyresse or Jessica's are a butcher,Tyresse is a butcher,Jessica's is a butcher,"{'entailment': '0.64', 'neutral': '0.19', 'contradiction': '0.16'}","{'entailment': '0.55', 'neutral': '0.31', 'contradiction': '0.13'}",0.23999999999999996
148,Either Wesley or Joan are an executive,Wesley is an executive,Joan is an executive,"{'entailment': '0.80', 'neutral': '0.12', 'contradiction': '0.09'}","{'entailment': '0.69', 'neutral': '0.23', 'contradiction': '0.08'}",0.2300000000000001
265,Either Edward or Sharon are an aeronautical engineer,Edward is an aeronautical engineer,Sharon is an aeronautical engineer,"{'entailment': '0.71', 'neutral': '0.12', 'contradiction': '0.17'}","{'entailment': '0.83', 'neutral': '0.11', 'contradiction': '0.07'}",0.23
183,Either Sergey or Patricia are a sheriff,Sergey is a sheriff,Patricia is a sheriff,"{'entailment': '0.67', 'neutral': '0.15', 'contradiction': '0.17'}","{'entailment': '0.79', 'neutral': '0.13', 'contradiction': '0.08'}",0.22999999999999998
65,Either Carlos or Kelsi are a police officer,Carlos is a police officer,Kelsi is a police officer,"{'entailment': '0.62', 'neutral': '0.19', 'contradiction': '0.19'}","{'entailment': '0.74', 'neutral': '0.17', 'contradiction': '0.10'}",0.22999999999999998
139,Either Trevon or Tasha are an author,Trevon is an author,Tasha is an author,"{'entailment': '0.86', 'neutral': '0.07', 'contradiction': '0.06'}","{'entailment': '0.75', 'neutral': '0.14', 'contradiction': '0.11'}",0.22999999999999998
483,Either Laquan or Tina are a delivery,Laquan is a delivery,Tina is a delivery,"{'entailment': '0.73', 'neutral': '0.11', 'contradiction': '0.16'}","{'entailment': '0.84', 'neutral': '0.10', 'contradiction': '0.05'}",0.22999999999999998
276,Either James or Jenny are a poet,James is a poet,Jenny is a poet,"{'entailment': '0.81', 'neutral': '0.16', 'contradiction': '0.03'}","{'entailment': '0.70', 'neutral': '0.27', 'contradiction': '0.03'}",0.2200000000000001
203,Either Anse or Sharon are a butler,Anse is a butler,Sharon is a butler,"{'entailment': '0.80', 'neutral': '0.10', 'contradiction': '0.10'}","{'entailment': '0.69', 'neutral': '0.18', 'contradiction': '0.13'}",0.22000000000000008
240,Either Michael or Lena are a designer,Michael is a designer,Lena is a designer,"{'entailment': '0.67', 'neutral': '0.16', 'contradiction': '0.17'}","{'entailment': '0.78', 'neutral': '0.16', 'contradiction': '0.06'}",0.22
31,Either Connor or Kacey are an economist,Connor is an economist,Kacey is an economist,"{'entailment': '0.89', 'neutral': '0.07', 'contradiction': '0.04'}","{'entailment': '0.78', 'neutral': '0.16', 'contradiction': '0.06'}",0.21999999999999997
434,Either Tyresse or Sarah are a linguist,Tyresse is a linguist,Sarah is a linguist,"{'entailment': '0.80', 'neutral': '0.10', 'contradiction': '0.10'}","{'entailment': '0.91', 'neutral': '0.07', 'contradiction': '0.02'}",0.21999999999999997
239,Either Tammy or Sue are a lawyer,Tammy is a lawyer,Sue is a lawyer,"{'entailment': '0.63', 'neutral': '0.29', 'contradiction': '0.08'}","{'entailment': '0.74', 'neutral': '0.22', 'contradiction': '0.04'}",0.21999999999999997
416,Either Fred or Shaniqua are an illustrator,Fred is an illustrator,Shaniqua is an illustrator,"{'entailment': '0.62', 'neutral': '0.15', 'contradiction': '0.23'}","{'entailment': '0.73', 'neutral': '0.13', 'contradiction': '0.14'}",0.21999999999999997
264,Either Tim or Kelsi are an architect,Tim is an architect,Kelsi is an architect,"{'entailment': '0.65', 'neutral': '0.28', 'contradiction': '0.07'}","{'entailment': '0.56', 'neutral': '0.39', 'contradiction': '0.05'}",0.21999999999999997
164,Either Boris or Edith are an engineer,Boris is an engineer,Edith is an engineer,"{'entailment': '0.88', 'neutral': '0.09', 'contradiction': '0.04'}","{'entailment': '0.77', 'neutral': '0.12', 'contradiction': '0.12'}",0.21999999999999997
150,Either Jesus or Susie are a landlord,Jesus is a landlord,Susie is a landlord,"{'entailment': '0.91', 'neutral': '0.05', 'contradiction': '0.03'}","{'entailment': '0.80', 'neutral': '0.10', 'contradiction': '0.09'}",0.21999999999999997
116,Either Tim or Joan are an office worker,Tim is an office worker,Joan is an office worker,"{'entailment': '0.77', 'neutral': '0.16', 'contradiction': '0.07'}","{'entailment': '0.66', 'neutral': '0.25', 'contradiction': '0.09'}",0.21999999999999997
226,Either Muhammad or Anna are a pharmacist,Muhammad is a pharmacist,Anna is a pharmacist,"{'entailment': '0.89', 'neutral': '0.09', 'contradiction': '0.02'}","{'entailment': '0.78', 'neutral': '0.16', 'contradiction': '0.06'}",0.21999999999999997
143,Either Connor or Becky are a barber,Connor is a barber,Becky is a barber,"{'entailment': '0.68', 'neutral': '0.24', 'contradiction': '0.08'}","{'entailment': '0.57', 'neutral': '0.34', 'contradiction': '0.08'}",0.21000000000000013
14,Either Muhammad or Laura are an author,Muhammad is an author,Laura is an author,"{'entailment': '0.77', 'neutral': '0.12', 'contradiction': '0.10'}","{'entailment': '0.70', 'neutral': '0.23', 'contradiction': '0.07'}",0.21000000000000008
76,Either Mark or Shiloh are an employment,Mark is an employment,Shiloh is an employment,"{'entailment': '0.62', 'neutral': '0.15', 'contradiction': '0.22'}","{'entailment': '0.67', 'neutral': '0.21', 'contradiction': '0.12'}",0.21000000000000005
51,Either Nick or Katie are a prosecutor,Nick is a prosecutor,Katie is a prosecutor,"{'entailment': '0.85', 'neutral': '0.06', 'contradiction': '0.09'}","{'entailment': '0.74', 'neutral': '0.09', 'contradiction': '0.16'}",0.21
443,Either Spence or LaShawnda are a sheriff,Spence is a sheriff,LaShawnda is a sheriff,"{'entailment': '0.91', 'neutral': '0.07', 'contradiction': '0.02'}","{'entailment': '0.81', 'neutral': '0.13', 'contradiction': '0.07'}",0.20999999999999996
309,Either Brayden or Candice are a lawn mower,Brayden is a lawn mower,Candice is a lawn mower,"{'entailment': '0.74', 'neutral': '0.19', 'contradiction': '0.06'}","{'entailment': '0.85', 'neutral': '0.13', 'contradiction': '0.02'}",0.20999999999999996
310,Either Bob or Marie are a postman,Bob is a postman,Marie is a postman,"{'entailment': '0.65', 'neutral': '0.21', 'contradiction': '0.15'}","{'entailment': '0.75', 'neutral': '0.21', 'contradiction': '0.04'}",0.20999999999999996
425,Either Charles or Julie are an aeronautical engineer,Charles is an aeronautical engineer,Julie is an aeronautical engineer,"{'entailment': '0.70', 'neutral': '0.16', 'contradiction': '0.13'}","{'entailment': '0.65', 'neutral': '0.27', 'contradiction': '0.08'}",0.20999999999999996
304,Either Ramon or Shaniqua are a laborer,Ramon is a laborer,Shaniqua is a laborer,"{'entailment': '0.70', 'neutral': '0.19', 'contradiction': '0.10'}","{'entailment': '0.61', 'neutral': '0.30', 'contradiction': '0.09'}",0.20999999999999996
375,Either Bradford or Candy are a broker,Bradford is a broker,Candy is a broker,"{'entailment': '0.70', 'neutral': '0.22', 'contradiction': '0.08'}","{'entailment': '0.80', 'neutral': '0.15', 'contradiction': '0.05'}",0.2000000000000001
278,Either Johnny or Judy are a chef,Johnny is a chef,Judy is a chef,"{'entailment': '0.71', 'neutral': '0.23', 'contradiction': '0.06'}","{'entailment': '0.81', 'neutral': '0.16', 'contradiction': '0.03'}",0.2000000000000001
458,Either Joxer or Kristy are a sociologist,Joxer is a sociologist,Kristy is a sociologist,"{'entailment': '0.70', 'neutral': '0.16', 'contradiction': '0.14'}","{'entailment': '0.80', 'neutral': '0.11', 'contradiction': '0.09'}",0.2000000000000001
404,Either William or Tarnisha are a drawer,William is a drawer,Tarnisha is a drawer,"{'entailment': '0.76', 'neutral': '0.13', 'contradiction': '0.11'}","{'entailment': '0.66', 'neutral': '0.14', 'contradiction': '0.20'}",0.2
58,Either Chen Wee or Amy are a dentist,Chen Wee is a dentist,Amy is a dentist,"{'entailment': '0.82', 'neutral': '0.09', 'contradiction': '0.09'}","{'entailment': '0.72', 'neutral': '0.15', 'contradiction': '0.13'}",0.19999999999999998
469,Either Won San Lee or Cheryl are a software engineer,Won San Lee is a software engineer,Cheryl is a software engineer,"{'entailment': '0.84', 'neutral': '0.12', 'contradiction': '0.04'}","{'entailment': '0.74', 'neutral': '0.19', 'contradiction': '0.07'}",0.19999999999999998
482,Either Jeff or Shaniqua are a pilot,Jeff is a pilot,Shaniqua is a pilot,"{'entailment': '0.77', 'neutral': '0.13', 'contradiction': '0.10'}","{'entailment': '0.67', 'neutral': '0.23', 'contradiction': '0.10'}",0.19999999999999998
488,Either Mitchell or Juliette are a prosecutor,Mitchell is a prosecutor,Juliette is a prosecutor,"{'entailment': '0.83', 'neutral': '0.11', 'contradiction': '0.06'}","{'entailment': '0.73', 'neutral': '0.18', 'contradiction': '0.09'}",0.19999999999999998
50,Either Stephen or Wendy are an illustrator,Stephen is an illustrator,Wendy is an illustrator,"{'entailment': '0.53', 'neutral': '0.26', 'contradiction': '0.21'}","{'entailment': '0.63', 'neutral': '0.25', 'contradiction': '0.12'}",0.19999999999999998
320,Either Brent or Kelsi are a lawyer,Brent is a lawyer,Kelsi is a lawyer,"{'entailment': '0.89', 'neutral': '0.06', 'contradiction': '0.05'}","{'entailment': '0.79', 'neutral': '0.12', 'contradiction': '0.09'}",0.19999999999999996
295,Either Rocco or Shelly are a pharmacist,Rocco is a pharmacist,Shelly is a pharmacist,"{'entailment': '0.75', 'neutral': '0.16', 'contradiction': '0.09'}","{'entailment': '0.85', 'neutral': '0.13', 'contradiction': '0.02'}",0.19999999999999996
37,Either DeAndre or Raven are a boxer,DeAndre is a boxer,Raven is a boxer,"{'entailment': '0.77', 'neutral': '0.11', 'contradiction': '0.12'}","{'entailment': '0.87', 'neutral': '0.08', 'contradiction': '0.05'}",0.19999999999999996
102,Either Malik or Cynthia are a performing artist,Malik is a performing artist,Cynthia is a performing artist,"{'entailment': '0.75', 'neutral': '0.19', 'contradiction': '0.05'}","{'entailment': '0.66', 'neutral': '0.29', 'contradiction': '0.06'}",0.19999999999999996
467,Either Anse or Sherry are a drawer,Anse is a drawer,Sherry is a drawer,"{'entailment': '0.69', 'neutral': '0.14', 'contradiction': '0.17'}","{'entailment': '0.59', 'neutral': '0.22', 'contradiction': '0.19'}",0.19999999999999996
383,Either Ming or Anna are a doctor,Ming is a doctor,Anna is a doctor,"{'entailment': '0.71', 'neutral': '0.23', 'contradiction': '0.05'}","{'entailment': '0.81', 'neutral': '0.17', 'contradiction': '0.02'}",0.19000000000000009
308,Either Billy or Tasha are an academic,Billy is an academic,Tasha is an academic,"{'entailment': '0.79', 'neutral': '0.12', 'contradiction': '0.09'}","{'entailment': '0.70', 'neutral': '0.22', 'contradiction': '0.09'}",0.19000000000000009
495,Either Hunter or Martha are a postman,Hunter is a postman,Martha is a postman,"{'entailment': '0.58', 'neutral': '0.18', 'contradiction': '0.24'}","{'entailment': '0.68', 'neutral': '0.18', 'contradiction': '0.15'}",0.19000000000000009
28,Either Sidney or Joyce are a supervisor,Sidney is a supervisor,Joyce is a supervisor,"{'entailment': '0.93', 'neutral': '0.05', 'contradiction': '0.01'}","{'entailment': '0.84', 'neutral': '0.11', 'contradiction': '0.05'}",0.19000000000000009
99,Either Cadan or Ruby are a performing artist,Cadan is a performing artist,Ruby is a performing artist,"{'entailment': '0.54', 'neutral': '0.33', 'contradiction': '0.13'}","{'entailment': '0.63', 'neutral': '0.24', 'contradiction': '0.12'}",0.19
306,Either Richard or Rachel are a mover,Richard is a mover,Rachel is a mover,"{'entailment': '0.74', 'neutral': '0.19', 'contradiction': '0.07'}","{'entailment': '0.84', 'neutral': '0.15', 'contradiction': '0.02'}",0.19
261,Either Chen Wee or Lara are an attourney,Chen Wee is an attourney,Lara is an attourney,"{'entailment': '0.83', 'neutral': '0.12', 'contradiction': '0.05'}","{'entailment': '0.74', 'neutral': '0.20', 'contradiction': '0.07'}",0.19
180,Either Stephen or Lou are an astronomer,Stephen is an astronomer,Lou is an astronomer,"{'entailment': '0.62', 'neutral': '0.33', 'contradiction': '0.05'}","{'entailment': '0.71', 'neutral': '0.26', 'contradiction': '0.02'}",0.18999999999999997
91,Either Thorn or Brenda are an entrepreneur,Thorn is an entrepreneur,Brenda is an entrepreneur,"{'entailment': '0.67', 'neutral': '0.23', 'contradiction': '0.09'}","{'entailment': '0.77', 'neutral': '0.19', 'contradiction': '0.04'}",0.18999999999999997
243,Either Jacques or Abigail are a pharmacist,Jacques is a pharmacist,Abigail is a pharmacist,"{'entailment': '0.90', 'neutral': '0.06', 'contradiction': '0.04'}","{'entailment': '0.81', 'neutral': '0.10', 'contradiction': '0.10'}",0.18999999999999997
296,Either Jerry or Monique are a CEO,Jerry is a CEO,Monique is a CEO,"{'entailment': '0.71', 'neutral': '0.19', 'contradiction': '0.10'}","{'entailment': '0.80', 'neutral': '0.15', 'contradiction': '0.05'}",0.1800000000000001
372,Either Jake or Ebony are a cleaner,Jake is a cleaner,Ebony is a cleaner,"{'entailment': '0.47', 'neutral': '0.33', 'contradiction': '0.20'}","{'entailment': '0.56', 'neutral': '0.32', 'contradiction': '0.12'}",0.1800000000000001
444,Either Laquan or Susan are an artist,Laquan is an artist,Susan is an artist,"{'entailment': '0.72', 'neutral': '0.17', 'contradiction': '0.11'}","{'entailment': '0.81', 'neutral': '0.12', 'contradiction': '0.07'}",0.1800000000000001
208,Either Bob or Yolanda are an author,Bob is an author,Yolanda is an author,"{'entailment': '0.70', 'neutral': '0.18', 'contradiction': '0.12'}","{'entailment': '0.79', 'neutral': '0.15', 'contradiction': '0.06'}",0.18000000000000008
231,Either Tom or Rachel are an employment,Tom is an employment,Rachel is an employment,"{'entailment': '0.73', 'neutral': '0.24', 'contradiction': '0.03'}","{'entailment': '0.81', 'neutral': '0.15', 'contradiction': '0.04'}",0.18000000000000008
47,Either Juan or Kristy are a guitarist,Juan is a guitarist,Kristy is a guitarist,"{'entailment': '0.70', 'neutral': '0.21', 'contradiction': '0.09'}","{'entailment': '0.79', 'neutral': '0.15', 'contradiction': '0.06'}",0.18000000000000008
78,Either Raymond or Celia are a clerk,Raymond is a clerk,Celia is a clerk,"{'entailment': '0.79', 'neutral': '0.13', 'contradiction': '0.08'}","{'entailment': '0.70', 'neutral': '0.19', 'contradiction': '0.11'}",0.18000000000000008
38,Either Alfred or Jennifer are a dancer,Alfred is a dancer,Jennifer is a dancer,"{'entailment': '0.72', 'neutral': '0.16', 'contradiction': '0.11'}","{'entailment': '0.81', 'neutral': '0.11', 'contradiction': '0.07'}",0.18000000000000005
257,Either Jorge or Kacey are a cashier,Jorge is a cashier,Kacey is a cashier,"{'entailment': '0.50', 'neutral': '0.37', 'contradiction': '0.13'}","{'entailment': '0.41', 'neutral': '0.41', 'contradiction': '0.18'}",0.18
470,Either Gabriel or Roberta are an illustrator,Gabriel is an illustrator,Roberta is an illustrator,"{'entailment': '0.54', 'neutral': '0.18', 'contradiction': '0.28'}","{'entailment': '0.63', 'neutral': '0.18', 'contradiction': '0.19'}",0.18
288,Either Nell or Abigail are a servant,Nell is a servant,Abigail is a servant,"{'entailment': '0.53', 'neutral': '0.30', 'contradiction': '0.17'}","{'entailment': '0.62', 'neutral': '0.29', 'contradiction': '0.09'}",0.18
124,Either Russ or Shevon are a butcher,Russ is a butcher,Shevon is a butcher,"{'entailment': '0.76', 'neutral': '0.16', 'contradiction': '0.08'}","{'entailment': '0.85', 'neutral': '0.12', 'contradiction': '0.03'}",0.18
117,Either Jon or Missy are a secretary,Jon is a secretary,Missy is a secretary,"{'entailment': '0.68', 'neutral': '0.26', 'contradiction': '0.06'}","{'entailment': '0.77', 'neutral': '0.20', 'contradiction': '0.03'}",0.17999999999999997
493,Either Josh or Kelsi are an inspector,Josh is an inspector,Kelsi is an inspector,"{'entailment': '0.65', 'neutral': '0.16', 'contradiction': '0.19'}","{'entailment': '0.56', 'neutral': '0.24', 'contradiction': '0.20'}",0.17999999999999997
394,Either Joseph or Samantha are a swimmer,Joseph is a swimmer,Samantha is a swimmer,"{'entailment': '0.75', 'neutral': '0.18', 'contradiction': '0.07'}","{'entailment': '0.84', 'neutral': '0.10', 'contradiction': '0.06'}",0.17999999999999997
130,Either Julius or Monica are a politician,Julius is a politician,Monica is a politician,"{'entailment': '0.65', 'neutral': '0.31', 'contradiction': '0.04'}","{'entailment': '0.74', 'neutral': '0.25', 'contradiction': '0.01'}",0.17999999999999997
108,Either Biff or Martha are an administrator,Biff is an administrator,Martha is an administrator,"{'entailment': '0.74', 'neutral': '0.16', 'contradiction': '0.10'}","{'entailment': '0.83', 'neutral': '0.10', 'contradiction': '0.07'}",0.17999999999999997
169,Either Tammy or Amy are a gambler,Tammy is a gambler,Amy is a gambler,"{'entailment': '0.81', 'neutral': '0.12', 'contradiction': '0.08'}","{'entailment': '0.90', 'neutral': '0.09', 'contradiction': '0.02'}",0.17999999999999997
122,Either Ryan or Candice are a groom,Ryan is a groom,Candice is a groom,"{'entailment': '0.77', 'neutral': '0.12', 'contradiction': '0.11'}","{'entailment': '0.68', 'neutral': '0.21', 'contradiction': '0.11'}",0.17999999999999997
328,Either Anse or Shelly are a lawn mower,Anse is a lawn mower,Shelly is a lawn mower,"{'entailment': '0.85', 'neutral': '0.07', 'contradiction': '0.07'}","{'entailment': '0.76', 'neutral': '0.15', 'contradiction': '0.08'}",0.17999999999999994
193,Either Jacob or Jacqui are an illustrator,Jacob is an illustrator,Jacqui is an illustrator,"{'entailment': '0.70', 'neutral': '0.17', 'contradiction': '0.13'}","{'entailment': '0.61', 'neutral': '0.24', 'contradiction': '0.15'}",0.17999999999999994
0,Either Aaron or Susan are a sheriff,Aaron is a sheriff,Susan is a sheriff,"{'entailment': '0.84', 'neutral': '0.09', 'contradiction': '0.08'}","{'entailment': '0.92', 'neutral': '0.07', 'contradiction': '0.01'}",0.17000000000000007
212,Either Russ or Diamond are a counselor,Russ is a counselor,Diamond is a counselor,"{'entailment': '0.73', 'neutral': '0.17', 'contradiction': '0.11'}","{'entailment': '0.81', 'neutral': '0.14', 'contradiction': '0.05'}",0.17000000000000007
373,Either Adrin or Benny are a manager,Adrin is a manager,Benny is a manager,"{'entailment': '0.66', 'neutral': '0.17', 'contradiction': '0.18'}","{'entailment': '0.59', 'neutral': '0.25', 'contradiction': '0.16'}",0.17000000000000004
94,Either Jeremy or Missy are a lawn mower,Jeremy is a lawn mower,Missy is a lawn mower,"{'entailment': '0.59', 'neutral': '0.26', 'contradiction': '0.16'}","{'entailment': '0.60', 'neutral': '0.33', 'contradiction': '0.07'}",0.17
72,Either Tommy or Shaniqua are a grocer,Tommy is a grocer,Shaniqua is a grocer,"{'entailment': '0.80', 'neutral': '0.15', 'contradiction': '0.05'}","{'entailment': '0.88', 'neutral': '0.10', 'contradiction': '0.01'}",0.16999999999999996
140,Either Alan or Joanne are an economist,Alan is an economist,Joanne is an economist,"{'entailment': '0.79', 'neutral': '0.14', 'contradiction': '0.07'}","{'entailment': '0.87', 'neutral': '0.08', 'contradiction': '0.04'}",0.16999999999999996
260,Either Ramirez or Jessica's are an attourney,Ramirez is an attourney,Jessica's is an attourney,"{'entailment': '0.73', 'neutral': '0.21', 'contradiction': '0.07'}","{'entailment': '0.67', 'neutral': '0.29', 'contradiction': '0.04'}",0.16999999999999993
463,Either Earl or Shelly are a pensioner,Earl is a pensioner,Shelly is a pensioner,"{'entailment': '0.70', 'neutral': '0.18', 'contradiction': '0.12'}","{'entailment': '0.78', 'neutral': '0.17', 'contradiction': '0.05'}",0.16000000000000003
12,Either Daniel or Abigail are a security guard,Daniel is a security guard,Abigail is a security guard,"{'entailment': '0.57', 'neutral': '0.21', 'contradiction': '0.22'}","{'entailment': '0.61', 'neutral': '0.25', 'contradiction': '0.14'}",0.16000000000000003
490,Either Brayden or Priya are a chess player,Brayden is a chess player,Priya is a chess player,"{'entailment': '0.52', 'neutral': '0.35', 'contradiction': '0.13'}","{'entailment': '0.44', 'neutral': '0.42', 'contradiction': '0.14'}",0.16000000000000003
145,Either Malcolm or Kacey are an aeronautical engineer,Malcolm is an aeronautical engineer,Kacey is an aeronautical engineer,"{'entailment': '0.74', 'neutral': '0.12', 'contradiction': '0.14'}","{'entailment': '0.66', 'neutral': '0.20', 'contradiction': '0.14'}",0.15999999999999998
291,Either Tom or Ellen are an arts,Tom is an arts,Ellen is an arts,"{'entailment': '0.77', 'neutral': '0.17', 'contradiction': '0.06'}","{'entailment': '0.85', 'neutral': '0.12', 'contradiction': '0.03'}",0.15999999999999998
