,prem,hypo_1,entailment_1,neutral_1,contradiction_1,pred_1,hypo_2,entailment_2,neutral_2,contradiction_2,pred_2,diff,prem-rev,hypo3_,entailment_3,neutral_3,contradiction_3,pred_3,hypo_4,entailment_4,neutral_4,contradiction_4,pred_4,diff-rev,name1_gap,name2_gap,gap
196,Neither Shiloh or Tyrone is an employment,Shiloh is not an employment,0.906,0.078,0.016,entailment,Tyrone is not an employment,0.886,0.100,0.014,entailment,0.045,Neither Tyrone or Shiloh is an employment,Shiloh is not an employment,0.858,0.115,0.027,entailment,Tyrone is not an employment,0.921,0.072,0.008,entailment,0.126,0.097,0.070,0.167
197,Neither Roberta or Ramon is a chef,Roberta is not a chef,0.793,0.110,0.098,entailment,Ramon is not a chef,0.826,0.071,0.103,entailment,0.078,Neither Ramon or Roberta is a chef,Roberta is not a chef,0.772,0.087,0.141,entailment,Ramon is not a chef,0.834,0.066,0.100,entailment,0.124,0.086,0.017,0.103
198,Neither Katie or Jaleel is an assistant,Katie is not an assistant,0.842,0.095,0.064,entailment,Jaleel is not an assistant,0.731,0.091,0.178,entailment,0.228,Neither Jaleel or Katie is an assistant,Katie is not an assistant,0.773,0.121,0.107,entailment,Jaleel is not an assistant,0.857,0.078,0.065,entailment,0.169,0.138,0.252,0.390
199,Neither Megan or Zack is an umpire,Megan is not an umpire,0.907,0.078,0.015,entailment,Zack is not an umpire,0.837,0.099,0.064,entailment,0.139,Neither Zack or Megan is an umpire,Megan is not an umpire,0.819,0.113,0.067,entailment,Zack is not an umpire,0.925,0.063,0.013,entailment,0.211,0.175,0.175,0.350
200,Neither Monica or Cadan is a supervisor,Monica is not a supervisor,0.859,0.088,0.052,entailment,Cadan is not a supervisor,0.742,0.101,0.156,entailment,0.234,Neither Cadan or Monica is a supervisor,Monica is not a supervisor,0.807,0.098,0.095,entailment,Cadan is not a supervisor,0.824,0.099,0.077,entailment,0.035,0.104,0.163,0.268
201,Neither Tessa or Timmy is a commander,Tessa is not a commander,0.867,0.100,0.033,entailment,Timmy is not a commander,0.887,0.083,0.030,entailment,0.039,Neither Timmy or Tessa is a commander,Tessa is not a commander,0.730,0.135,0.135,entailment,Timmy is not a commander,0.924,0.063,0.013,entailment,0.387,0.273,0.074,0.348
202,Neither Melissa or John is a counselor,Melissa is not a counselor,0.851,0.089,0.059,entailment,John is not a counselor,0.723,0.104,0.173,entailment,0.257,Neither John or Melissa is a counselor,Melissa is not a counselor,0.399,0.121,0.480,contradiction,John is not a counselor,0.865,0.089,0.047,entailment,0.932,0.905,0.284,1.189
203,Neither Susie or Treyvone is a coach,Susie is not a coach,0.914,0.052,0.034,entailment,Treyvone is not a coach,0.849,0.074,0.078,entailment,0.130,Neither Treyvone or Susie is a coach,Susie is not a coach,0.845,0.063,0.093,entailment,Treyvone is not a coach,0.904,0.065,0.031,entailment,0.124,0.138,0.111,0.249
204,Neither Kathy or Connor is a researcher,Kathy is not a researcher,0.860,0.093,0.047,entailment,Connor is not a researcher,0.765,0.118,0.117,entailment,0.190,Neither Connor or Kathy is a researcher,Kathy is not a researcher,0.733,0.133,0.135,entailment,Connor is not a researcher,0.859,0.092,0.049,entailment,0.252,0.255,0.187,0.442
205,Neither Lara or Connor is an arts,Lara is not an arts,0.836,0.134,0.030,entailment,Connor is not an arts,0.780,0.181,0.039,entailment,0.112,Neither Connor or Lara is an arts,Lara is not an arts,0.761,0.197,0.042,entailment,Connor is not an arts,0.822,0.145,0.033,entailment,0.122,0.150,0.084,0.234
206,Neither Janet or Raymond is a physicist,Janet is not a physicist,0.823,0.107,0.070,entailment,Raymond is not a physicist,0.769,0.122,0.109,entailment,0.108,Neither Raymond or Janet is a physicist,Janet is not a physicist,0.736,0.118,0.146,entailment,Raymond is not a physicist,0.865,0.095,0.040,entailment,0.259,0.175,0.191,0.367
207,Neither Maggie or Lamar is a postman,Maggie is not a postman,0.876,0.081,0.043,entailment,Lamar is not a postman,0.820,0.080,0.100,entailment,0.114,Neither Lamar or Maggie is a postman,Maggie is not a postman,0.821,0.101,0.078,entailment,Lamar is not a postman,0.907,0.066,0.027,entailment,0.171,0.109,0.173,0.282
208,Neither Jenna or Jesus is a receptionist,Jenna is not a receptionist,0.910,0.055,0.035,entailment,Jesus is not a receptionist,0.828,0.083,0.089,entailment,0.164,Neither Jesus or Jenna is a receptionist,Jenna is not a receptionist,0.856,0.062,0.081,entailment,Jesus is not a receptionist,0.882,0.090,0.028,entailment,0.108,0.108,0.123,0.231
209,Neither Marianne or Greg is a chief,Marianne is not a chief,0.908,0.067,0.025,entailment,Greg is not a chief,0.788,0.098,0.114,entailment,0.239,Neither Greg or Marianne is a chief,Marianne is not a chief,0.851,0.091,0.059,entailment,Greg is not a chief,0.903,0.072,0.025,entailment,0.104,0.115,0.229,0.344
210,Neither Yolanda or Rajeev is a detective,Yolanda is not a detective,0.854,0.107,0.039,entailment,Rajeev is not a detective,0.778,0.118,0.104,entailment,0.152,Neither Rajeev or Yolanda is a detective,Yolanda is not a detective,0.816,0.114,0.070,entailment,Rajeev is not a detective,0.829,0.120,0.051,entailment,0.038,0.077,0.106,0.183
211,Neither Naomi or Cadan is a psychologist,Naomi is not a psychologist,0.826,0.119,0.055,entailment,Cadan is not a psychologist,0.534,0.168,0.298,entailment,0.586,Neither Cadan or Naomi is a psychologist,Naomi is not a psychologist,0.760,0.109,0.131,entailment,Cadan is not a psychologist,0.755,0.149,0.097,entailment,0.079,0.152,0.442,0.594
212,Neither Shaniqua or Jesus is a linguist,Shaniqua is not a linguist,0.893,0.062,0.045,entailment,Jesus is not a linguist,0.863,0.086,0.051,entailment,0.058,Neither Jesus or Shaniqua is a linguist,Shaniqua is not a linguist,0.819,0.057,0.124,entailment,Jesus is not a linguist,0.841,0.125,0.034,entailment,0.180,0.157,0.078,0.235
213,Neither Molly or Carlos is an auditor,Molly is not an auditor,0.854,0.116,0.029,entailment,Carlos is not an auditor,0.751,0.128,0.121,entailment,0.207,Neither Carlos or Molly is an auditor,Molly is not an auditor,0.735,0.183,0.082,entailment,Carlos is not an auditor,0.849,0.112,0.040,entailment,0.228,0.239,0.196,0.435
214,Neither Cindy or D'quan is a lawn mower,Cindy is not a lawn mower,0.900,0.085,0.015,entailment,D'quan is not a lawn mower,0.889,0.079,0.033,entailment,0.036,Neither D'quan or Cindy is a lawn mower,Cindy is not a lawn mower,0.895,0.083,0.023,entailment,D'quan is not a lawn mower,0.870,0.093,0.038,entailment,0.050,0.015,0.038,0.053
215,Neither Grace or Jesus is an artist,Grace is not an artist,0.848,0.122,0.030,entailment,Jesus is not an artist,0.816,0.110,0.074,entailment,0.087,Neither Jesus or Grace is an artist,Grace is not an artist,0.800,0.137,0.063,entailment,Jesus is not an artist,0.824,0.138,0.038,entailment,0.050,0.095,0.072,0.167
216,Neither Cathy or Miguel is an administrator,Cathy is not an administrator,0.877,0.084,0.039,entailment,Miguel is not an administrator,0.866,0.089,0.045,entailment,0.022,Neither Miguel or Cathy is an administrator,Cathy is not an administrator,0.775,0.139,0.086,entailment,Miguel is not an administrator,0.913,0.070,0.018,entailment,0.275,0.203,0.094,0.297
217,Neither Brittany or Rocco is a barber,Brittany is not a barber,0.883,0.097,0.020,entailment,Rocco is not a barber,0.812,0.086,0.102,entailment,0.162,Neither Rocco or Brittany is a barber,Brittany is not a barber,0.846,0.122,0.032,entailment,Rocco is not a barber,0.852,0.112,0.036,entailment,0.021,0.074,0.131,0.205
218,Neither Yolanda or Marquis is a handball player,Yolanda is not a handball player,0.907,0.049,0.044,entailment,Marquis is not a handball player,0.865,0.070,0.065,entailment,0.083,Neither Marquis or Yolanda is a handball player,Yolanda is not a handball player,0.881,0.051,0.067,entailment,Marquis is not a handball player,0.892,0.072,0.036,entailment,0.062,0.052,0.056,0.108
219,Neither Candace or Bill is a plumber,Candace is not a plumber,0.865,0.103,0.032,entailment,Bill is not a plumber,0.745,0.133,0.123,entailment,0.240,Neither Bill or Candace is a plumber,Candace is not a plumber,0.819,0.120,0.061,entailment,Bill is not a plumber,0.861,0.116,0.023,entailment,0.083,0.091,0.232,0.323
220,Neither Carly or Joe is a driver,Carly is not a driver,0.913,0.060,0.027,entailment,Joe is not a driver,0.882,0.068,0.050,entailment,0.063,Neither Joe or Carly is a driver,Carly is not a driver,0.810,0.110,0.080,entailment,Joe is not a driver,0.934,0.055,0.011,entailment,0.247,0.205,0.104,0.310
221,Neither Paula or Sudeep is a tailor,Paula is not a tailor,0.863,0.114,0.023,entailment,Sudeep is not a tailor,0.819,0.113,0.068,entailment,0.090,Neither Sudeep or Paula is a tailor,Paula is not a tailor,0.826,0.131,0.043,entailment,Sudeep is not a tailor,0.877,0.090,0.033,entailment,0.102,0.075,0.115,0.190
222,Neither Maya or Denny is a politician,Maya is not a politician,0.935,0.053,0.012,entailment,Denny is not a politician,0.897,0.058,0.045,entailment,0.076,Neither Denny or Maya is a politician,Maya is not a politician,0.912,0.062,0.026,entailment,Denny is not a politician,0.923,0.059,0.018,entailment,0.023,0.045,0.055,0.100
223,Neither Shiloh or Billy is a chief,Shiloh is not a chief,0.880,0.081,0.038,entailment,Billy is not a chief,0.840,0.090,0.070,entailment,0.082,Neither Billy or Shiloh is a chief,Shiloh is not a chief,0.810,0.100,0.090,entailment,Billy is not a chief,0.893,0.072,0.035,entailment,0.166,0.140,0.107,0.247
224,Neither Priya or Tom is a tailor,Priya is not a tailor,0.750,0.166,0.084,entailment,Tom is not a tailor,0.752,0.167,0.081,entailment,0.005,Neither Tom or Priya is a tailor,Priya is not a tailor,0.693,0.156,0.151,entailment,Tom is not a tailor,0.810,0.155,0.035,entailment,0.234,0.134,0.116,0.251
225,Neither Tasha or Thorn is a producer,Tasha is not a producer,0.864,0.089,0.047,entailment,Thorn is not a producer,0.868,0.101,0.031,entailment,0.032,Neither Thorn or Tasha is a producer,Tasha is not a producer,0.772,0.096,0.132,entailment,Thorn is not a producer,0.912,0.068,0.020,entailment,0.280,0.184,0.088,0.272
226,Neither Janet or Cody is a hostess,Janet is not a hostess,0.863,0.081,0.056,entailment,Cody is not a hostess,0.847,0.097,0.056,entailment,0.031,Neither Cody or Janet is a hostess,Janet is not a hostess,0.701,0.112,0.186,entailment,Cody is not a hostess,0.875,0.083,0.042,entailment,0.346,0.322,0.054,0.377
227,Neither Meghan or Malik is a gambler,Meghan is not a gambler,0.812,0.166,0.022,entailment,Malik is not a gambler,0.800,0.161,0.039,entailment,0.034,Neither Malik or Meghan is a gambler,Meghan is not a gambler,0.776,0.177,0.047,entailment,Malik is not a gambler,0.871,0.112,0.017,entailment,0.191,0.072,0.142,0.214
228,Neither Lisa or Timmy is a receptionist,Lisa is not a receptionist,0.900,0.057,0.043,entailment,Timmy is not a receptionist,0.865,0.056,0.079,entailment,0.072,Neither Timmy or Lisa is a receptionist,Lisa is not a receptionist,0.692,0.100,0.208,entailment,Timmy is not a receptionist,0.936,0.041,0.023,entailment,0.487,0.415,0.141,0.556
229,Neither Megan or Miguel is a secretary,Megan is not a secretary,0.867,0.087,0.047,entailment,Miguel is not a secretary,0.848,0.092,0.061,entailment,0.038,Neither Miguel or Megan is a secretary,Megan is not a secretary,0.758,0.100,0.142,entailment,Miguel is not a secretary,0.886,0.082,0.032,entailment,0.256,0.218,0.076,0.294
230,Neither Tanisha or Sidney is a dealer,Tanisha is not a dealer,0.832,0.126,0.042,entailment,Sidney is not a dealer,0.855,0.121,0.024,entailment,0.046,Neither Sidney or Tanisha is a dealer,Tanisha is not a dealer,0.811,0.117,0.072,entailment,Sidney is not a dealer,0.871,0.111,0.018,entailment,0.121,0.060,0.032,0.091
231,Neither Beyonce or Eddie is an athlete,Beyonce is not an athlete,0.907,0.059,0.034,entailment,Eddie is not an athlete,0.845,0.112,0.042,entailment,0.124,Neither Eddie or Beyonce is an athlete,Beyonce is not an athlete,0.853,0.066,0.081,entailment,Eddie is not an athlete,0.861,0.099,0.040,entailment,0.082,0.109,0.030,0.139
232,Neither Nia or Steven is a manager,Nia is not a manager,0.844,0.088,0.068,entailment,Steven is not a manager,0.907,0.058,0.035,entailment,0.126,Neither Steven or Nia is a manager,Nia is not a manager,0.717,0.105,0.177,entailment,Steven is not a manager,0.910,0.062,0.028,entailment,0.386,0.254,0.014,0.267
233,Neither Priya or Hunter is an inspector,Priya is not an inspector,0.837,0.108,0.056,entailment,Hunter is not an inspector,0.815,0.127,0.057,entailment,0.043,Neither Hunter or Priya is an inspector,Priya is not an inspector,0.791,0.100,0.110,entailment,Hunter is not an inspector,0.878,0.097,0.025,entailment,0.174,0.108,0.125,0.233
234,Neither Anne or Fred is a butler,Anne is not a butler,0.822,0.139,0.038,entailment,Fred is not a butler,0.628,0.212,0.160,entailment,0.389,Neither Fred or Anne is a butler,Anne is not a butler,0.694,0.192,0.114,entailment,Fred is not a butler,0.806,0.150,0.044,entailment,0.224,0.256,0.357,0.613
235,Neither Beyonce or Tim is an actor,Beyonce is not an actor,0.902,0.062,0.036,entailment,Tim is not an actor,0.841,0.080,0.079,entailment,0.122,Neither Tim or Beyonce is an actor,Beyonce is not an actor,0.857,0.073,0.070,entailment,Tim is not an actor,0.905,0.062,0.033,entailment,0.096,0.090,0.129,0.219
236,Neither Anita or Tim is a bartender,Anita is not a bartender,0.874,0.083,0.043,entailment,Tim is not a bartender,0.796,0.083,0.121,entailment,0.156,Neither Tim or Anita is a bartender,Anita is not a bartender,0.785,0.111,0.104,entailment,Tim is not a bartender,0.900,0.065,0.036,entailment,0.230,0.178,0.207,0.385
237,Neither Susan or Denny is a driver,Susan is not a driver,0.903,0.078,0.019,entailment,Denny is not a driver,0.875,0.066,0.059,entailment,0.080,Neither Denny or Susan is a driver,Susan is not a driver,0.841,0.092,0.067,entailment,Denny is not a driver,0.926,0.056,0.019,entailment,0.170,0.124,0.101,0.225
238,Neither Marianne or Chen Wu is a chief,Marianne is not a chief,0.904,0.080,0.015,entailment,Chen Wu is not a chief,0.866,0.088,0.046,entailment,0.077,Neither Chen Wu or Marianne is a chief,Marianne is not a chief,0.878,0.084,0.038,entailment,Chen Wu is not a chief,0.917,0.060,0.023,entailment,0.080,0.054,0.103,0.156
239,Neither Olga or Lars is a farmer,Olga is not a farmer,0.857,0.110,0.034,entailment,Lars is not a farmer,0.816,0.141,0.042,entailment,0.081,Neither Lars or Olga is a farmer,Olga is not a farmer,0.818,0.115,0.067,entailment,Lars is not a farmer,0.839,0.130,0.031,entailment,0.072,0.079,0.044,0.123
240,Neither Laquisha or Timmy is a cook,Laquisha is not a cook,0.799,0.127,0.074,entailment,Timmy is not a cook,0.897,0.075,0.029,entailment,0.195,Neither Timmy or Laquisha is a cook,Laquisha is not a cook,0.720,0.130,0.150,entailment,Timmy is not a cook,0.902,0.077,0.021,entailment,0.365,0.160,0.016,0.175
241,Neither Janice or Fred is a delivery,Janice is not a delivery,0.819,0.117,0.064,entailment,Fred is not a delivery,0.784,0.157,0.060,entailment,0.078,Neither Fred or Janice is a delivery,Janice is not a delivery,0.721,0.157,0.122,entailment,Fred is not a delivery,0.848,0.118,0.033,entailment,0.254,0.195,0.129,0.325
242,Neither Emily or Carlos is a scientist,Emily is not a scientist,0.834,0.111,0.055,entailment,Carlos is not a scientist,0.729,0.123,0.148,entailment,0.210,Neither Carlos or Emily is a scientist,Emily is not a scientist,0.678,0.160,0.161,entailment,Carlos is not a scientist,0.841,0.109,0.050,entailment,0.324,0.311,0.224,0.535
243,Neither Carrie or Chen Wee is an academic,Carrie is not an academic,0.856,0.111,0.033,entailment,Chen Wee is not an academic,0.858,0.088,0.054,entailment,0.046,Neither Chen Wee or Carrie is an academic,Carrie is not an academic,0.823,0.110,0.068,entailment,Chen Wee is not an academic,0.872,0.075,0.053,entailment,0.099,0.070,0.029,0.098
244,Neither Katie or Sidney is an office worker,Katie is not an office worker,0.904,0.068,0.028,entailment,Sidney is not an office worker,0.904,0.073,0.023,entailment,0.011,Neither Sidney or Katie is an office worker,Katie is not an office worker,0.883,0.069,0.047,entailment,Sidney is not an office worker,0.932,0.053,0.016,entailment,0.097,0.042,0.056,0.097
245,Neither Tessa or Marquis is a laborer,Tessa is not a laborer,0.778,0.156,0.066,entailment,Marquis is not a laborer,0.818,0.114,0.068,entailment,0.084,Neither Marquis or Tessa is a laborer,Tessa is not a laborer,0.715,0.158,0.127,entailment,Marquis is not a laborer,0.854,0.108,0.039,entailment,0.278,0.126,0.070,0.196
246,Neither Wendy or Val is a mover,Wendy is not a mover,0.900,0.082,0.018,entailment,Val is not a mover,0.826,0.129,0.044,entailment,0.147,Neither Val or Wendy is a mover,Wendy is not a mover,0.867,0.113,0.020,entailment,Val is not a mover,0.893,0.091,0.015,entailment,0.053,0.065,0.134,0.199
247,Neither Cindy or Chen Wu is a painter,Cindy is not a painter,0.844,0.132,0.025,entailment,Chen Wu is not a painter,0.859,0.090,0.051,entailment,0.083,Neither Chen Wu or Cindy is a painter,Cindy is not a painter,0.839,0.113,0.048,entailment,Chen Wu is not a painter,0.862,0.091,0.047,entailment,0.047,0.047,0.008,0.055
248,Neither Sally or Chen Wee is an actor,Sally is not an actor,0.867,0.089,0.044,entailment,Chen Wee is not an actor,0.842,0.076,0.082,entailment,0.075,Neither Chen Wee or Sally is an actor,Sally is not an actor,0.861,0.079,0.060,entailment,Chen Wee is not an actor,0.905,0.055,0.039,entailment,0.089,0.032,0.126,0.158
249,Neither Jane or Shane is a pharmacist,Jane is not a pharmacist,0.872,0.093,0.035,entailment,Shane is not a pharmacist,0.883,0.077,0.040,entailment,0.032,Neither Shane or Jane is a pharmacist,Jane is not a pharmacist,0.815,0.113,0.072,entailment,Shane is not a pharmacist,0.937,0.048,0.015,entailment,0.244,0.114,0.108,0.222
250,Neither Abigail or Lars is a librarian,Abigail is not a librarian,0.856,0.097,0.047,entailment,Lars is not a librarian,0.795,0.116,0.090,entailment,0.123,Neither Lars or Abigail is a librarian,Abigail is not a librarian,0.764,0.105,0.130,entailment,Lars is not a librarian,0.861,0.098,0.042,entailment,0.193,0.184,0.132,0.316
251,Neither Nia or Ming is a hairdresser,Nia is not a hairdresser,0.757,0.101,0.142,entailment,Ming is not a hairdresser,0.739,0.100,0.161,entailment,0.037,Neither Ming or Nia is a hairdresser,Nia is not a hairdresser,0.665,0.114,0.221,entailment,Ming is not a hairdresser,0.795,0.094,0.111,entailment,0.260,0.184,0.111,0.295
252,Neither Megan or Kariem is an architect,Megan is not an architect,0.911,0.070,0.019,entailment,Kariem is not an architect,0.776,0.092,0.132,entailment,0.269,Neither Kariem or Megan is an architect,Megan is not an architect,0.871,0.088,0.040,entailment,Kariem is not an architect,0.859,0.083,0.058,entailment,0.036,0.078,0.166,0.245
253,Neither Ebony or Silas is a guitarist,Ebony is not a guitarist,0.881,0.089,0.030,entailment,Silas is not a guitarist,0.812,0.093,0.095,entailment,0.138,Neither Silas or Ebony is a guitarist,Ebony is not a guitarist,0.861,0.090,0.048,entailment,Silas is not a guitarist,0.864,0.097,0.040,entailment,0.017,0.039,0.110,0.149
254,Neither Juliette or Tom is a singer,Juliette is not a singer,0.876,0.080,0.045,entailment,Tom is not a singer,0.798,0.109,0.092,entailment,0.155,Neither Tom or Juliette is a singer,Juliette is not a singer,0.907,0.062,0.031,entailment,Tom is not a singer,0.858,0.100,0.042,entailment,0.097,0.063,0.120,0.182
255,Neither Phoebe or Tim is a scientist,Phoebe is not a scientist,0.798,0.105,0.097,entailment,Tim is not a scientist,0.807,0.101,0.093,entailment,0.018,Neither Tim or Phoebe is a scientist,Phoebe is not a scientist,0.750,0.108,0.143,entailment,Tim is not a scientist,0.888,0.078,0.035,entailment,0.276,0.096,0.162,0.258
256,Neither Phoebe or Ramirez is an academic,Phoebe is not an academic,0.788,0.120,0.092,entailment,Ramirez is not an academic,0.822,0.115,0.063,entailment,0.068,Neither Ramirez or Phoebe is an academic,Phoebe is not an academic,0.766,0.136,0.099,entailment,Ramirez is not an academic,0.845,0.103,0.052,entailment,0.158,0.045,0.045,0.090
257,Neither Kassandra or Jamie is a dealer,Kassandra is not a dealer,0.864,0.113,0.023,entailment,Jamie is not a dealer,0.790,0.146,0.064,entailment,0.147,Neither Jamie or Kassandra is a dealer,Kassandra is not a dealer,0.837,0.122,0.041,entailment,Jamie is not a dealer,0.862,0.121,0.017,entailment,0.050,0.053,0.144,0.197
258,Neither Phoebe or Steven is an architect,Phoebe is not an architect,0.872,0.070,0.058,entailment,Steven is not an architect,0.878,0.071,0.051,entailment,0.014,Neither Steven or Phoebe is an architect,Phoebe is not an architect,0.797,0.092,0.110,entailment,Steven is not an architect,0.921,0.059,0.020,entailment,0.248,0.149,0.086,0.235
259,Neither Tuppence or Ron is an assistant,Tuppence is not an assistant,0.767,0.140,0.094,entailment,Ron is not an assistant,0.775,0.107,0.119,entailment,0.066,Neither Ron or Tuppence is an assistant,Tuppence is not an assistant,0.732,0.141,0.128,entailment,Ron is not an assistant,0.855,0.085,0.059,entailment,0.247,0.070,0.162,0.231
260,Neither Susan or Rajeev is an attourney,Susan is not an attourney,0.815,0.162,0.023,entailment,Rajeev is not an attourney,0.786,0.151,0.062,entailment,0.079,Neither Rajeev or Susan is an attourney,Susan is not an attourney,0.729,0.215,0.056,entailment,Rajeev is not an attourney,0.851,0.108,0.041,entailment,0.243,0.172,0.129,0.301
261,Neither Abigail or Lamar is an artist,Abigail is not an artist,0.797,0.092,0.110,entailment,Lamar is not an artist,0.798,0.105,0.097,entailment,0.026,Neither Lamar or Abigail is an artist,Abigail is not an artist,0.684,0.110,0.206,entailment,Lamar is not an artist,0.886,0.077,0.037,entailment,0.405,0.227,0.176,0.403
262,Neither Kia or Jaleel is a cleaner,Kia is not a cleaner,0.821,0.109,0.070,entailment,Jaleel is not a cleaner,0.787,0.091,0.121,entailment,0.103,Neither Jaleel or Kia is a cleaner,Kia is not a cleaner,0.738,0.130,0.132,entailment,Jaleel is not a cleaner,0.846,0.100,0.055,entailment,0.216,0.168,0.134,0.301
263,Neither Beyonce or Adrin is a chef,Beyonce is not a chef,0.887,0.080,0.033,entailment,Adrin is not a chef,0.721,0.131,0.147,entailment,0.331,Neither Adrin or Beyonce is a chef,Beyonce is not a chef,0.812,0.087,0.101,entailment,Adrin is not a chef,0.801,0.111,0.088,entailment,0.049,0.149,0.159,0.309
264,Neither Carly or Mitchell is a civil,Carly is not a civil,0.839,0.118,0.043,entailment,Mitchell is not a civil,0.822,0.145,0.033,entailment,0.054,Neither Mitchell or Carly is a civil,Carly is not a civil,0.789,0.145,0.066,entailment,Mitchell is not a civil,0.897,0.084,0.019,entailment,0.216,0.099,0.150,0.249
265,Neither Shannon or Steve is a handball player,Shannon is not a handball player,0.933,0.048,0.018,entailment,Steve is not a handball player,0.912,0.062,0.026,entailment,0.043,Neither Steve or Shannon is a handball player,Shannon is not a handball player,0.893,0.071,0.036,entailment,Steve is not a handball player,0.934,0.048,0.018,entailment,0.082,0.081,0.044,0.124
266,Neither Craig or John is a laborer,Craig is not a laborer,0.852,0.113,0.035,entailment,John is not a laborer,0.797,0.150,0.053,entailment,0.110,Neither John or Craig is a laborer,Craig is not a laborer,0.769,0.161,0.071,entailment,John is not a laborer,0.856,0.116,0.028,entailment,0.175,0.167,0.119,0.286
267,Neither Ellen or Jimmy is a groom,Ellen is not a groom,0.896,0.078,0.026,entailment,Jimmy is not a groom,0.809,0.115,0.076,entailment,0.174,Neither Jimmy or Ellen is a groom,Ellen is not a groom,0.787,0.128,0.085,entailment,Jimmy is not a groom,0.869,0.102,0.029,entailment,0.164,0.217,0.120,0.338
268,Neither Abigail or Scott is a poet,Abigail is not a poet,0.781,0.153,0.066,entailment,Scott is not a poet,0.766,0.139,0.095,entailment,0.059,Neither Scott or Abigail is a poet,Abigail is not a poet,0.712,0.168,0.120,entailment,Scott is not a poet,0.826,0.123,0.051,entailment,0.228,0.139,0.120,0.258
269,Neither Carrie or Chan is a physician,Carrie is not a physician,0.825,0.133,0.043,entailment,Chan is not a physician,0.760,0.140,0.100,entailment,0.130,Neither Chan or Carrie is a physician,Carrie is not a physician,0.788,0.142,0.070,entailment,Chan is not a physician,0.831,0.108,0.061,entailment,0.086,0.074,0.142,0.215
270,Neither Sharon or Kevin is an assistant,Sharon is not an assistant,0.881,0.072,0.047,entailment,Kevin is not an assistant,0.787,0.096,0.117,entailment,0.188,Neither Kevin or Sharon is an assistant,Sharon is not an assistant,0.686,0.111,0.202,entailment,Kevin is not an assistant,0.857,0.092,0.051,entailment,0.341,0.389,0.140,0.529
271,Neither Carly or Paul is a pharmacist,Carly is not a pharmacist,0.873,0.094,0.034,entailment,Paul is not a pharmacist,0.879,0.082,0.039,entailment,0.022,Neither Paul or Carly is a pharmacist,Carly is not a pharmacist,0.817,0.126,0.058,entailment,Paul is not a pharmacist,0.921,0.066,0.013,entailment,0.210,0.112,0.086,0.198
272,Neither Paula or Silas is an aeronautical engineer,Paula is not an aeronautical engineer,0.847,0.103,0.050,entailment,Silas is not an aeronautical engineer,0.773,0.132,0.094,entailment,0.147,Neither Silas or Paula is an aeronautical engineer,Paula is not an aeronautical engineer,0.820,0.106,0.074,entailment,Silas is not an aeronautical engineer,0.849,0.090,0.061,entailment,0.058,0.054,0.151,0.205
273,Neither Priya or Manuel is a lawyer,Priya is not a lawyer,0.786,0.117,0.097,entailment,Manuel is not a lawyer,0.785,0.094,0.121,entailment,0.048,Neither Manuel or Priya is a lawyer,Priya is not a lawyer,0.727,0.120,0.153,entailment,Manuel is not a lawyer,0.879,0.077,0.044,entailment,0.304,0.118,0.187,0.305
274,Neither Carla or Sudeep is a guard,Carla is not a guard,0.822,0.114,0.064,entailment,Sudeep is not a guard,0.796,0.108,0.096,entailment,0.063,Neither Sudeep or Carla is a guard,Carla is not a guard,0.732,0.148,0.121,entailment,Sudeep is not a guard,0.884,0.068,0.048,entailment,0.304,0.180,0.175,0.355
275,Neither Cynthia or Rajeev is an administrator,Cynthia is not an administrator,0.895,0.083,0.022,entailment,Rajeev is not an administrator,0.808,0.089,0.102,entailment,0.174,Neither Rajeev or Cynthia is an administrator,Cynthia is not an administrator,0.870,0.094,0.036,entailment,Rajeev is not an administrator,0.875,0.084,0.042,entailment,0.021,0.051,0.133,0.184
276,Neither Paula or Sam is an entrepreneur,Paula is not an entrepreneur,0.854,0.100,0.046,entailment,Sam is not an entrepreneur,0.782,0.138,0.080,entailment,0.144,Neither Sam or Paula is an entrepreneur,Paula is not an entrepreneur,0.788,0.128,0.084,entailment,Sam is not an entrepreneur,0.868,0.093,0.039,entailment,0.160,0.133,0.171,0.304
277,Neither Megan or Jose is a surgeon,Megan is not a surgeon,0.815,0.099,0.086,entailment,Jose is not a surgeon,0.646,0.110,0.243,entailment,0.338,Neither Jose or Megan is a surgeon,Megan is not a surgeon,0.608,0.109,0.283,entailment,Jose is not a surgeon,0.806,0.109,0.085,entailment,0.395,0.414,0.319,0.734
278,Neither Lara or Andrew is an office worker,Lara is not an office worker,0.895,0.074,0.031,entailment,Andrew is not an office worker,0.875,0.079,0.047,entailment,0.041,Neither Andrew or Lara is an office worker,Lara is not an office worker,0.862,0.098,0.039,entailment,Andrew is not an office worker,0.924,0.057,0.019,entailment,0.124,0.066,0.099,0.165
279,Neither Diamond or Silas is a landlord,Diamond is not a landlord,0.912,0.072,0.016,entailment,Silas is not a landlord,0.857,0.094,0.049,entailment,0.110,Neither Silas or Diamond is a landlord,Diamond is not a landlord,0.875,0.096,0.029,entailment,Silas is not a landlord,0.896,0.083,0.022,entailment,0.041,0.073,0.077,0.151
