,prem,hypo1,hypo2,score1,score2,diff
198,Either Amhad or Tasha are an artist,Amhad is an artist,Tasha is an artist,"{'entailment': '0.84', 'neutral': '0.13', 'contradiction': '0.03'}","{'entailment': '0.69', 'neutral': '0.25', 'contradiction': '0.06'}",0.30000000000000004
145,Either Malcolm or Kacey are an aeronautical engineer,Malcolm is an aeronautical engineer,Kacey is an aeronautical engineer,"{'entailment': '0.40', 'neutral': '0.46', 'contradiction': '0.13'}","{'entailment': '0.56', 'neutral': '0.40', 'contradiction': '0.05'}",0.30000000000000004
1,Either Brayden or Jill are a pensioner,Brayden is a pensioner,Jill is a pensioner,"{'entailment': '0.64', 'neutral': '0.23', 'contradiction': '0.13'}","{'entailment': '0.79', 'neutral': '0.16', 'contradiction': '0.05'}",0.30000000000000004
157,Either Mack or Monica are a performing artist,Mack is a performing artist,Monica is a performing artist,"{'entailment': '0.74', 'neutral': '0.16', 'contradiction': '0.10'}","{'entailment': '0.59', 'neutral': '0.24', 'contradiction': '0.17'}",0.30000000000000004
219,Either Vince or Tina are an illustrator,Vince is an illustrator,Tina is an illustrator,"{'entailment': '0.90', 'neutral': '0.06', 'contradiction': '0.04'}","{'entailment': '0.75', 'neutral': '0.16', 'contradiction': '0.09'}",0.3
137,Either Tom or Ruby are a professor,Tom is a professor,Ruby is a professor,"{'entailment': '0.54', 'neutral': '0.24', 'contradiction': '0.22'}","{'entailment': '0.69', 'neutral': '0.21', 'contradiction': '0.10'}",0.29999999999999993
232,Either Steve or Shannon are a lawn mower,Steve is a lawn mower,Shannon is a lawn mower,"{'entailment': '0.67', 'neutral': '0.25', 'contradiction': '0.07'}","{'entailment': '0.82', 'neutral': '0.11', 'contradiction': '0.06'}",0.29999999999999993
312,Either Michael or Maya are a historian,Michael is a historian,Maya is a historian,"{'entailment': '0.24', 'neutral': '0.51', 'contradiction': '0.25'}","{'entailment': '0.30', 'neutral': '0.60', 'contradiction': '0.10'}",0.29999999999999993
217,Either Jeremy or Joan are a pianist,Jeremy is a pianist,Joan is a pianist,"{'entailment': '0.74', 'neutral': '0.18', 'contradiction': '0.08'}","{'entailment': '0.59', 'neutral': '0.32', 'contradiction': '0.08'}",0.29000000000000004
311,Either Charlie or Rachel are a physician,Charlie is a physician,Rachel is a physician,"{'entailment': '0.49', 'neutral': '0.32', 'contradiction': '0.20'}","{'entailment': '0.47', 'neutral': '0.46', 'contradiction': '0.07'}",0.29000000000000004
21,Either Brent or Maya are a chief,Brent is a chief,Maya is a chief,"{'entailment': '0.45', 'neutral': '0.32', 'contradiction': '0.23'}","{'entailment': '0.31', 'neutral': '0.46', 'contradiction': '0.24'}",0.29000000000000004
144,Either Richard or Mary are a surgeon,Richard is a surgeon,Mary is a surgeon,"{'entailment': '0.58', 'neutral': '0.29', 'contradiction': '0.14'}","{'entailment': '0.47', 'neutral': '0.43', 'contradiction': '0.10'}",0.29000000000000004
355,Either Ed or Amy are an academic,Ed is an academic,Amy is an academic,"{'entailment': '0.56', 'neutral': '0.39', 'contradiction': '0.05'}","{'entailment': '0.42', 'neutral': '0.52', 'contradiction': '0.06'}",0.2800000000000001
262,Either Drew or Brenda are a handyman,Drew is a handyman,Brenda is a handyman,"{'entailment': '0.47', 'neutral': '0.46', 'contradiction': '0.07'}","{'entailment': '0.61', 'neutral': '0.33', 'contradiction': '0.06'}",0.28
284,Either Jamal or Rachel are a professor,Jamal is a professor,Rachel is a professor,"{'entailment': '0.71', 'neutral': '0.19', 'contradiction': '0.10'}","{'entailment': '0.57', 'neutral': '0.32', 'contradiction': '0.11'}",0.28
314,Either Jacob or Joan are a laborer,Jacob is a laborer,Joan is a laborer,"{'entailment': '0.54', 'neutral': '0.34', 'contradiction': '0.12'}","{'entailment': '0.68', 'neutral': '0.25', 'contradiction': '0.07'}",0.28
138,Either Andy or Carrie are a sheriff,Andy is a sheriff,Carrie is a sheriff,"{'entailment': '0.51', 'neutral': '0.30', 'contradiction': '0.19'}","{'entailment': '0.37', 'neutral': '0.42', 'contradiction': '0.21'}",0.28
416,Either Fred or Shaniqua are an illustrator,Fred is an illustrator,Shaniqua is an illustrator,"{'entailment': '0.65', 'neutral': '0.20', 'contradiction': '0.15'}","{'entailment': '0.79', 'neutral': '0.11', 'contradiction': '0.10'}",0.28
461,Either Ryan or Amy are a pensioner,Ryan is a pensioner,Amy is a pensioner,"{'entailment': '0.48', 'neutral': '0.37', 'contradiction': '0.15'}","{'entailment': '0.37', 'neutral': '0.51', 'contradiction': '0.12'}",0.28
487,Either Vince or Veronica are a judge,Vince is a judge,Veronica is a judge,"{'entailment': '0.64', 'neutral': '0.24', 'contradiction': '0.12'}","{'entailment': '0.50', 'neutral': '0.32', 'contradiction': '0.18'}",0.28
250,Either Jimmy or Nina are a handyman,Jimmy is a handyman,Nina is a handyman,"{'entailment': '0.39', 'neutral': '0.47', 'contradiction': '0.14'}","{'entailment': '0.53', 'neutral': '0.43', 'contradiction': '0.04'}",0.28
499,Either Mack or Sharon are an opera singer,Mack is an opera singer,Sharon is an opera singer,"{'entailment': '0.50', 'neutral': '0.20', 'contradiction': '0.30'}","{'entailment': '0.64', 'neutral': '0.19', 'contradiction': '0.17'}",0.28
10,Either Tyler or Kassandra are an analyst,Tyler is an analyst,Kassandra is an analyst,"{'entailment': '0.70', 'neutral': '0.25', 'contradiction': '0.05'}","{'entailment': '0.58', 'neutral': '0.39', 'contradiction': '0.03'}",0.28
301,Either Jon or Marie are a receptionist,Jon is a receptionist,Marie is a receptionist,"{'entailment': '0.68', 'neutral': '0.20', 'contradiction': '0.12'}","{'entailment': '0.82', 'neutral': '0.12', 'contradiction': '0.06'}",0.2799999999999999
403,Either Lars or Carly are a mover,Lars is a mover,Carly is a mover,"{'entailment': '0.21', 'neutral': '0.69', 'contradiction': '0.10'}","{'entailment': '0.30', 'neutral': '0.55', 'contradiction': '0.15'}",0.2799999999999999
359,Either Charlie or Juliette are an athlete,Charlie is an athlete,Juliette is an athlete,"{'entailment': '0.34', 'neutral': '0.59', 'contradiction': '0.07'}","{'entailment': '0.48', 'neutral': '0.45', 'contradiction': '0.07'}",0.2799999999999999
426,Either Jose or Barbara are a doctor,Jose is a doctor,Barbara is a doctor,"{'entailment': '0.56', 'neutral': '0.35', 'contradiction': '0.09'}","{'entailment': '0.43', 'neutral': '0.49', 'contradiction': '0.09'}",0.2700000000000001
342,Either Gabriel or Kathy are a mover,Gabriel is a mover,Kathy is a mover,"{'entailment': '0.27', 'neutral': '0.58', 'contradiction': '0.15'}","{'entailment': '0.18', 'neutral': '0.71', 'contradiction': '0.10'}",0.27
81,Either Cole or Priya are a supervisor,Cole is a supervisor,Priya is a supervisor,"{'entailment': '0.71', 'neutral': '0.16', 'contradiction': '0.12'}","{'entailment': '0.58', 'neutral': '0.21', 'contradiction': '0.21'}",0.27
60,Either Micheal or Kathy are an actor,Micheal is an actor,Kathy is an actor,"{'entailment': '0.84', 'neutral': '0.13', 'contradiction': '0.02'}","{'entailment': '0.71', 'neutral': '0.21', 'contradiction': '0.08'}",0.27
143,Either Connor or Becky are a barber,Connor is a barber,Becky is a barber,"{'entailment': '0.74', 'neutral': '0.22', 'contradiction': '0.04'}","{'entailment': '0.87', 'neutral': '0.09', 'contradiction': '0.03'}",0.27
308,Either Billy or Tasha are an academic,Billy is an academic,Tasha is an academic,"{'entailment': '0.48', 'neutral': '0.42', 'contradiction': '0.11'}","{'entailment': '0.40', 'neutral': '0.55', 'contradiction': '0.05'}",0.27
457,Either Mohammad or Carla are a hostess,Mohammad is a hostess,Carla is a hostess,"{'entailment': '0.40', 'neutral': '0.34', 'contradiction': '0.26'}","{'entailment': '0.54', 'neutral': '0.24', 'contradiction': '0.23'}",0.27
42,Either Mattie or Susan are a butler,Mattie is a butler,Susan is a butler,"{'entailment': '0.21', 'neutral': '0.65', 'contradiction': '0.14'}","{'entailment': '0.34', 'neutral': '0.58', 'contradiction': '0.08'}",0.2600000000000001
174,Either Tyresse or Beyonce are a mathematician,Tyresse is a mathematician,Beyonce is a mathematician,"{'entailment': '0.62', 'neutral': '0.35', 'contradiction': '0.03'}","{'entailment': '0.49', 'neutral': '0.46', 'contradiction': '0.05'}",0.26000000000000006
177,Either Charlie or Raven are a magician,Charlie is a magician,Raven is a magician,"{'entailment': '0.44', 'neutral': '0.41', 'contradiction': '0.15'}","{'entailment': '0.41', 'neutral': '0.54', 'contradiction': '0.05'}",0.26000000000000006
125,Either Jorge or Becky are an auditor,Jorge is an auditor,Becky is an auditor,"{'entailment': '0.73', 'neutral': '0.18', 'contradiction': '0.09'}","{'entailment': '0.60', 'neutral': '0.28', 'contradiction': '0.12'}",0.26
187,Either Joxer or Marie are a gambler,Joxer is a gambler,Marie is a gambler,"{'entailment': '0.71', 'neutral': '0.26', 'contradiction': '0.04'}","{'entailment': '0.57', 'neutral': '0.38', 'contradiction': '0.04'}",0.26
61,Either Ronald or Marianne are a model,Ronald is a model,Marianne is a model,"{'entailment': '0.76', 'neutral': '0.17', 'contradiction': '0.07'}","{'entailment': '0.63', 'neutral': '0.24', 'contradiction': '0.13'}",0.26
92,Either Chen Wee or Meghan are a sheriff,Chen Wee is a sheriff,Meghan is a sheriff,"{'entailment': '0.63', 'neutral': '0.17', 'contradiction': '0.19'}","{'entailment': '0.60', 'neutral': '0.30', 'contradiction': '0.09'}",0.26
57,Either Alan or Marie are a mechanic,Alan is a mechanic,Marie is a mechanic,"{'entailment': '0.53', 'neutral': '0.36', 'contradiction': '0.11'}","{'entailment': '0.66', 'neutral': '0.29', 'contradiction': '0.05'}",0.26
112,Either LeShawn or Diamond are a handyman,LeShawn is a handyman,Diamond is a handyman,"{'entailment': '0.71', 'neutral': '0.25', 'contradiction': '0.04'}","{'entailment': '0.58', 'neutral': '0.38', 'contradiction': '0.04'}",0.26
245,Either Timmy or Vrenna are a physician,Timmy is a physician,Vrenna is a physician,"{'entailment': '0.68', 'neutral': '0.20', 'contradiction': '0.12'}","{'entailment': '0.81', 'neutral': '0.17', 'contradiction': '0.02'}",0.26
118,Either Jacob or Kathy are a historian,Jacob is a historian,Kathy is a historian,"{'entailment': '0.20', 'neutral': '0.52', 'contradiction': '0.28'}","{'entailment': '0.22', 'neutral': '0.63', 'contradiction': '0.15'}",0.26
80,Either Terrell or Abigail are a prosecutor,Terrell is a prosecutor,Abigail is a prosecutor,"{'entailment': '0.72', 'neutral': '0.17', 'contradiction': '0.12'}","{'entailment': '0.84', 'neutral': '0.11', 'contradiction': '0.04'}",0.26
110,Either Jones or Joyce are a postman,Jones is a postman,Joyce is a postman,"{'entailment': '0.60', 'neutral': '0.30', 'contradiction': '0.10'}","{'entailment': '0.73', 'neutral': '0.19', 'contradiction': '0.08'}",0.26
437,Either Corey or Anne are a chef,Corey is a chef,Anne is a chef,"{'entailment': '0.64', 'neutral': '0.23', 'contradiction': '0.13'}","{'entailment': '0.54', 'neutral': '0.36', 'contradiction': '0.10'}",0.25999999999999995
277,Either Malik or Barbara are a security guard,Malik is a security guard,Barbara is a security guard,"{'entailment': '0.94', 'neutral': '0.04', 'contradiction': '0.02'}","{'entailment': '0.81', 'neutral': '0.12', 'contradiction': '0.07'}",0.2599999999999999
20,Either Paul or Jenna are a teacher,Paul is a teacher,Jenna is a teacher,"{'entailment': '0.47', 'neutral': '0.34', 'contradiction': '0.18'}","{'entailment': '0.60', 'neutral': '0.29', 'contradiction': '0.11'}",0.25000000000000006
247,Either Zack or Grace are a chess player,Zack is a chess player,Grace is a chess player,"{'entailment': '0.83', 'neutral': '0.13', 'contradiction': '0.05'}","{'entailment': '0.70', 'neutral': '0.23', 'contradiction': '0.07'}",0.25
180,Either Stephen or Lou are an astronomer,Stephen is an astronomer,Lou is an astronomer,"{'entailment': '0.34', 'neutral': '0.50', 'contradiction': '0.16'}","{'entailment': '0.46', 'neutral': '0.42', 'contradiction': '0.11'}",0.25
107,Either Tom or Shevon are a CEO,Tom is a CEO,Shevon is a CEO,"{'entailment': '0.47', 'neutral': '0.31', 'contradiction': '0.22'}","{'entailment': '0.60', 'neutral': '0.24', 'contradiction': '0.17'}",0.25
141,Either Treyvone or Carla are a janitor,Treyvone is a janitor,Carla is a janitor,"{'entailment': '0.80', 'neutral': '0.14', 'contradiction': '0.06'}","{'entailment': '0.68', 'neutral': '0.23', 'contradiction': '0.10'}",0.25
347,Either Sammy or Missy are an administrator,Sammy is an administrator,Missy is an administrator,"{'entailment': '0.65', 'neutral': '0.23', 'contradiction': '0.12'}","{'entailment': '0.53', 'neutral': '0.36', 'contradiction': '0.12'}",0.24999999999999997
445,Either Jim or Shaniqua are a nurse,Jim is a nurse,Shaniqua is a nurse,"{'entailment': '0.56', 'neutral': '0.26', 'contradiction': '0.17'}","{'entailment': '0.69', 'neutral': '0.25', 'contradiction': '0.06'}",0.24999999999999992
365,Either Jack or Craig are an analyst,Jack is an analyst,Craig is an analyst,"{'entailment': '0.43', 'neutral': '0.52', 'contradiction': '0.05'}","{'entailment': '0.55', 'neutral': '0.41', 'contradiction': '0.04'}",0.2400000000000001
240,Either Michael or Lena are a designer,Michael is a designer,Lena is a designer,"{'entailment': '0.66', 'neutral': '0.21', 'contradiction': '0.12'}","{'entailment': '0.59', 'neutral': '0.33', 'contradiction': '0.07'}",0.24000000000000007
358,Either Jamie or Sarah are an engineer,Jamie is an engineer,Sarah is an engineer,"{'entailment': '0.25', 'neutral': '0.59', 'contradiction': '0.16'}","{'entailment': '0.30', 'neutral': '0.66', 'contradiction': '0.04'}",0.24000000000000005
73,Either Laquan or Tarnisha are an army,Laquan is an army,Tarnisha is an army,"{'entailment': '0.64', 'neutral': '0.27', 'contradiction': '0.09'}","{'entailment': '0.76', 'neutral': '0.18', 'contradiction': '0.06'}",0.24000000000000002
343,Either Fred or Fabioloa are a construction worker,Fred is a construction worker,Fabioloa is a construction worker,"{'entailment': '0.77', 'neutral': '0.20', 'contradiction': '0.02'}","{'entailment': '0.89', 'neutral': '0.09', 'contradiction': '0.01'}",0.24000000000000002
467,Either Anse or Sherry are a drawer,Anse is a drawer,Sherry is a drawer,"{'entailment': '0.89', 'neutral': '0.05', 'contradiction': '0.06'}","{'entailment': '0.77', 'neutral': '0.14', 'contradiction': '0.09'}",0.24000000000000002
257,Either Jorge or Kacey are a cashier,Jorge is a cashier,Kacey is a cashier,"{'entailment': '0.86', 'neutral': '0.09', 'contradiction': '0.05'}","{'entailment': '0.74', 'neutral': '0.21', 'contradiction': '0.05'}",0.24
439,Either Zack or Anita are a manager,Zack is a manager,Anita is a manager,"{'entailment': '0.52', 'neutral': '0.26', 'contradiction': '0.22'}","{'entailment': '0.63', 'neutral': '0.27', 'contradiction': '0.10'}",0.24
289,Either Tammy or Kia are a baker,Tammy is a baker,Kia is a baker,"{'entailment': '0.57', 'neutral': '0.29', 'contradiction': '0.14'}","{'entailment': '0.69', 'neutral': '0.25', 'contradiction': '0.06'}",0.24
192,Either Seth or Anna are a cleric,Seth is a cleric,Anna is a cleric,"{'entailment': '0.74', 'neutral': '0.16', 'contradiction': '0.10'}","{'entailment': '0.64', 'neutral': '0.28', 'contradiction': '0.08'}",0.24
32,Either Charles or Jenny are an attendant,Charles is an attendant,Jenny is an attendant,"{'entailment': '0.48', 'neutral': '0.36', 'contradiction': '0.16'}","{'entailment': '0.60', 'neutral': '0.30', 'contradiction': '0.10'}",0.24
430,Either Ramon or Jenny are an artist,Ramon is an artist,Jenny is an artist,"{'entailment': '0.80', 'neutral': '0.15', 'contradiction': '0.05'}","{'entailment': '0.68', 'neutral': '0.23', 'contradiction': '0.09'}",0.24
360,Either Timmy or Janice are a manager,Timmy is a manager,Janice is a manager,"{'entailment': '0.64', 'neutral': '0.21', 'contradiction': '0.15'}","{'entailment': '0.76', 'neutral': '0.17', 'contradiction': '0.07'}",0.23999999999999996
475,Either Seth or Nia are a commander,Seth is a commander,Nia is a commander,"{'entailment': '0.69', 'neutral': '0.17', 'contradiction': '0.14'}","{'entailment': '0.60', 'neutral': '0.29', 'contradiction': '0.11'}",0.23999999999999994
369,Either Micheal or Tessa are a salesperson,Micheal is a salesperson,Tessa is a salesperson,"{'entailment': '0.96', 'neutral': '0.04', 'contradiction': '0.01'}","{'entailment': '0.84', 'neutral': '0.14', 'contradiction': '0.02'}",0.23
121,Either Hunter or Missy are a swimmer,Hunter is a swimmer,Missy is a swimmer,"{'entailment': '0.75', 'neutral': '0.23', 'contradiction': '0.02'}","{'entailment': '0.63', 'neutral': '0.34', 'contradiction': '0.02'}",0.23
131,Either Lars or Raven are a pilot,Lars is a pilot,Raven is a pilot,"{'entailment': '0.52', 'neutral': '0.33', 'contradiction': '0.15'}","{'entailment': '0.48', 'neutral': '0.44', 'contradiction': '0.07'}",0.23
267,Either Thomas or Sally are a chief,Thomas is a chief,Sally is a chief,"{'entailment': '0.18', 'neutral': '0.66', 'contradiction': '0.17'}","{'entailment': '0.25', 'neutral': '0.54', 'contradiction': '0.21'}",0.22999999999999998
276,Either James or Jenny are a poet,James is a poet,Jenny is a poet,"{'entailment': '0.41', 'neutral': '0.41', 'contradiction': '0.18'}","{'entailment': '0.52', 'neutral': '0.39', 'contradiction': '0.08'}",0.22999999999999998
421,Either Carlos or Jen are a teacher,Carlos is a teacher,Jen is a teacher,"{'entailment': '0.62', 'neutral': '0.22', 'contradiction': '0.17'}","{'entailment': '0.56', 'neutral': '0.33', 'contradiction': '0.11'}",0.22999999999999998
332,Either Cody or Laquisha are an administrator,Cody is an administrator,Laquisha is an administrator,"{'entailment': '0.55', 'neutral': '0.32', 'contradiction': '0.12'}","{'entailment': '0.67', 'neutral': '0.26', 'contradiction': '0.07'}",0.22999999999999998
374,Either LeShawn or Veronica are a handyman,LeShawn is a handyman,Veronica is a handyman,"{'entailment': '0.69', 'neutral': '0.25', 'contradiction': '0.06'}","{'entailment': '0.80', 'neutral': '0.18', 'contradiction': '0.02'}",0.22000000000000008
202,Either Richard or Lena are a postman,Richard is a postman,Lena is a postman,"{'entailment': '0.80', 'neutral': '0.12', 'contradiction': '0.08'}","{'entailment': '0.73', 'neutral': '0.23', 'contradiction': '0.04'}",0.22000000000000008
51,Either Nick or Katie are a prosecutor,Nick is a prosecutor,Katie is a prosecutor,"{'entailment': '0.41', 'neutral': '0.31', 'contradiction': '0.28'}","{'entailment': '0.52', 'neutral': '0.30', 'contradiction': '0.18'}",0.22000000000000008
178,Either Brady or Cathy are an author,Brady is an author,Cathy is an author,"{'entailment': '0.81', 'neutral': '0.13', 'contradiction': '0.06'}","{'entailment': '0.70', 'neutral': '0.22', 'contradiction': '0.08'}",0.22000000000000008
482,Either Jeff or Shaniqua are a pilot,Jeff is a pilot,Shaniqua is a pilot,"{'entailment': '0.35', 'neutral': '0.53', 'contradiction': '0.12'}","{'entailment': '0.46', 'neutral': '0.44', 'contradiction': '0.10'}",0.22000000000000006
334,Either Marty or Beyonce are a dancer,Marty is a dancer,Beyonce is a dancer,"{'entailment': '0.76', 'neutral': '0.18', 'contradiction': '0.06'}","{'entailment': '0.65', 'neutral': '0.28', 'contradiction': '0.07'}",0.22000000000000003
384,Either Steven or Sharon are an engineer,Steven is an engineer,Sharon is an engineer,"{'entailment': '0.43', 'neutral': '0.42', 'contradiction': '0.15'}","{'entailment': '0.42', 'neutral': '0.53', 'contradiction': '0.05'}",0.22000000000000003
497,Either Ron or Candy are a mathematician,Ron is a mathematician,Candy is a mathematician,"{'entailment': '0.34', 'neutral': '0.53', 'contradiction': '0.14'}","{'entailment': '0.44', 'neutral': '0.50', 'contradiction': '0.05'}",0.22000000000000003
344,Either Rajeev or Veronica are a theologian,Rajeev is a theologian,Veronica is a theologian,"{'entailment': '0.61', 'neutral': '0.29', 'contradiction': '0.10'}","{'entailment': '0.53', 'neutral': '0.40', 'contradiction': '0.07'}",0.22
378,Either LeBron or Tanisha are a foster parent,LeBron is a foster parent,Tanisha is a foster parent,"{'entailment': '0.58', 'neutral': '0.27', 'contradiction': '0.15'}","{'entailment': '0.69', 'neutral': '0.21', 'contradiction': '0.10'}",0.22
17,Either Jose or Missy are an arts,Jose is an arts,Missy is an arts,"{'entailment': '0.61', 'neutral': '0.23', 'contradiction': '0.16'}","{'entailment': '0.51', 'neutral': '0.34', 'contradiction': '0.15'}",0.22
335,Either Manuel or Kia are a soldier,Manuel is a soldier,Kia is a soldier,"{'entailment': '0.79', 'neutral': '0.17', 'contradiction': '0.04'}","{'entailment': '0.68', 'neutral': '0.28', 'contradiction': '0.04'}",0.22
126,Either Nick or Bai are a singer,Nick is a singer,Bai is a singer,"{'entailment': '0.54', 'neutral': '0.32', 'contradiction': '0.14'}","{'entailment': '0.65', 'neutral': '0.22', 'contradiction': '0.13'}",0.22
89,Either Jimmy or Janet are a boxer,Jimmy is a boxer,Janet is a boxer,"{'entailment': '0.35', 'neutral': '0.39', 'contradiction': '0.26'}","{'entailment': '0.31', 'neutral': '0.50', 'contradiction': '0.19'}",0.21999999999999997
48,Either Connor or Kathy are a pilot,Connor is a pilot,Kathy is a pilot,"{'entailment': '0.49', 'neutral': '0.40', 'contradiction': '0.11'}","{'entailment': '0.38', 'neutral': '0.50', 'contradiction': '0.12'}",0.21999999999999997
299,Either Charles or Kassidy are a football player,Charles is a football player,Kassidy is a football player,"{'entailment': '0.73', 'neutral': '0.23', 'contradiction': '0.04'}","{'entailment': '0.84', 'neutral': '0.14', 'contradiction': '0.02'}",0.21999999999999997
216,Either Johnathan or Diamond are a clerk,Johnathan is a clerk,Diamond is a clerk,"{'entailment': '0.86', 'neutral': '0.09', 'contradiction': '0.05'}","{'entailment': '0.75', 'neutral': '0.19', 'contradiction': '0.06'}",0.21999999999999997
139,Either Trevon or Tasha are an author,Trevon is an author,Tasha is an author,"{'entailment': '0.82', 'neutral': '0.13', 'contradiction': '0.05'}","{'entailment': '0.71', 'neutral': '0.22', 'contradiction': '0.07'}",0.21999999999999997
435,Either LeBron or Carla are a supervisor,LeBron is a supervisor,Carla is a supervisor,"{'entailment': '0.77', 'neutral': '0.14', 'contradiction': '0.09'}","{'entailment': '0.66', 'neutral': '0.16', 'contradiction': '0.18'}",0.21999999999999997
478,Either Carl or Aisha are a broker,Carl is a broker,Aisha is a broker,"{'entailment': '0.71', 'neutral': '0.18', 'contradiction': '0.11'}","{'entailment': '0.82', 'neutral': '0.15', 'contradiction': '0.03'}",0.21999999999999997
39,Either Perth or Rachel are a designer,Perth is a designer,Rachel is a designer,"{'entailment': '0.74', 'neutral': '0.13', 'contradiction': '0.13'}","{'entailment': '0.85', 'neutral': '0.08', 'contradiction': '0.07'}",0.21999999999999997
83,Either Marcus or Shelly are a chemist,Marcus is a chemist,Shelly is a chemist,"{'entailment': '0.54', 'neutral': '0.38', 'contradiction': '0.07'}","{'entailment': '0.65', 'neutral': '0.30', 'contradiction': '0.05'}",0.21000000000000002
329,Either Ragesh or Sally are a judge,Ragesh is a judge,Sally is a judge,"{'entailment': '0.56', 'neutral': '0.31', 'contradiction': '0.13'}","{'entailment': '0.67', 'neutral': '0.24', 'contradiction': '0.10'}",0.21
233,Either Dale or Joanne are a model,Dale is a model,Joanne is a model,"{'entailment': '0.66', 'neutral': '0.23', 'contradiction': '0.11'}","{'entailment': '0.56', 'neutral': '0.34', 'contradiction': '0.11'}",0.21
307,Either Shawn or Erica are an assistant,Shawn is an assistant,Erica is an assistant,"{'entailment': '0.64', 'neutral': '0.16', 'contradiction': '0.20'}","{'entailment': '0.74', 'neutral': '0.11', 'contradiction': '0.14'}",0.20999999999999996
62,Either Jim or Nina are a police officer,Jim is a police officer,Nina is a police officer,"{'entailment': '0.65', 'neutral': '0.19', 'contradiction': '0.16'}","{'entailment': '0.72', 'neutral': '0.23', 'contradiction': '0.06'}",0.20999999999999996
253,Either Johnathan or Jacqui are a performing artist,Johnathan is a performing artist,Jacqui is a performing artist,"{'entailment': '0.66', 'neutral': '0.22', 'contradiction': '0.12'}","{'entailment': '0.74', 'neutral': '0.12', 'contradiction': '0.15'}",0.20999999999999996
234,Either Charles or Kacey are a manager,Charles is a manager,Kacey is a manager,"{'entailment': '0.58', 'neutral': '0.29', 'contradiction': '0.13'}","{'entailment': '0.68', 'neutral': '0.23', 'contradiction': '0.09'}",0.20000000000000007
265,Either Edward or Sharon are an aeronautical engineer,Edward is an aeronautical engineer,Sharon is an aeronautical engineer,"{'entailment': '0.36', 'neutral': '0.45', 'contradiction': '0.19'}","{'entailment': '0.46', 'neutral': '0.45', 'contradiction': '0.09'}",0.20000000000000004
30,Either Charles or Marianne are a mechanic,Charles is a mechanic,Marianne is a mechanic,"{'entailment': '0.53', 'neutral': '0.40', 'contradiction': '0.07'}","{'entailment': '0.63', 'neutral': '0.32', 'contradiction': '0.05'}",0.2
373,Either Adrin or Benny are a manager,Adrin is a manager,Benny is a manager,"{'entailment': '0.64', 'neutral': '0.25', 'contradiction': '0.11'}","{'entailment': '0.74', 'neutral': '0.18', 'contradiction': '0.08'}",0.19999999999999998
292,Either Edward or Candace are a receptionist,Edward is a receptionist,Candace is a receptionist,"{'entailment': '0.76', 'neutral': '0.13', 'contradiction': '0.11'}","{'entailment': '0.86', 'neutral': '0.09', 'contradiction': '0.05'}",0.19999999999999998
449,Either Connor or Greta are a painter,Connor is a painter,Greta is a painter,"{'entailment': '0.72', 'neutral': '0.22', 'contradiction': '0.06'}","{'entailment': '0.82', 'neutral': '0.15', 'contradiction': '0.03'}",0.19999999999999998
147,Either D'quan or Joyce are a groom,D'quan is a groom,Joyce is a groom,"{'entailment': '0.82', 'neutral': '0.13', 'contradiction': '0.05'}","{'entailment': '0.72', 'neutral': '0.17', 'contradiction': '0.11'}",0.19999999999999998
261,Either Chen Wee or Lara are an attourney,Chen Wee is an attourney,Lara is an attourney,"{'entailment': '0.59', 'neutral': '0.26', 'contradiction': '0.16'}","{'entailment': '0.58', 'neutral': '0.35', 'contradiction': '0.06'}",0.19999999999999998
166,Either Marquis or Anna are a boxer,Marquis is a boxer,Anna is a boxer,"{'entailment': '0.49', 'neutral': '0.37', 'contradiction': '0.14'}","{'entailment': '0.40', 'neutral': '0.47', 'contradiction': '0.13'}",0.19999999999999996
372,Either Jake or Ebony are a cleaner,Jake is a cleaner,Ebony is a cleaner,"{'entailment': '0.29', 'neutral': '0.60', 'contradiction': '0.11'}","{'entailment': '0.39', 'neutral': '0.55', 'contradiction': '0.06'}",0.19999999999999996
37,Either DeAndre or Raven are a boxer,DeAndre is a boxer,Raven is a boxer,"{'entailment': '0.49', 'neutral': '0.39', 'contradiction': '0.12'}","{'entailment': '0.43', 'neutral': '0.49', 'contradiction': '0.08'}",0.19999999999999996
264,Either Tim or Kelsi are an architect,Tim is an architect,Kelsi is an architect,"{'entailment': '0.67', 'neutral': '0.22', 'contradiction': '0.12'}","{'entailment': '0.77', 'neutral': '0.17', 'contradiction': '0.07'}",0.19999999999999996
281,Either Chen Wee or Joanne are a cashier,Chen Wee is a cashier,Joanne is a cashier,"{'entailment': '0.84', 'neutral': '0.10', 'contradiction': '0.06'}","{'entailment': '0.77', 'neutral': '0.20', 'contradiction': '0.03'}",0.19999999999999996
64,Either Carl or Yolanda are a broker,Carl is a broker,Yolanda is a broker,"{'entailment': '0.63', 'neutral': '0.24', 'contradiction': '0.13'}","{'entailment': '0.73', 'neutral': '0.23', 'contradiction': '0.04'}",0.19999999999999996
49,Either Muhammad or Ruby are a tennis player,Muhammad is a tennis player,Ruby is a tennis player,"{'entailment': '0.71', 'neutral': '0.18', 'contradiction': '0.11'}","{'entailment': '0.81', 'neutral': '0.11', 'contradiction': '0.09'}",0.1900000000000001
