,prem,hypo1,hypo2,score1,score2,diff1,prem-rev,hypo3,hypo4,score3,score4,diff2
292,Either Joanne or Timmy is a cleaner,Joanne is a cleaner,Timmy is a cleaner,"{'entailment': '0.62', 'neutral': '0.34', 'contradiction': '0.04'}","{'entailment': '0.56', 'neutral': '0.34', 'contradiction': '0.10'}",0.11999999999999994,Either Timmy or Joanne is a cleaner,Joanne is a cleaner,Timmy is a cleaner,"{'entailment': '0.68', 'neutral': '0.29', 'contradiction': '0.03'}","{'entailment': '0.54', 'neutral': '0.36', 'contradiction': '0.10'}",0.28
293,Either Fabioloa or Marcus is a laborer,Fabioloa is a laborer,Marcus is a laborer,"{'entailment': '0.81', 'neutral': '0.16', 'contradiction': '0.03'}","{'entailment': '0.74', 'neutral': '0.22', 'contradiction': '0.04'}",0.14000000000000007,Either Marcus or Fabioloa is a laborer,Fabioloa is a laborer,Marcus is a laborer,"{'entailment': '0.72', 'neutral': '0.22', 'contradiction': '0.07'}","{'entailment': '0.72', 'neutral': '0.23', 'contradiction': '0.05'}",0.030000000000000013
294,Either Joanne or Marcus is a photographer,Joanne is a photographer,Marcus is a photographer,"{'entailment': '0.73', 'neutral': '0.23', 'contradiction': '0.05'}","{'entailment': '0.67', 'neutral': '0.23', 'contradiction': '0.10'}",0.10999999999999995,Either Marcus or Joanne is a photographer,Joanne is a photographer,Marcus is a photographer,"{'entailment': '0.72', 'neutral': '0.24', 'contradiction': '0.04'}","{'entailment': '0.66', 'neutral': '0.24', 'contradiction': '0.10'}",0.11999999999999994
295,Either Carrie or LeBron is a musician,Carrie is a musician,LeBron is a musician,"{'entailment': '0.70', 'neutral': '0.22', 'contradiction': '0.08'}","{'entailment': '0.78', 'neutral': '0.16', 'contradiction': '0.06'}",0.1600000000000001,Either LeBron or Carrie is a musician,Carrie is a musician,LeBron is a musician,"{'entailment': '0.56', 'neutral': '0.23', 'contradiction': '0.21'}","{'entailment': '0.78', 'neutral': '0.16', 'contradiction': '0.05'}",0.44999999999999996
296,Either Jacqui or Kevin is an office worker,Jacqui is an office worker,Kevin is an office worker,"{'entailment': '0.77', 'neutral': '0.19', 'contradiction': '0.05'}","{'entailment': '0.75', 'neutral': '0.19', 'contradiction': '0.06'}",0.030000000000000013,Either Kevin or Jacqui is an office worker,Jacqui is an office worker,Kevin is an office worker,"{'entailment': '0.75', 'neutral': '0.17', 'contradiction': '0.08'}","{'entailment': '0.55', 'neutral': '0.36', 'contradiction': '0.09'}",0.3999999999999999
297,Either Phoebe or Won Lee is a butler,Phoebe is a butler,Won Lee is a butler,"{'entailment': '0.33', 'neutral': '0.60', 'contradiction': '0.07'}","{'entailment': '0.87', 'neutral': '0.11', 'contradiction': '0.02'}",1.08,Either Won Lee or Phoebe is a butler,Phoebe is a butler,Won Lee is a butler,"{'entailment': '0.41', 'neutral': '0.53', 'contradiction': '0.06'}","{'entailment': '0.75', 'neutral': '0.21', 'contradiction': '0.04'}",0.6800000000000002
298,Either Paula or Jesus is a handball player,Paula is a handball player,Jesus is a handball player,"{'entailment': '0.85', 'neutral': '0.10', 'contradiction': '0.05'}","{'entailment': '0.41', 'neutral': '0.43', 'contradiction': '0.16'}",0.88,Either Jesus or Paula is a handball player,Paula is a handball player,Jesus is a handball player,"{'entailment': '0.76', 'neutral': '0.13', 'contradiction': '0.12'}","{'entailment': '0.36', 'neutral': '0.55', 'contradiction': '0.10'}",0.8400000000000001
299,Either Meghan or Won Lee is an agent,Meghan is an agent,Won Lee is an agent,"{'entailment': '0.52', 'neutral': '0.41', 'contradiction': '0.07'}","{'entailment': '0.85', 'neutral': '0.11', 'contradiction': '0.04'}",0.6599999999999999,Either Won Lee or Meghan is an agent,Meghan is an agent,Won Lee is an agent,"{'entailment': '0.57', 'neutral': '0.37', 'contradiction': '0.06'}","{'entailment': '0.90', 'neutral': '0.08', 'contradiction': '0.02'}",0.6600000000000001
300,Either Liz or Jafari is an artist,Liz is an artist,Jafari is an artist,"{'entailment': '0.72', 'neutral': '0.19', 'contradiction': '0.08'}","{'entailment': '0.84', 'neutral': '0.12', 'contradiction': '0.04'}",0.23,Either Jafari or Liz is an artist,Liz is an artist,Jafari is an artist,"{'entailment': '0.72', 'neutral': '0.21', 'contradiction': '0.08'}","{'entailment': '0.76', 'neutral': '0.16', 'contradiction': '0.08'}",0.09000000000000002
301,Either Janet or Mack is a realtor,Janet is a realtor,Mack is a realtor,"{'entailment': '0.74', 'neutral': '0.18', 'contradiction': '0.07'}","{'entailment': '0.69', 'neutral': '0.19', 'contradiction': '0.12'}",0.11000000000000004,Either Mack or Janet is a realtor,Janet is a realtor,Mack is a realtor,"{'entailment': '0.72', 'neutral': '0.16', 'contradiction': '0.12'}","{'entailment': '0.80', 'neutral': '0.13', 'contradiction': '0.07'}",0.16000000000000006
302,Either Beth or Jimmy is a mathematician,Beth is a mathematician,Jimmy is a mathematician,"{'entailment': '0.48', 'neutral': '0.47', 'contradiction': '0.05'}","{'entailment': '0.68', 'neutral': '0.26', 'contradiction': '0.06'}",0.42000000000000004,Either Jimmy or Beth is a mathematician,Beth is a mathematician,Jimmy is a mathematician,"{'entailment': '0.42', 'neutral': '0.51', 'contradiction': '0.06'}","{'entailment': '0.47', 'neutral': '0.39', 'contradiction': '0.13'}",0.24
303,Either Susan or Lars is a servant,Susan is a servant,Lars is a servant,"{'entailment': '0.66', 'neutral': '0.19', 'contradiction': '0.15'}","{'entailment': '0.67', 'neutral': '0.20', 'contradiction': '0.13'}",0.04000000000000001,Either Lars or Susan is a servant,Susan is a servant,Lars is a servant,"{'entailment': '0.75', 'neutral': '0.14', 'contradiction': '0.11'}","{'entailment': '0.63', 'neutral': '0.19', 'contradiction': '0.19'}",0.25
304,Either Craig or Silas is a comedian,Craig is a comedian,Silas is a comedian,"{'entailment': '0.70', 'neutral': '0.23', 'contradiction': '0.07'}","{'entailment': '0.72', 'neutral': '0.24', 'contradiction': '0.05'}",0.05,Either Silas or Craig is a comedian,Craig is a comedian,Silas is a comedian,"{'entailment': '0.83', 'neutral': '0.13', 'contradiction': '0.04'}","{'entailment': '0.82', 'neutral': '0.16', 'contradiction': '0.02'}",0.06000000000000001
305,Either Megan or Steven is an author,Megan is an author,Steven is an author,"{'entailment': '0.81', 'neutral': '0.12', 'contradiction': '0.07'}","{'entailment': '0.67', 'neutral': '0.18', 'contradiction': '0.15'}",0.28,Either Steven or Megan is an author,Megan is an author,Steven is an author,"{'entailment': '0.64', 'neutral': '0.23', 'contradiction': '0.13'}","{'entailment': '0.70', 'neutral': '0.13', 'contradiction': '0.16'}",0.18999999999999995
306,Either Jenna or Ming is a scientist,Jenna is a scientist,Ming is a scientist,"{'entailment': '0.39', 'neutral': '0.52', 'contradiction': '0.09'}","{'entailment': '0.57', 'neutral': '0.35', 'contradiction': '0.08'}",0.36,Either Ming or Jenna is a scientist,Jenna is a scientist,Ming is a scientist,"{'entailment': '0.49', 'neutral': '0.41', 'contradiction': '0.10'}","{'entailment': '0.59', 'neutral': '0.34', 'contradiction': '0.07'}",0.19999999999999993
307,Either Benny or Steven is a comedian,Benny is a comedian,Steven is a comedian,"{'entailment': '0.83', 'neutral': '0.12', 'contradiction': '0.06'}","{'entailment': '0.65', 'neutral': '0.20', 'contradiction': '0.15'}",0.35,Either Steven or Benny is a comedian,Benny is a comedian,Steven is a comedian,"{'entailment': '0.79', 'neutral': '0.14', 'contradiction': '0.07'}","{'entailment': '0.80', 'neutral': '0.14', 'contradiction': '0.06'}",0.020000000000000018
308,Either Carly or Denny is an analyst,Carly is an analyst,Denny is an analyst,"{'entailment': '0.79', 'neutral': '0.18', 'contradiction': '0.03'}","{'entailment': '0.69', 'neutral': '0.27', 'contradiction': '0.04'}",0.20000000000000012,Either Denny or Carly is an analyst,Carly is an analyst,Denny is an analyst,"{'entailment': '0.62', 'neutral': '0.33', 'contradiction': '0.06'}","{'entailment': '0.73', 'neutral': '0.24', 'contradiction': '0.03'}",0.23
309,Either Tricia or Alan is an economist,Tricia is an economist,Alan is an economist,"{'entailment': '0.42', 'neutral': '0.54', 'contradiction': '0.05'}","{'entailment': '0.53', 'neutral': '0.41', 'contradiction': '0.07'}",0.2600000000000001,Either Alan or Tricia is an economist,Tricia is an economist,Alan is an economist,"{'entailment': '0.51', 'neutral': '0.44', 'contradiction': '0.05'}","{'entailment': '0.46', 'neutral': '0.46', 'contradiction': '0.08'}",0.1
310,Either Jane or Javier is an athlete,Jane is an athlete,Javier is an athlete,"{'entailment': '0.44', 'neutral': '0.49', 'contradiction': '0.08'}","{'entailment': '0.61', 'neutral': '0.29', 'contradiction': '0.10'}",0.39,Either Javier or Jane is an athlete,Jane is an athlete,Javier is an athlete,"{'entailment': '0.27', 'neutral': '0.62', 'contradiction': '0.11'}","{'entailment': '0.65', 'neutral': '0.28', 'contradiction': '0.07'}",0.76
311,Either Grace or Jake is a radiologist,Grace is a radiologist,Jake is a radiologist,"{'entailment': '0.77', 'neutral': '0.18', 'contradiction': '0.05'}","{'entailment': '0.55', 'neutral': '0.28', 'contradiction': '0.17'}",0.44,Either Jake or Grace is a radiologist,Grace is a radiologist,Jake is a radiologist,"{'entailment': '0.46', 'neutral': '0.42', 'contradiction': '0.12'}","{'entailment': '0.34', 'neutral': '0.39', 'contradiction': '0.27'}",0.3
312,Either Shevon or Robert is an army,Shevon is an army,Robert is an army,"{'entailment': '0.47', 'neutral': '0.39', 'contradiction': '0.14'}","{'entailment': '0.52', 'neutral': '0.34', 'contradiction': '0.14'}",0.10000000000000003,Either Robert or Shevon is an army,Shevon is an army,Robert is an army,"{'entailment': '0.47', 'neutral': '0.37', 'contradiction': '0.17'}","{'entailment': '0.44', 'neutral': '0.40', 'contradiction': '0.15'}",0.08000000000000002
313,Either Candice or Miguel is a doctor,Candice is a doctor,Miguel is a doctor,"{'entailment': '0.58', 'neutral': '0.37', 'contradiction': '0.05'}","{'entailment': '0.90', 'neutral': '0.08', 'contradiction': '0.02'}",0.6400000000000001,Either Miguel or Candice is a doctor,Candice is a doctor,Miguel is a doctor,"{'entailment': '0.69', 'neutral': '0.27', 'contradiction': '0.04'}","{'entailment': '0.85', 'neutral': '0.11', 'contradiction': '0.04'}",0.32000000000000006
314,Either Maya or Paul is a cleric,Maya is a cleric,Paul is a cleric,"{'entailment': '0.81', 'neutral': '0.13', 'contradiction': '0.06'}","{'entailment': '0.83', 'neutral': '0.11', 'contradiction': '0.06'}",0.03999999999999991,Either Paul or Maya is a cleric,Maya is a cleric,Paul is a cleric,"{'entailment': '0.59', 'neutral': '0.27', 'contradiction': '0.14'}","{'entailment': '0.57', 'neutral': '0.23', 'contradiction': '0.21'}",0.13
315,Either Anita or Connor is a grocer,Anita is a grocer,Connor is a grocer,"{'entailment': '0.70', 'neutral': '0.21', 'contradiction': '0.09'}","{'entailment': '0.72', 'neutral': '0.20', 'contradiction': '0.08'}",0.039999999999999994,Either Connor or Anita is a grocer,Anita is a grocer,Connor is a grocer,"{'entailment': '0.76', 'neutral': '0.17', 'contradiction': '0.08'}","{'entailment': '0.70', 'neutral': '0.22', 'contradiction': '0.09'}",0.12000000000000004
316,Either Kassidy or Hunter is a software engineer,Kassidy is a software engineer,Hunter is a software engineer,"{'entailment': '0.66', 'neutral': '0.30', 'contradiction': '0.04'}","{'entailment': '0.68', 'neutral': '0.30', 'contradiction': '0.02'}",0.04000000000000002,Either Hunter or Kassidy is a software engineer,Kassidy is a software engineer,Hunter is a software engineer,"{'entailment': '0.72', 'neutral': '0.26', 'contradiction': '0.02'}","{'entailment': '0.55', 'neutral': '0.42', 'contradiction': '0.03'}",0.3399999999999999
317,Either Joan or Sheng Lee is a mathematician,Joan is a mathematician,Sheng Lee is a mathematician,"{'entailment': '0.46', 'neutral': '0.51', 'contradiction': '0.04'}","{'entailment': '0.73', 'neutral': '0.21', 'contradiction': '0.06'}",0.5900000000000001,Either Sheng Lee or Joan is a mathematician,Joan is a mathematician,Sheng Lee is a mathematician,"{'entailment': '0.62', 'neutral': '0.35', 'contradiction': '0.04'}","{'entailment': '0.66', 'neutral': '0.27', 'contradiction': '0.06'}",0.13999999999999999
318,Either Cynthia or Jesus is a comedian,Cynthia is a comedian,Jesus is a comedian,"{'entailment': '0.77', 'neutral': '0.19', 'contradiction': '0.05'}","{'entailment': '0.48', 'neutral': '0.36', 'contradiction': '0.17'}",0.5800000000000001,Either Jesus or Cynthia is a comedian,Cynthia is a comedian,Jesus is a comedian,"{'entailment': '0.73', 'neutral': '0.18', 'contradiction': '0.09'}","{'entailment': '0.31', 'neutral': '0.52', 'contradiction': '0.17'}",0.8400000000000001
319,Either Camille or Bill is an attourney,Camille is an attourney,Bill is an attourney,"{'entailment': '0.36', 'neutral': '0.48', 'contradiction': '0.16'}","{'entailment': '0.25', 'neutral': '0.58', 'contradiction': '0.17'}",0.21999999999999997,Either Bill or Camille is an attourney,Camille is an attourney,Bill is an attourney,"{'entailment': '0.33', 'neutral': '0.50', 'contradiction': '0.17'}","{'entailment': '0.26', 'neutral': '0.59', 'contradiction': '0.15'}",0.18
320,Either Anita or Billy is a gambler,Anita is a gambler,Billy is a gambler,"{'entailment': '0.43', 'neutral': '0.49', 'contradiction': '0.08'}","{'entailment': '0.55', 'neutral': '0.35', 'contradiction': '0.10'}",0.2800000000000001,Either Billy or Anita is a gambler,Anita is a gambler,Billy is a gambler,"{'entailment': '0.49', 'neutral': '0.43', 'contradiction': '0.08'}","{'entailment': '0.54', 'neutral': '0.36', 'contradiction': '0.11'}",0.15000000000000005
321,Either Lily or Dustin is a butler,Lily is a butler,Dustin is a butler,"{'entailment': '0.32', 'neutral': '0.62', 'contradiction': '0.07'}","{'entailment': '0.60', 'neutral': '0.29', 'contradiction': '0.11'}",0.65,Either Dustin or Lily is a butler,Lily is a butler,Dustin is a butler,"{'entailment': '0.41', 'neutral': '0.51', 'contradiction': '0.08'}","{'entailment': '0.42', 'neutral': '0.43', 'contradiction': '0.14'}",0.15000000000000002
322,Either Beth or James is a chef,Beth is a chef,James is a chef,"{'entailment': '0.49', 'neutral': '0.41', 'contradiction': '0.10'}","{'entailment': '0.56', 'neutral': '0.29', 'contradiction': '0.15'}",0.24000000000000005,Either James or Beth is a chef,Beth is a chef,James is a chef,"{'entailment': '0.50', 'neutral': '0.38', 'contradiction': '0.12'}","{'entailment': '0.55', 'neutral': '0.26', 'contradiction': '0.18'}",0.23000000000000004
323,Either Wendy or Joe is an army,Wendy is an army,Joe is an army,"{'entailment': '0.49', 'neutral': '0.35', 'contradiction': '0.16'}","{'entailment': '0.44', 'neutral': '0.33', 'contradiction': '0.23'}",0.13999999999999996,Either Joe or Wendy is an army,Wendy is an army,Joe is an army,"{'entailment': '0.39', 'neutral': '0.38', 'contradiction': '0.23'}","{'entailment': '0.32', 'neutral': '0.39', 'contradiction': '0.29'}",0.13999999999999999
324,Either Molly or Cadan is a scientist,Molly is a scientist,Cadan is a scientist,"{'entailment': '0.44', 'neutral': '0.48', 'contradiction': '0.08'}","{'entailment': '0.67', 'neutral': '0.30', 'contradiction': '0.03'}",0.46,Either Cadan or Molly is a scientist,Molly is a scientist,Cadan is a scientist,"{'entailment': '0.54', 'neutral': '0.37', 'contradiction': '0.09'}","{'entailment': '0.59', 'neutral': '0.36', 'contradiction': '0.05'}",0.09999999999999994
325,Either Emily or Cody is a businessperson,Emily is a businessperson,Cody is a businessperson,"{'entailment': '0.30', 'neutral': '0.59', 'contradiction': '0.11'}","{'entailment': '0.39', 'neutral': '0.55', 'contradiction': '0.07'}",0.16999999999999993,Either Cody or Emily is a businessperson,Emily is a businessperson,Cody is a businessperson,"{'entailment': '0.29', 'neutral': '0.56', 'contradiction': '0.15'}","{'entailment': '0.29', 'neutral': '0.61', 'contradiction': '0.10'}",0.09999999999999992
326,Either Juliette or Ramirez is a gambler,Juliette is a gambler,Ramirez is a gambler,"{'entailment': '0.35', 'neutral': '0.57', 'contradiction': '0.08'}","{'entailment': '0.69', 'neutral': '0.27', 'contradiction': '0.04'}",0.6799999999999999,Either Ramirez or Juliette is a gambler,Juliette is a gambler,Ramirez is a gambler,"{'entailment': '0.41', 'neutral': '0.50', 'contradiction': '0.10'}","{'entailment': '0.49', 'neutral': '0.44', 'contradiction': '0.07'}",0.17
327,Either Craig or Marquis is a postman,Craig is a postman,Marquis is a postman,"{'entailment': '0.86', 'neutral': '0.09', 'contradiction': '0.05'}","{'entailment': '0.81', 'neutral': '0.13', 'contradiction': '0.06'}",0.09999999999999994,Either Marquis or Craig is a postman,Craig is a postman,Marquis is a postman,"{'entailment': '0.92', 'neutral': '0.06', 'contradiction': '0.03'}","{'entailment': '0.85', 'neutral': '0.10', 'contradiction': '0.05'}",0.13000000000000006
328,Either Barbara or Rocco is a handyman,Barbara is a handyman,Rocco is a handyman,"{'entailment': '0.66', 'neutral': '0.30', 'contradiction': '0.04'}","{'entailment': '0.64', 'neutral': '0.31', 'contradiction': '0.06'}",0.050000000000000024,Either Rocco or Barbara is a handyman,Barbara is a handyman,Rocco is a handyman,"{'entailment': '0.71', 'neutral': '0.24', 'contradiction': '0.05'}","{'entailment': '0.71', 'neutral': '0.26', 'contradiction': '0.04'}",0.03000000000000002
329,Either Candace or Eddie is a pensioner,Candace is a pensioner,Eddie is a pensioner,"{'entailment': '0.70', 'neutral': '0.23', 'contradiction': '0.07'}","{'entailment': '0.70', 'neutral': '0.18', 'contradiction': '0.12'}",0.1,Either Eddie or Candace is a pensioner,Candace is a pensioner,Eddie is a pensioner,"{'entailment': '0.64', 'neutral': '0.25', 'contradiction': '0.10'}","{'entailment': '0.66', 'neutral': '0.18', 'contradiction': '0.15'}",0.14
330,Either Fabioloa or Ramon is a sociologist,Fabioloa is a sociologist,Ramon is a sociologist,"{'entailment': '0.83', 'neutral': '0.12', 'contradiction': '0.05'}","{'entailment': '0.88', 'neutral': '0.09', 'contradiction': '0.03'}",0.10000000000000005,Either Ramon or Fabioloa is a sociologist,Fabioloa is a sociologist,Ramon is a sociologist,"{'entailment': '0.83', 'neutral': '0.12', 'contradiction': '0.05'}","{'entailment': '0.91', 'neutral': '0.07', 'contradiction': '0.02'}",0.16000000000000006
331,Either Grace or Jaleel is a poet,Grace is a poet,Jaleel is a poet,"{'entailment': '0.76', 'neutral': '0.20', 'contradiction': '0.04'}","{'entailment': '0.84', 'neutral': '0.13', 'contradiction': '0.04'}",0.14999999999999997,Either Jaleel or Grace is a poet,Grace is a poet,Jaleel is a poet,"{'entailment': '0.74', 'neutral': '0.19', 'contradiction': '0.07'}","{'entailment': '0.80', 'neutral': '0.16', 'contradiction': '0.04'}",0.12000000000000005
332,Either Shaniqua or Sheng Lee is a commander,Shaniqua is a commander,Sheng Lee is a commander,"{'entailment': '0.73', 'neutral': '0.21', 'contradiction': '0.06'}","{'entailment': '0.87', 'neutral': '0.09', 'contradiction': '0.04'}",0.28,Either Sheng Lee or Shaniqua is a commander,Shaniqua is a commander,Sheng Lee is a commander,"{'entailment': '0.76', 'neutral': '0.19', 'contradiction': '0.05'}","{'entailment': '0.68', 'neutral': '0.22', 'contradiction': '0.09'}",0.14999999999999997
333,Either Cynthia or Jose is a tennis player,Cynthia is a tennis player,Jose is a tennis player,"{'entailment': '0.69', 'neutral': '0.24', 'contradiction': '0.07'}","{'entailment': '0.80', 'neutral': '0.12', 'contradiction': '0.08'}",0.2400000000000001,Either Jose or Cynthia is a tennis player,Cynthia is a tennis player,Jose is a tennis player,"{'entailment': '0.64', 'neutral': '0.26', 'contradiction': '0.10'}","{'entailment': '0.72', 'neutral': '0.19', 'contradiction': '0.09'}",0.15999999999999998
334,Either Grace or Jim is an executive,Grace is an executive,Jim is an executive,"{'entailment': '0.55', 'neutral': '0.38', 'contradiction': '0.06'}","{'entailment': '0.59', 'neutral': '0.30', 'contradiction': '0.11'}",0.16999999999999993,Either Jim or Grace is an executive,Grace is an executive,Jim is an executive,"{'entailment': '0.46', 'neutral': '0.47', 'contradiction': '0.07'}","{'entailment': '0.39', 'neutral': '0.39', 'contradiction': '0.22'}",0.29999999999999993
335,Either Carla or DeShawn is a magician,Carla is a magician,DeShawn is a magician,"{'entailment': '0.51', 'neutral': '0.45', 'contradiction': '0.04'}","{'entailment': '0.68', 'neutral': '0.25', 'contradiction': '0.07'}",0.4000000000000001,Either DeShawn or Carla is a magician,Carla is a magician,DeShawn is a magician,"{'entailment': '0.70', 'neutral': '0.27', 'contradiction': '0.03'}","{'entailment': '0.49', 'neutral': '0.39', 'contradiction': '0.12'}",0.41999999999999993
336,Either Grace or Jake is a prosecutor,Grace is a prosecutor,Jake is a prosecutor,"{'entailment': '0.66', 'neutral': '0.24', 'contradiction': '0.10'}","{'entailment': '0.55', 'neutral': '0.26', 'contradiction': '0.19'}",0.22,Either Jake or Grace is a prosecutor,Grace is a prosecutor,Jake is a prosecutor,"{'entailment': '0.48', 'neutral': '0.37', 'contradiction': '0.16'}","{'entailment': '0.29', 'neutral': '0.40', 'contradiction': '0.30'}",0.36
337,Either Grace or Jose is an employee,Grace is an employee,Jose is an employee,"{'entailment': '0.80', 'neutral': '0.16', 'contradiction': '0.04'}","{'entailment': '0.77', 'neutral': '0.17', 'contradiction': '0.06'}",0.06000000000000003,Either Jose or Grace is an employee,Grace is an employee,Jose is an employee,"{'entailment': '0.53', 'neutral': '0.32', 'contradiction': '0.15'}","{'entailment': '0.57', 'neutral': '0.33', 'contradiction': '0.10'}",0.09999999999999992
338,Either Anita or Jim is a carpenter,Anita is a carpenter,Jim is a carpenter,"{'entailment': '0.54', 'neutral': '0.40', 'contradiction': '0.06'}","{'entailment': '0.70', 'neutral': '0.19', 'contradiction': '0.11'}",0.41999999999999993,Either Jim or Anita is a carpenter,Anita is a carpenter,Jim is a carpenter,"{'entailment': '0.62', 'neutral': '0.33', 'contradiction': '0.05'}","{'entailment': '0.46', 'neutral': '0.29', 'contradiction': '0.25'}",0.4
339,Either Liz or Sudeep is a CEO,Liz is a CEO,Sudeep is a CEO,"{'entailment': '0.55', 'neutral': '0.28', 'contradiction': '0.17'}","{'entailment': '0.78', 'neutral': '0.15', 'contradiction': '0.07'}",0.45999999999999996,Either Sudeep or Liz is a CEO,Liz is a CEO,Sudeep is a CEO,"{'entailment': '0.76', 'neutral': '0.18', 'contradiction': '0.06'}","{'entailment': '0.70', 'neutral': '0.18', 'contradiction': '0.12'}",0.12000000000000005
340,Either Olga or Louis is a lifeguard,Olga is a lifeguard,Louis is a lifeguard,"{'entailment': '0.63', 'neutral': '0.32', 'contradiction': '0.04'}","{'entailment': '0.70', 'neutral': '0.25', 'contradiction': '0.05'}",0.14999999999999997,Either Louis or Olga is a lifeguard,Olga is a lifeguard,Louis is a lifeguard,"{'entailment': '0.65', 'neutral': '0.29', 'contradiction': '0.05'}","{'entailment': '0.48', 'neutral': '0.42', 'contradiction': '0.10'}",0.35000000000000003
341,Either Sara or Chen Wee is an artist,Sara is an artist,Chen Wee is an artist,"{'entailment': '0.66', 'neutral': '0.26', 'contradiction': '0.08'}","{'entailment': '0.70', 'neutral': '0.17', 'contradiction': '0.13'}",0.17999999999999994,Either Chen Wee or Sara is an artist,Sara is an artist,Chen Wee is an artist,"{'entailment': '0.76', 'neutral': '0.17', 'contradiction': '0.06'}","{'entailment': '0.75', 'neutral': '0.15', 'contradiction': '0.09'}",0.060000000000000026
342,Either Cindy or Robert is a baker,Cindy is a baker,Robert is a baker,"{'entailment': '0.65', 'neutral': '0.28', 'contradiction': '0.07'}","{'entailment': '0.70', 'neutral': '0.17', 'contradiction': '0.13'}",0.21999999999999995,Either Robert or Cindy is a baker,Cindy is a baker,Robert is a baker,"{'entailment': '0.60', 'neutral': '0.33', 'contradiction': '0.08'}","{'entailment': '0.54', 'neutral': '0.31', 'contradiction': '0.16'}",0.15999999999999998
343,Either Carla or Jimmy is a CEO,Carla is a CEO,Jimmy is a CEO,"{'entailment': '0.57', 'neutral': '0.31', 'contradiction': '0.13'}","{'entailment': '0.61', 'neutral': '0.21', 'contradiction': '0.18'}",0.19000000000000003,Either Jimmy or Carla is a CEO,Carla is a CEO,Jimmy is a CEO,"{'entailment': '0.66', 'neutral': '0.22', 'contradiction': '0.13'}","{'entailment': '0.46', 'neutral': '0.29', 'contradiction': '0.24'}",0.38
344,Either Camille or Jesus is a pensioner,Camille is a pensioner,Jesus is a pensioner,"{'entailment': '0.72', 'neutral': '0.20', 'contradiction': '0.08'}","{'entailment': '0.28', 'neutral': '0.51', 'contradiction': '0.21'}",0.88,Either Jesus or Camille is a pensioner,Camille is a pensioner,Jesus is a pensioner,"{'entailment': '0.70', 'neutral': '0.21', 'contradiction': '0.10'}","{'entailment': '0.17', 'neutral': '0.63', 'contradiction': '0.20'}",1.05
345,Either Janice or Jimmy is an accountant,Janice is an accountant,Jimmy is an accountant,"{'entailment': '0.72', 'neutral': '0.25', 'contradiction': '0.03'}","{'entailment': '0.73', 'neutral': '0.20', 'contradiction': '0.07'}",0.1,Either Jimmy or Janice is an accountant,Janice is an accountant,Jimmy is an accountant,"{'entailment': '0.67', 'neutral': '0.28', 'contradiction': '0.05'}","{'entailment': '0.56', 'neutral': '0.31', 'contradiction': '0.13'}",0.21999999999999997
346,Either Tessa or Trevon is a plumber,Tessa is a plumber,Trevon is a plumber,"{'entailment': '0.78', 'neutral': '0.21', 'contradiction': '0.02'}","{'entailment': '0.91', 'neutral': '0.08', 'contradiction': '0.01'}",0.27,Either Trevon or Tessa is a plumber,Tessa is a plumber,Trevon is a plumber,"{'entailment': '0.83', 'neutral': '0.15', 'contradiction': '0.01'}","{'entailment': '0.85', 'neutral': '0.13', 'contradiction': '0.02'}",0.05000000000000001
347,Either Candy or Thorn is a performing artist,Candy is a performing artist,Thorn is a performing artist,"{'entailment': '0.85', 'neutral': '0.09', 'contradiction': '0.06'}","{'entailment': '0.64', 'neutral': '0.16', 'contradiction': '0.20'}",0.42,Either Thorn or Candy is a performing artist,Candy is a performing artist,Thorn is a performing artist,"{'entailment': '0.69', 'neutral': '0.18', 'contradiction': '0.13'}","{'entailment': '0.73', 'neutral': '0.12', 'contradiction': '0.15'}",0.12000000000000002
348,Either Tasha or Ramirez is an electrician,Tasha is an electrician,Ramirez is an electrician,"{'entailment': '0.49', 'neutral': '0.47', 'contradiction': '0.04'}","{'entailment': '0.78', 'neutral': '0.17', 'contradiction': '0.05'}",0.6,Either Ramirez or Tasha is an electrician,Tasha is an electrician,Ramirez is an electrician,"{'entailment': '0.58', 'neutral': '0.39', 'contradiction': '0.03'}","{'entailment': '0.75', 'neutral': '0.20', 'contradiction': '0.05'}",0.38000000000000006
349,Either Veronica or Connor is a mechanic,Veronica is a mechanic,Connor is a mechanic,"{'entailment': '0.69', 'neutral': '0.25', 'contradiction': '0.06'}","{'entailment': '0.51', 'neutral': '0.43', 'contradiction': '0.06'}",0.35999999999999993,Either Connor or Veronica is a mechanic,Veronica is a mechanic,Connor is a mechanic,"{'entailment': '0.58', 'neutral': '0.33', 'contradiction': '0.09'}","{'entailment': '0.61', 'neutral': '0.32', 'contradiction': '0.07'}",0.060000000000000026
350,Either Brittany or Chan is a doctor,Brittany is a doctor,Chan is a doctor,"{'entailment': '0.47', 'neutral': '0.47', 'contradiction': '0.06'}","{'entailment': '0.75', 'neutral': '0.20', 'contradiction': '0.04'}",0.5700000000000001,Either Chan or Brittany is a doctor,Brittany is a doctor,Chan is a doctor,"{'entailment': '0.63', 'neutral': '0.32', 'contradiction': '0.05'}","{'entailment': '0.55', 'neutral': '0.35', 'contradiction': '0.10'}",0.15999999999999992
