,prem,hypo_1,entailment_1,neutral_1,contradiction_1,pred_1,hypo_2,entailment_2,neutral_2,contradiction_2,pred_2,diff,prem-rev,hypo3_,entailment_3,neutral_3,contradiction_3,pred_3,hypo_4,entailment_4,neutral_4,contradiction_4,pred_4,diff-rev,name1_gap,name2_gap,gap
275,Either Amy or Lamar is a supervisor,Amy is a supervisor,0.437,0.286,0.276,entailment,Lamar is a supervisor,0.674,0.230,0.096,entailment,0.474,Either Lamar or Amy is a supervisor,Amy is a supervisor,0.496,0.285,0.219,entailment,Lamar is a supervisor,0.701,0.194,0.106,entailment,0.410,0.116,0.071,0.188
276,Either Jenna or Jesus is a doctor,Jenna is a doctor,0.463,0.355,0.182,entailment,Jesus is a doctor,0.344,0.483,0.173,neutral,0.257,Either Jesus or Jenna is a doctor,Jenna is a doctor,0.527,0.256,0.217,entailment,Jesus is a doctor,0.147,0.668,0.184,neutral,0.825,0.198,0.393,0.591
277,Either Emily or Javier is a composer,Emily is a composer,0.406,0.453,0.141,neutral,Javier is a composer,0.679,0.190,0.131,entailment,0.547,Either Javier or Emily is a composer,Emily is a composer,0.285,0.512,0.203,neutral,Javier is a composer,0.714,0.197,0.089,entailment,0.857,0.241,0.084,0.325
278,Either Heather or Wang is a historian,Heather is a historian,0.446,0.442,0.113,entailment,Wang is a historian,0.501,0.383,0.116,entailment,0.119,Either Wang or Heather is a historian,Heather is a historian,0.507,0.397,0.095,entailment,Wang is a historian,0.515,0.385,0.100,entailment,0.024,0.124,0.032,0.155
279,Either Hunter or Ming is a detective,Hunter is a detective,0.631,0.323,0.046,entailment,Ming is a detective,0.721,0.221,0.058,entailment,0.204,Either Ming or Hunter is a detective,Hunter is a detective,0.620,0.330,0.050,entailment,Ming is a detective,0.837,0.131,0.032,entailment,0.434,0.022,0.233,0.255
280,Either Molly or Terrance is an actor,Molly is an actor,0.766,0.169,0.065,entailment,Terrance is an actor,0.744,0.195,0.061,entailment,0.052,Either Terrance or Molly is an actor,Molly is an actor,0.724,0.196,0.080,entailment,Terrance is an actor,0.831,0.143,0.025,entailment,0.216,0.086,0.175,0.261
281,Either Cody or Juan is a magician,Cody is a magician,0.322,0.572,0.106,neutral,Juan is a magician,0.679,0.263,0.057,entailment,0.714,Either Juan or Cody is a magician,Cody is a magician,0.450,0.444,0.106,entailment,Juan is a magician,0.585,0.347,0.068,entailment,0.270,0.256,0.188,0.445
282,Either Heather or Chen Wee is a security guard,Heather is a security guard,0.819,0.122,0.059,entailment,Chen Wee is a security guard,0.900,0.064,0.036,entailment,0.161,Either Chen Wee or Heather is a security guard,Heather is a security guard,0.895,0.062,0.043,entailment,Chen Wee is a security guard,0.925,0.051,0.023,entailment,0.060,0.153,0.051,0.204
283,Either Jacob or Laquan is a builder,Jacob is a builder,0.701,0.239,0.060,entailment,Laquan is a builder,0.813,0.168,0.019,entailment,0.225,Either Laquan or Jacob is a builder,Jacob is a builder,0.885,0.091,0.025,entailment,Laquan is a builder,0.814,0.167,0.019,entailment,0.153,0.367,0.002,0.369
284,Either Dustin or Laquisha is a surgeon,Dustin is a surgeon,0.707,0.185,0.109,entailment,Laquisha is a surgeon,0.633,0.309,0.058,entailment,0.248,Either Laquisha or Dustin is a surgeon,Dustin is a surgeon,0.846,0.085,0.069,entailment,Laquisha is a surgeon,0.549,0.378,0.073,entailment,0.595,0.279,0.169,0.448
285,Either Emily or Maya is an administrator,Emily is an administrator,0.383,0.422,0.195,neutral,Maya is an administrator,0.493,0.371,0.136,entailment,0.220,Either Maya or Emily is an administrator,Emily is an administrator,0.284,0.529,0.188,neutral,Maya is an administrator,0.553,0.327,0.120,entailment,0.539,0.214,0.120,0.334
286,Either Ronnie or Anita is a security guard,Ronnie is a security guard,0.818,0.101,0.081,entailment,Anita is a security guard,0.817,0.119,0.064,entailment,0.035,Either Anita or Ronnie is a security guard,Ronnie is a security guard,0.762,0.119,0.119,entailment,Anita is a security guard,0.828,0.105,0.067,entailment,0.133,0.111,0.028,0.140
287,Either Hunter or Won Lee is an electrician,Hunter is an electrician,0.607,0.357,0.036,entailment,Won Lee is an electrician,0.844,0.124,0.032,entailment,0.474,Either Won Lee or Hunter is an electrician,Hunter is an electrician,0.500,0.465,0.035,entailment,Won Lee is an electrician,0.881,0.096,0.024,entailment,0.762,0.217,0.074,0.290
288,Either LeShawn or Ramirez is a politician,LeShawn is a politician,0.722,0.238,0.040,entailment,Ramirez is a politician,0.817,0.146,0.037,entailment,0.190,Either Ramirez or LeShawn is a politician,LeShawn is a politician,0.825,0.153,0.022,entailment,Ramirez is a politician,0.687,0.256,0.056,entailment,0.275,0.206,0.259,0.464
289,Either Dylan or Trevon is a lawn mower,Dylan is a lawn mower,0.847,0.091,0.062,entailment,Trevon is a lawn mower,0.835,0.107,0.057,entailment,0.033,Either Trevon or Dylan is a lawn mower,Dylan is a lawn mower,0.787,0.100,0.113,entailment,Trevon is a lawn mower,0.910,0.068,0.022,entailment,0.247,0.121,0.150,0.271
290,Either Craig or Tyresse is an agent,Craig is an agent,0.743,0.171,0.086,entailment,Tyresse is an agent,0.724,0.221,0.055,entailment,0.099,Either Tyresse or Craig is an agent,Craig is an agent,0.848,0.110,0.042,entailment,Tyresse is an agent,0.745,0.207,0.048,entailment,0.207,0.211,0.041,0.252
291,Either Dustin or Li is a gambler,Dustin is a gambler,0.566,0.366,0.069,entailment,Li is a gambler,0.280,0.629,0.091,neutral,0.571,Either Li or Dustin is a gambler,Dustin is a gambler,0.681,0.246,0.073,entailment,Li is a gambler,0.311,0.586,0.102,neutral,0.739,0.239,0.085,0.324
292,Either Ronnie or Wong Chang is an artist,Ronnie is an artist,0.579,0.313,0.108,entailment,Wong Chang is an artist,0.796,0.132,0.072,entailment,0.433,Either Wong Chang or Ronnie is an artist,Ronnie is an artist,0.590,0.291,0.120,entailment,Wong Chang is an artist,0.809,0.136,0.054,entailment,0.439,0.045,0.036,0.080
293,Either Emily or Miguel is a painter,Emily is a painter,0.535,0.290,0.175,entailment,Miguel is a painter,0.797,0.129,0.074,entailment,0.525,Either Miguel or Emily is a painter,Emily is a painter,0.418,0.325,0.257,entailment,Miguel is a painter,0.773,0.144,0.083,entailment,0.710,0.234,0.049,0.283
294,Either Heather or Chen is a model,Heather is a model,0.641,0.211,0.148,entailment,Chen is a model,0.392,0.311,0.296,entailment,0.497,Either Chen or Heather is a model,Heather is a model,0.522,0.248,0.230,entailment,Chen is a model,0.608,0.262,0.130,entailment,0.199,0.238,0.431,0.669
295,Either Heather or Ebony is a construction worker,Heather is a construction worker,0.940,0.042,0.018,entailment,Ebony is a construction worker,0.867,0.102,0.031,entailment,0.147,Either Ebony or Heather is a construction worker,Heather is a construction worker,0.954,0.026,0.019,entailment,Ebony is a construction worker,0.842,0.124,0.035,entailment,0.226,0.031,0.050,0.082
296,Either Hunter or DeShawn is a guitarist,Hunter is a guitarist,0.825,0.147,0.028,entailment,DeShawn is a guitarist,0.815,0.147,0.038,entailment,0.021,Either DeShawn or Hunter is a guitarist,Hunter is a guitarist,0.759,0.210,0.031,entailment,DeShawn is a guitarist,0.767,0.181,0.052,entailment,0.058,0.133,0.097,0.230
297,Either Scott or Tyrone is an employment,Scott is an employment,0.714,0.184,0.103,entailment,Tyrone is an employment,0.547,0.366,0.087,entailment,0.365,Either Tyrone or Scott is an employment,Scott is an employment,0.380,0.349,0.271,entailment,Tyrone is an employment,0.686,0.241,0.073,entailment,0.612,0.668,0.277,0.945
298,Either Connor or Shaniqua is a soldier,Connor is a soldier,0.696,0.266,0.038,entailment,Shaniqua is a soldier,0.767,0.200,0.033,entailment,0.142,Either Shaniqua or Connor is a soldier,Connor is a soldier,0.727,0.241,0.032,entailment,Shaniqua is a soldier,0.746,0.229,0.025,entailment,0.038,0.062,0.058,0.120
299,Either Brown or Trevon is a lawn mower,Brown is a lawn mower,0.891,0.080,0.029,entailment,Trevon is a lawn mower,0.902,0.066,0.031,entailment,0.027,Either Trevon or Brown is a lawn mower,Brown is a lawn mower,0.785,0.125,0.090,entailment,Trevon is a lawn mower,0.937,0.047,0.016,entailment,0.303,0.211,0.069,0.280
300,Either Hunter or Chen is an executive,Hunter is an executive,0.621,0.336,0.043,entailment,Chen is an executive,0.666,0.266,0.068,entailment,0.139,Either Chen or Hunter is an executive,Hunter is an executive,0.746,0.234,0.020,entailment,Chen is an executive,0.748,0.209,0.043,entailment,0.050,0.250,0.164,0.414
301,Either Abigail or Kia is a chess player,Abigail is a chess player,0.743,0.214,0.044,entailment,Kia is a chess player,0.889,0.085,0.027,entailment,0.292,Either Kia or Abigail is a chess player,Abigail is a chess player,0.797,0.157,0.046,entailment,Kia is a chess player,0.857,0.114,0.029,entailment,0.120,0.113,0.063,0.176
302,Either Cadan or Maya is a scientist,Cadan is a scientist,0.788,0.189,0.023,entailment,Maya is a scientist,0.672,0.268,0.060,entailment,0.231,Either Maya or Cadan is a scientist,Cadan is a scientist,0.757,0.222,0.021,entailment,Maya is a scientist,0.649,0.288,0.063,entailment,0.215,0.066,0.046,0.112
303,Either Scott or Sudeep is a chief,Scott is a chief,0.550,0.290,0.161,entailment,Sudeep is a chief,0.541,0.333,0.126,entailment,0.087,Either Sudeep or Scott is a chief,Scott is a chief,0.618,0.247,0.135,entailment,Sudeep is a chief,0.447,0.364,0.189,entailment,0.341,0.136,0.187,0.323
304,Either Abigail or Ramirez is a handball player,Abigail is a handball player,0.800,0.178,0.022,entailment,Ramirez is a handball player,0.934,0.048,0.019,entailment,0.268,Either Ramirez or Abigail is a handball player,Abigail is a handball player,0.839,0.136,0.025,entailment,Ramirez is a handball player,0.859,0.105,0.036,entailment,0.062,0.084,0.149,0.233
305,Either Greg or Jesus is a carpenter,Greg is a carpenter,0.428,0.457,0.115,neutral,Jesus is a carpenter,0.222,0.585,0.193,neutral,0.410,Either Jesus or Greg is a carpenter,Greg is a carpenter,0.348,0.484,0.168,neutral,Jesus is a carpenter,0.195,0.634,0.172,neutral,0.308,0.158,0.098,0.256
306,Either Abigail or Lamar is a journalist,Abigail is a journalist,0.583,0.382,0.035,entailment,Lamar is a journalist,0.709,0.244,0.046,entailment,0.275,Either Lamar or Abigail is a journalist,Abigail is a journalist,0.639,0.320,0.041,entailment,Lamar is a journalist,0.625,0.312,0.063,entailment,0.044,0.123,0.168,0.292
307,Either Jake or Jose is a banker,Jake is a banker,0.391,0.437,0.173,neutral,Jose is a banker,0.635,0.268,0.096,entailment,0.489,Either Jose or Jake is a banker,Jake is a banker,0.528,0.321,0.150,entailment,Jose is a banker,0.595,0.311,0.094,entailment,0.132,0.275,0.086,0.361
308,Either Molly or Silas is a diplomat,Molly is a diplomat,0.627,0.289,0.084,entailment,Silas is a diplomat,0.588,0.287,0.126,entailment,0.082,Either Silas or Molly is a diplomat,Molly is a diplomat,0.687,0.238,0.074,entailment,Silas is a diplomat,0.739,0.196,0.065,entailment,0.104,0.121,0.303,0.424
309,Either Emily or Jamal is a photographer,Emily is a photographer,0.586,0.260,0.154,entailment,Jamal is a photographer,0.749,0.160,0.091,entailment,0.326,Either Jamal or Emily is a photographer,Emily is a photographer,0.561,0.241,0.197,entailment,Jamal is a photographer,0.773,0.152,0.075,entailment,0.424,0.087,0.048,0.135
310,Either Heather or Yang Wang is a chess player,Heather is a chess player,0.796,0.163,0.041,entailment,Yang Wang is a chess player,0.911,0.066,0.023,entailment,0.230,Either Yang Wang or Heather is a chess player,Heather is a chess player,0.807,0.144,0.049,entailment,Yang Wang is a chess player,0.916,0.067,0.017,entailment,0.218,0.038,0.012,0.050
311,Either Greg or Chen Wu is a scientist,Greg is a scientist,0.313,0.604,0.083,neutral,Chen Wu is a scientist,0.801,0.171,0.028,entailment,0.976,Either Chen Wu or Greg is a scientist,Greg is a scientist,0.611,0.321,0.068,entailment,Chen Wu is a scientist,0.655,0.295,0.050,entailment,0.088,0.595,0.293,0.888
312,Either Greuze or Terrance is an opera singer,Greuze is an opera singer,0.760,0.116,0.125,entailment,Terrance is an opera singer,0.796,0.119,0.085,entailment,0.080,Either Terrance or Greuze is an opera singer,Greuze is an opera singer,0.783,0.097,0.120,entailment,Terrance is an opera singer,0.892,0.072,0.036,entailment,0.218,0.046,0.192,0.238
313,Either Amy or Jesus is a doctor,Amy is a doctor,0.407,0.314,0.279,entailment,Jesus is a doctor,0.278,0.538,0.184,neutral,0.448,Either Jesus or Amy is a doctor,Amy is a doctor,0.608,0.167,0.224,entailment,Jesus is a doctor,0.128,0.657,0.215,neutral,0.979,0.402,0.300,0.702
314,Either Jacob or Sudeep is a groom,Jacob is a groom,0.633,0.233,0.133,entailment,Sudeep is a groom,0.733,0.193,0.074,entailment,0.199,Either Sudeep or Jacob is a groom,Jacob is a groom,0.777,0.122,0.101,entailment,Sudeep is a groom,0.794,0.138,0.068,entailment,0.065,0.288,0.122,0.409
315,Either Ronnie or Gabriel is a receptionist,Ronnie is a receptionist,0.861,0.067,0.072,entailment,Gabriel is a receptionist,0.847,0.062,0.090,entailment,0.038,Either Gabriel or Ronnie is a receptionist,Ronnie is a receptionist,0.801,0.095,0.105,entailment,Gabriel is a receptionist,0.905,0.044,0.051,entailment,0.210,0.122,0.117,0.238
316,Either Katherine or LeBron is a handyman,Katherine is a handyman,0.766,0.196,0.038,entailment,LeBron is a handyman,0.839,0.128,0.033,entailment,0.147,Either LeBron or Katherine is a handyman,Katherine is a handyman,0.734,0.196,0.070,entailment,LeBron is a handyman,0.723,0.223,0.054,entailment,0.053,0.064,0.232,0.296
317,Either Molly or LeBron is a sheriff,Molly is a sheriff,0.622,0.226,0.152,entailment,LeBron is a sheriff,0.829,0.106,0.064,entailment,0.415,Either LeBron or Molly is a sheriff,Molly is a sheriff,0.652,0.187,0.161,entailment,LeBron is a sheriff,0.584,0.256,0.160,entailment,0.137,0.078,0.491,0.570
318,Either Cadan or Juan is an entrepreneur,Cadan is an entrepreneur,0.734,0.199,0.067,entailment,Juan is an entrepreneur,0.781,0.149,0.071,entailment,0.100,Either Juan or Cadan is an entrepreneur,Cadan is an entrepreneur,0.774,0.180,0.047,entailment,Juan is an entrepreneur,0.756,0.171,0.073,entailment,0.053,0.080,0.049,0.129
319,Either Brown or D'quan is an editor,Brown is an editor,0.686,0.227,0.087,entailment,D'quan is an editor,0.800,0.152,0.048,entailment,0.226,Either D'quan or Brown is an editor,Brown is an editor,0.605,0.304,0.092,entailment,D'quan is an editor,0.808,0.148,0.045,entailment,0.407,0.164,0.017,0.180
320,Either Brown or Marquis is a historian,Brown is a historian,0.682,0.274,0.044,entailment,Marquis is a historian,0.673,0.283,0.044,entailment,0.018,Either Marquis or Brown is a historian,Brown is a historian,0.503,0.414,0.083,entailment,Marquis is a historian,0.584,0.367,0.049,entailment,0.162,0.358,0.178,0.536
321,Either Molly or Jesus is a laborer,Molly is a laborer,0.811,0.141,0.048,entailment,Jesus is a laborer,0.433,0.400,0.167,entailment,0.755,Either Jesus or Molly is a laborer,Molly is a laborer,0.712,0.158,0.130,entailment,Jesus is a laborer,0.300,0.566,0.135,neutral,0.825,0.197,0.331,0.527
322,Either Cody or Maya is a cashier,Cody is a cashier,0.654,0.217,0.129,entailment,Maya is a cashier,0.807,0.101,0.092,entailment,0.306,Either Maya or Cody is a cashier,Cody is a cashier,0.817,0.121,0.062,entailment,Maya is a cashier,0.909,0.055,0.036,entailment,0.184,0.326,0.204,0.530
323,Either Dylan or Joo-Lin is a butler,Dylan is a butler,0.331,0.509,0.160,neutral,Joo-Lin is a butler,0.816,0.162,0.022,entailment,0.970,Either Joo-Lin or Dylan is a butler,Dylan is a butler,0.512,0.393,0.095,entailment,Joo-Lin is a butler,0.607,0.341,0.052,entailment,0.191,0.362,0.417,0.779
324,Either Emily or Bai is a researcher,Emily is a researcher,0.499,0.389,0.112,entailment,Bai is a researcher,0.607,0.328,0.065,entailment,0.216,Either Bai or Emily is a researcher,Emily is a researcher,0.607,0.283,0.110,entailment,Bai is a researcher,0.633,0.280,0.087,entailment,0.052,0.215,0.095,0.310
325,Either Heather or Laquisha is a painter,Heather is a painter,0.781,0.121,0.098,entailment,Laquisha is a painter,0.767,0.167,0.066,entailment,0.091,Either Laquisha or Heather is a painter,Heather is a painter,0.798,0.083,0.119,entailment,Laquisha is a painter,0.736,0.192,0.071,entailment,0.219,0.077,0.062,0.139
326,Either Hunter or Chang Lee is an inspector,Hunter is an inspector,0.671,0.263,0.066,entailment,Chang Lee is an inspector,0.759,0.147,0.094,entailment,0.231,Either Chang Lee or Hunter is an inspector,Hunter is an inspector,0.547,0.370,0.084,entailment,Chang Lee is an inspector,0.858,0.097,0.046,entailment,0.622,0.248,0.198,0.447
327,Either Brown or Laquisha is an army,Brown is an army,0.632,0.281,0.087,entailment,Laquisha is an army,0.735,0.206,0.059,entailment,0.208,Either Laquisha or Brown is an army,Brown is an army,0.632,0.279,0.089,entailment,Laquisha is an army,0.622,0.288,0.090,entailment,0.020,0.005,0.226,0.231
328,Either Cole or Gabriel is a teacher,Cole is a teacher,0.562,0.352,0.086,entailment,Gabriel is a teacher,0.754,0.180,0.066,entailment,0.384,Either Gabriel or Cole is a teacher,Cole is a teacher,0.609,0.332,0.059,entailment,Gabriel is a teacher,0.573,0.332,0.095,entailment,0.070,0.093,0.361,0.454
329,Either Molly or Terrance is a diplomat,Molly is a diplomat,0.632,0.286,0.083,entailment,Terrance is a diplomat,0.748,0.204,0.049,entailment,0.232,Either Terrance or Molly is a diplomat,Molly is a diplomat,0.631,0.287,0.083,entailment,Terrance is a diplomat,0.809,0.165,0.027,entailment,0.356,0.002,0.122,0.125
330,Either Jenna or Won San Lee is a pianist,Jenna is a pianist,0.775,0.164,0.062,entailment,Won San Lee is a pianist,0.903,0.055,0.042,entailment,0.257,Either Won San Lee or Jenna is a pianist,Jenna is a pianist,0.730,0.172,0.098,entailment,Won San Lee is a pianist,0.934,0.041,0.025,entailment,0.407,0.089,0.061,0.150
331,Either Jenna or Manuel is a designer,Jenna is a designer,0.724,0.179,0.097,entailment,Manuel is a designer,0.850,0.109,0.041,entailment,0.252,Either Manuel or Jenna is a designer,Jenna is a designer,0.698,0.193,0.108,entailment,Manuel is a designer,0.893,0.076,0.031,entailment,0.389,0.050,0.087,0.137
332,Either Craig or Maya is a chess player,Craig is a chess player,0.731,0.191,0.078,entailment,Maya is a chess player,0.767,0.166,0.067,entailment,0.073,Either Maya or Craig is a chess player,Craig is a chess player,0.901,0.076,0.023,entailment,Maya is a chess player,0.898,0.080,0.022,entailment,0.008,0.341,0.262,0.603
333,Either Brown or Kia is a realtor,Brown is a realtor,0.788,0.157,0.056,entailment,Kia is a realtor,0.834,0.128,0.038,entailment,0.093,Either Kia or Brown is a realtor,Brown is a realtor,0.762,0.168,0.070,entailment,Kia is a realtor,0.866,0.106,0.028,entailment,0.208,0.051,0.063,0.115
334,Either Scott or Raja is an inspector,Scott is an inspector,0.726,0.187,0.088,entailment,Raja is an inspector,0.681,0.259,0.061,entailment,0.144,Either Raja or Scott is an inspector,Scott is an inspector,0.741,0.166,0.092,entailment,Raja is an inspector,0.664,0.281,0.055,entailment,0.230,0.041,0.045,0.086
335,Either Essex or Ming is a janitor,Essex is a janitor,0.772,0.126,0.103,entailment,Ming is a janitor,0.842,0.094,0.064,entailment,0.141,Either Ming or Essex is a janitor,Essex is a janitor,0.758,0.144,0.098,entailment,Ming is a janitor,0.889,0.071,0.040,entailment,0.263,0.036,0.095,0.131
336,Either Brown or Gary is a journalist,Brown is a journalist,0.504,0.444,0.052,entailment,Gary is a journalist,0.746,0.220,0.034,entailment,0.484,Either Gary or Brown is a journalist,Brown is a journalist,0.409,0.516,0.074,neutral,Gary is a journalist,0.613,0.322,0.064,entailment,0.408,0.190,0.266,0.456
337,Either Jenna or Maya is a cook,Jenna is a cook,0.701,0.226,0.074,entailment,Maya is a cook,0.534,0.343,0.123,entailment,0.334,Either Maya or Jenna is a cook,Jenna is a cook,0.617,0.263,0.120,entailment,Maya is a cook,0.584,0.331,0.084,entailment,0.136,0.168,0.101,0.269
338,Either Claire or Jamal is an engineer,Claire is an engineer,0.488,0.455,0.057,entailment,Jamal is an engineer,0.662,0.298,0.040,entailment,0.348,Either Jamal or Claire is an engineer,Claire is an engineer,0.668,0.293,0.039,entailment,Jamal is an engineer,0.570,0.384,0.046,entailment,0.195,0.361,0.183,0.544
339,Either Claire or Chen is an assistant,Claire is an assistant,0.772,0.141,0.087,entailment,Chen is an assistant,0.709,0.161,0.130,entailment,0.127,Either Chen or Claire is an assistant,Claire is an assistant,0.795,0.125,0.080,entailment,Chen is an assistant,0.784,0.129,0.087,entailment,0.023,0.046,0.150,0.196
340,Either Jake or Kwame is a guitarist,Jake is a guitarist,0.493,0.389,0.118,entailment,Kwame is a guitarist,0.603,0.349,0.049,entailment,0.219,Either Kwame or Jake is a guitarist,Jake is a guitarist,0.730,0.203,0.068,entailment,Kwame is a guitarist,0.649,0.306,0.044,entailment,0.208,0.473,0.093,0.566
341,Either Abigail or Chin Pang is a dentist,Abigail is a dentist,0.820,0.165,0.016,entailment,Chin Pang is a dentist,0.979,0.018,0.003,entailment,0.318,Either Chin Pang or Abigail is a dentist,Abigail is a dentist,0.919,0.073,0.008,entailment,Chin Pang is a dentist,0.916,0.063,0.022,entailment,0.027,0.198,0.126,0.324
342,Either Jack or Ramirez is a landlord,Jack is a landlord,0.316,0.574,0.110,neutral,Ramirez is a landlord,0.646,0.272,0.082,entailment,0.661,Either Ramirez or Jack is a landlord,Jack is a landlord,0.447,0.458,0.095,neutral,Ramirez is a landlord,0.539,0.360,0.101,entailment,0.197,0.262,0.215,0.477
343,Either Cole or Chen Wee is a swimmer,Cole is a swimmer,0.568,0.405,0.027,entailment,Chen Wee is a swimmer,0.836,0.147,0.017,entailment,0.536,Either Chen Wee or Cole is a swimmer,Cole is a swimmer,0.720,0.261,0.019,entailment,Chen Wee is a swimmer,0.813,0.172,0.016,entailment,0.185,0.304,0.050,0.354
344,Either Jacob or Chong Ling is a judge,Jacob is a judge,0.354,0.426,0.220,neutral,Chong Ling is a judge,0.693,0.211,0.095,entailment,0.679,Either Chong Ling or Jacob is a judge,Jacob is a judge,0.660,0.216,0.124,entailment,Chong Ling is a judge,0.569,0.287,0.143,entailment,0.181,0.612,0.248,0.861
345,Either Brown or Wang is a chef,Brown is a chef,0.676,0.269,0.054,entailment,Wang is a chef,0.771,0.166,0.063,entailment,0.207,Either Wang or Brown is a chef,Brown is a chef,0.648,0.281,0.071,entailment,Wang is a chef,0.792,0.154,0.054,entailment,0.288,0.056,0.042,0.098
346,Either Hunter or Won Lee is a landlord,Hunter is a landlord,0.749,0.204,0.047,entailment,Won Lee is a landlord,0.795,0.139,0.066,entailment,0.129,Either Won Lee or Hunter is a landlord,Hunter is a landlord,0.642,0.295,0.064,entailment,Won Lee is a landlord,0.830,0.114,0.057,entailment,0.376,0.214,0.070,0.284
347,Either Connor or Kia is a magician,Connor is a magician,0.533,0.415,0.052,entailment,Kia is a magician,0.623,0.315,0.062,entailment,0.201,Either Kia or Connor is a magician,Connor is a magician,0.647,0.319,0.034,entailment,Kia is a magician,0.548,0.404,0.048,entailment,0.198,0.229,0.178,0.407
348,Either Jenna or Juan is a physicist,Jenna is a physicist,0.550,0.338,0.112,entailment,Juan is a physicist,0.740,0.174,0.086,entailment,0.381,Either Juan or Jenna is a physicist,Jenna is a physicist,0.488,0.359,0.153,entailment,Juan is a physicist,0.629,0.231,0.140,entailment,0.281,0.123,0.223,0.347
349,Either Jenna or Gabriel is an assistant,Jenna is an assistant,0.763,0.131,0.106,entailment,Gabriel is an assistant,0.703,0.121,0.176,entailment,0.141,Either Gabriel or Jenna is an assistant,Jenna is an assistant,0.698,0.161,0.141,entailment,Gabriel is an assistant,0.667,0.153,0.180,entailment,0.078,0.130,0.071,0.201
350,Either Katherine or Chong Ling is a detective,Katherine is a detective,0.545,0.385,0.070,entailment,Chong Ling is a detective,0.757,0.177,0.066,entailment,0.424,Either Chong Ling or Katherine is a detective,Katherine is a detective,0.651,0.278,0.071,entailment,Chong Ling is a detective,0.704,0.216,0.080,entailment,0.125,0.213,0.107,0.320
351,Either Jake or Kia is a scientist,Jake is a scientist,0.301,0.564,0.135,neutral,Kia is a scientist,0.429,0.497,0.074,neutral,0.256,Either Kia or Jake is a scientist,Jake is a scientist,0.560,0.372,0.068,entailment,Kia is a scientist,0.443,0.513,0.044,neutral,0.281,0.518,0.059,0.577
352,Either Heather or Nina is a comedian,Heather is a comedian,0.809,0.117,0.074,entailment,Nina is a comedian,0.784,0.166,0.050,entailment,0.099,Either Nina or Heather is a comedian,Heather is a comedian,0.721,0.143,0.136,entailment,Nina is a comedian,0.751,0.205,0.044,entailment,0.184,0.176,0.078,0.254
353,Either Brown or Gabriel is a comedian,Brown is a comedian,0.749,0.207,0.044,entailment,Gabriel is a comedian,0.863,0.098,0.039,entailment,0.228,Either Gabriel or Brown is a comedian,Brown is a comedian,0.597,0.332,0.070,entailment,Gabriel is a comedian,0.771,0.181,0.048,entailment,0.347,0.303,0.184,0.487
354,Either Connor or Laquan is an entrepreneur,Connor is an entrepreneur,0.633,0.287,0.079,entailment,Laquan is an entrepreneur,0.694,0.238,0.068,entailment,0.122,Either Laquan or Connor is an entrepreneur,Connor is an entrepreneur,0.670,0.267,0.063,entailment,Laquan is an entrepreneur,0.672,0.263,0.066,entailment,0.009,0.074,0.050,0.124
355,Either Emily or Raven is a security guard,Emily is a security guard,0.667,0.165,0.167,entailment,Raven is a security guard,0.883,0.091,0.026,entailment,0.431,Either Raven or Emily is a security guard,Emily is a security guard,0.594,0.201,0.205,entailment,Raven is a security guard,0.900,0.076,0.023,entailment,0.612,0.145,0.035,0.180
356,Either Greuze or Ming is a cashier,Greuze is a cashier,0.841,0.090,0.068,entailment,Ming is a cashier,0.937,0.038,0.026,entailment,0.191,Either Ming or Greuze is a cashier,Greuze is a cashier,0.804,0.109,0.087,entailment,Ming is a cashier,0.949,0.033,0.018,entailment,0.290,0.075,0.025,0.100
357,Either Brown or Raja is an agent,Brown is an agent,0.626,0.313,0.061,entailment,Raja is an agent,0.685,0.265,0.050,entailment,0.118,Either Raja or Brown is an agent,Brown is an agent,0.543,0.356,0.102,entailment,Raja is an agent,0.667,0.282,0.051,entailment,0.249,0.166,0.035,0.201
358,Either Connor or Chan is an aeronautical engineer,Connor is an aeronautical engineer,0.254,0.675,0.070,neutral,Chan is an aeronautical engineer,0.415,0.521,0.064,neutral,0.321,Either Chan or Connor is an aeronautical engineer,Connor is an aeronautical engineer,0.361,0.597,0.042,neutral,Chan is an aeronautical engineer,0.339,0.553,0.109,neutral,0.134,0.213,0.153,0.366
359,Either Brown or Beyonce is a butler,Brown is a butler,0.384,0.544,0.072,neutral,Beyonce is a butler,0.444,0.417,0.139,entailment,0.255,Either Beyonce or Brown is a butler,Brown is a butler,0.460,0.461,0.079,neutral,Beyonce is a butler,0.466,0.477,0.058,neutral,0.043,0.168,0.163,0.331
360,Either Scott or Adrin is a mathematician,Scott is a mathematician,0.623,0.328,0.049,entailment,Adrin is a mathematician,0.657,0.310,0.033,entailment,0.068,Either Adrin or Scott is a mathematician,Scott is a mathematician,0.689,0.260,0.051,entailment,Adrin is a mathematician,0.687,0.284,0.029,entailment,0.049,0.136,0.060,0.195
361,Either Essex or Tanisha is a realtor,Essex is a realtor,0.759,0.124,0.117,entailment,Tanisha is a realtor,0.888,0.090,0.022,entailment,0.258,Either Tanisha or Essex is a realtor,Essex is a realtor,0.837,0.103,0.060,entailment,Tanisha is a realtor,0.834,0.123,0.043,entailment,0.040,0.156,0.108,0.263
