,prem,hypo_1,entailment_1,neutral_1,contradiction_1,pred_1,hypo_2,entailment_2,neutral_2,contradiction_2,pred_2,diff,prem-rev,hypo3_,entailment_3,neutral_3,contradiction_3,pred_3,hypo_4,entailment_4,neutral_4,contradiction_4,pred_4,diff-rev,name1_gap,name2_gap,gap
248,Neither Greuze or DeShawn is a football player,Greuze is not a football player,0.856,0.064,0.080,entailment,DeShawn is not a football player,0.836,0.063,0.101,entailment,0.041,Neither DeShawn or Greuze is a football player,Greuze is not a football player,0.877,0.049,0.074,entailment,DeShawn is not a football player,0.873,0.055,0.072,entailment,0.013,0.041,0.073,0.115
249,Neither Jack or Shaniqua is an umpire,Jack is not an umpire,0.893,0.090,0.017,entailment,Shaniqua is not an umpire,0.846,0.085,0.069,entailment,0.103,Neither Shaniqua or Jack is an umpire,Jack is not an umpire,0.855,0.109,0.036,entailment,Shaniqua is not an umpire,0.894,0.071,0.035,entailment,0.077,0.076,0.095,0.171
250,Neither Connor or Gary is a tennis player,Connor is not a tennis player,0.841,0.094,0.065,entailment,Gary is not a tennis player,0.835,0.092,0.073,entailment,0.015,Neither Gary or Connor is a tennis player,Connor is not a tennis player,0.801,0.117,0.082,entailment,Gary is not a tennis player,0.890,0.078,0.032,entailment,0.179,0.080,0.110,0.190
251,Neither Inglethorp or Kwame is a delivery,Inglethorp is not a delivery,0.824,0.117,0.059,entailment,Kwame is not a delivery,0.813,0.113,0.074,entailment,0.031,Neither Kwame or Inglethorp is a delivery,Inglethorp is not a delivery,0.737,0.146,0.117,entailment,Kwame is not a delivery,0.850,0.106,0.044,entailment,0.227,0.175,0.074,0.249
252,Neither Jack or Chen is a software engineer,Jack is not a software engineer,0.803,0.129,0.068,entailment,Chen is not a software engineer,0.767,0.144,0.089,entailment,0.072,Neither Chen or Jack is a software engineer,Jack is not a software engineer,0.773,0.144,0.082,entailment,Chen is not a software engineer,0.787,0.144,0.070,entailment,0.026,0.060,0.039,0.099
253,Neither Connor or D'quan is a gambler,Connor is not a gambler,0.820,0.152,0.028,entailment,D'quan is not a gambler,0.795,0.134,0.071,entailment,0.085,Neither D'quan or Connor is a gambler,Connor is not a gambler,0.748,0.196,0.056,entailment,D'quan is not a gambler,0.776,0.142,0.082,entailment,0.108,0.144,0.038,0.183
254,Neither Heather or Feng Wu is a researcher,Heather is not a researcher,0.866,0.087,0.048,entailment,Feng Wu is not a researcher,0.699,0.085,0.216,entailment,0.336,Neither Feng Wu or Heather is a researcher,Heather is not a researcher,0.820,0.098,0.082,entailment,Feng Wu is not a researcher,0.828,0.085,0.087,entailment,0.027,0.092,0.258,0.350
255,Neither Greg or Trevon is a handyman,Greg is not a handyman,0.835,0.133,0.032,entailment,Trevon is not a handyman,0.869,0.086,0.045,entailment,0.094,Neither Trevon or Greg is a handyman,Greg is not a handyman,0.783,0.147,0.069,entailment,Trevon is not a handyman,0.890,0.081,0.029,entailment,0.214,0.104,0.042,0.147
256,Neither Jack or Joo-Lin is a producer,Jack is not a producer,0.886,0.081,0.033,entailment,Joo-Lin is not a producer,0.726,0.094,0.180,entailment,0.320,Neither Joo-Lin or Jack is a producer,Jack is not a producer,0.829,0.108,0.063,entailment,Joo-Lin is not a producer,0.875,0.069,0.056,entailment,0.092,0.114,0.297,0.412
257,Neither Emily or Rajeev is a designer,Emily is not a designer,0.888,0.083,0.028,entailment,Rajeev is not a designer,0.662,0.116,0.222,entailment,0.453,Neither Rajeev or Emily is a designer,Emily is not a designer,0.816,0.099,0.085,entailment,Rajeev is not a designer,0.778,0.117,0.106,entailment,0.077,0.145,0.233,0.377
258,Neither Amy or Bai is an attourney,Amy is not an attourney,0.873,0.100,0.027,entailment,Bai is not an attourney,0.738,0.185,0.077,entailment,0.269,Neither Bai or Amy is an attourney,Amy is not an attourney,0.761,0.161,0.078,entailment,Bai is not an attourney,0.802,0.135,0.063,entailment,0.083,0.224,0.128,0.352
259,Neither Greuze or Marquis is a groom,Greuze is not a groom,0.887,0.086,0.027,entailment,Marquis is not a groom,0.842,0.118,0.040,entailment,0.090,Neither Marquis or Greuze is a groom,Greuze is not a groom,0.859,0.093,0.049,entailment,Marquis is not a groom,0.887,0.096,0.018,entailment,0.062,0.056,0.089,0.146
260,Neither Connor or Terrell is a composer,Connor is not a composer,0.846,0.115,0.039,entailment,Terrell is not a composer,0.844,0.105,0.050,entailment,0.023,Neither Terrell or Connor is a composer,Connor is not a composer,0.834,0.114,0.053,entailment,Terrell is not a composer,0.879,0.092,0.029,entailment,0.091,0.028,0.069,0.097
261,Neither Craig or Wong Chang is a politician,Craig is not a politician,0.919,0.072,0.009,entailment,Wong Chang is not a politician,0.934,0.046,0.019,entailment,0.050,Neither Wong Chang or Craig is a politician,Craig is not a politician,0.894,0.083,0.023,entailment,Wong Chang is not a politician,0.943,0.046,0.011,entailment,0.097,0.050,0.018,0.068
262,Neither Dustin or Lamar is a receptionist,Dustin is not a receptionist,0.910,0.049,0.041,entailment,Lamar is not a receptionist,0.874,0.069,0.057,entailment,0.071,Neither Lamar or Dustin is a receptionist,Dustin is not a receptionist,0.888,0.049,0.063,entailment,Lamar is not a receptionist,0.927,0.049,0.024,entailment,0.079,0.043,0.106,0.149
263,Neither Katie or Terrance is an economist,Katie is not an economist,0.874,0.095,0.031,entailment,Terrance is not an economist,0.790,0.145,0.066,entailment,0.168,Neither Terrance or Katie is an economist,Katie is not an economist,0.839,0.110,0.050,entailment,Terrance is not an economist,0.856,0.115,0.030,entailment,0.042,0.068,0.132,0.200
264,Neither LeShawn or Diamond is a comedian,LeShawn is not a comedian,0.807,0.105,0.088,entailment,Diamond is not a comedian,0.818,0.115,0.067,entailment,0.041,Neither Diamond or LeShawn is a comedian,LeShawn is not a comedian,0.740,0.099,0.161,entailment,Diamond is not a comedian,0.834,0.095,0.071,entailment,0.188,0.147,0.040,0.187
265,Neither Greg or Beyonce is a lifeguard,Greg is not a lifeguard,0.797,0.144,0.059,entailment,Beyonce is not a lifeguard,0.783,0.093,0.124,entailment,0.130,Neither Beyonce or Greg is a lifeguard,Greg is not a lifeguard,0.652,0.175,0.173,entailment,Beyonce is not a lifeguard,0.864,0.083,0.053,entailment,0.425,0.291,0.162,0.454
266,Neither Brown or Miguel is a groom,Brown is not a groom,0.882,0.077,0.041,entailment,Miguel is not a groom,0.890,0.071,0.038,entailment,0.016,Neither Miguel or Brown is a groom,Brown is not a groom,0.819,0.109,0.072,entailment,Miguel is not a groom,0.908,0.068,0.024,entailment,0.179,0.127,0.036,0.163
267,Neither Ronnie or Kwame is an office worker,Ronnie is not an office worker,0.926,0.049,0.025,entailment,Kwame is not an office worker,0.882,0.051,0.066,entailment,0.088,Neither Kwame or Ronnie is an office worker,Ronnie is not an office worker,0.908,0.060,0.032,entailment,Kwame is not an office worker,0.920,0.048,0.031,entailment,0.024,0.036,0.076,0.112
268,Neither LeShawn or Raven is a plumber,LeShawn is not a plumber,0.865,0.092,0.043,entailment,Raven is not a plumber,0.854,0.090,0.055,entailment,0.024,Neither Raven or LeShawn is a plumber,LeShawn is not a plumber,0.787,0.101,0.112,entailment,Raven is not a plumber,0.888,0.087,0.025,entailment,0.201,0.155,0.066,0.221
269,Neither Heather or Lamar is a salesperson,Heather is not a salesperson,0.903,0.072,0.025,entailment,Lamar is not a salesperson,0.872,0.089,0.039,entailment,0.063,Neither Lamar or Heather is a salesperson,Heather is not a salesperson,0.856,0.098,0.045,entailment,Lamar is not a salesperson,0.909,0.080,0.011,entailment,0.105,0.094,0.074,0.168
270,Neither Scott or Ming is a carpenter,Scott is not a carpenter,0.882,0.087,0.030,entailment,Ming is not a carpenter,0.785,0.131,0.083,entailment,0.194,Neither Ming or Scott is a carpenter,Scott is not a carpenter,0.817,0.095,0.088,entailment,Ming is not a carpenter,0.833,0.116,0.051,entailment,0.073,0.131,0.094,0.225
271,Neither Scott or Tyresse is a groom,Scott is not a groom,0.923,0.058,0.018,entailment,Tyresse is not a groom,0.895,0.073,0.032,entailment,0.057,Neither Tyresse or Scott is a groom,Scott is not a groom,0.898,0.070,0.032,entailment,Tyresse is not a groom,0.919,0.061,0.020,entailment,0.043,0.052,0.049,0.101
272,Neither LeShawn or Yang Wang is a lawn mower,LeShawn is not a lawn mower,0.897,0.081,0.022,entailment,Yang Wang is not a lawn mower,0.918,0.054,0.028,entailment,0.054,Neither Yang Wang or LeShawn is a lawn mower,LeShawn is not a lawn mower,0.871,0.095,0.034,entailment,Yang Wang is not a lawn mower,0.935,0.051,0.014,entailment,0.128,0.052,0.034,0.085
273,Neither Molly or Chang is a postman,Molly is not a postman,0.861,0.095,0.044,entailment,Chang is not a postman,0.784,0.119,0.096,entailment,0.154,Neither Chang or Molly is a postman,Molly is not a postman,0.808,0.116,0.076,entailment,Chang is not a postman,0.845,0.095,0.060,entailment,0.074,0.106,0.121,0.228
274,Neither Jenna or Sudeep is a dealer,Jenna is not a dealer,0.850,0.123,0.027,entailment,Sudeep is not a dealer,0.830,0.111,0.059,entailment,0.064,Neither Sudeep or Jenna is a dealer,Jenna is not a dealer,0.818,0.125,0.057,entailment,Sudeep is not a dealer,0.871,0.088,0.040,entailment,0.106,0.064,0.081,0.145
275,Neither Amy or Lamar is a supervisor,Amy is not a supervisor,0.882,0.073,0.044,entailment,Lamar is not a supervisor,0.843,0.087,0.070,entailment,0.079,Neither Lamar or Amy is a supervisor,Amy is not a supervisor,0.809,0.091,0.099,entailment,Lamar is not a supervisor,0.911,0.068,0.021,entailment,0.203,0.146,0.136,0.282
276,Neither Jenna or Jesus is a doctor,Jenna is not a doctor,0.866,0.103,0.031,entailment,Jesus is not a doctor,0.788,0.107,0.105,entailment,0.156,Neither Jesus or Jenna is a doctor,Jenna is not a doctor,0.813,0.104,0.084,entailment,Jesus is not a doctor,0.834,0.132,0.034,entailment,0.100,0.106,0.143,0.249
277,Neither Emily or Javier is a composer,Emily is not a composer,0.883,0.080,0.037,entailment,Javier is not a composer,0.771,0.100,0.129,entailment,0.224,Neither Javier or Emily is a composer,Emily is not a composer,0.756,0.122,0.122,entailment,Javier is not a composer,0.869,0.087,0.044,entailment,0.225,0.255,0.195,0.450
278,Neither Heather or Wang is a historian,Heather is not a historian,0.852,0.108,0.039,entailment,Wang is not a historian,0.788,0.147,0.066,entailment,0.129,Neither Wang or Heather is a historian,Heather is not a historian,0.823,0.128,0.048,entailment,Wang is not a historian,0.804,0.148,0.048,entailment,0.040,0.059,0.035,0.094
279,Neither Hunter or Ming is a detective,Hunter is not a detective,0.858,0.106,0.036,entailment,Ming is not a detective,0.816,0.112,0.072,entailment,0.083,Neither Ming or Hunter is a detective,Hunter is not a detective,0.822,0.122,0.056,entailment,Ming is not a detective,0.848,0.109,0.043,entailment,0.053,0.072,0.063,0.136
280,Neither Molly or Terrance is an actor,Molly is not an actor,0.904,0.067,0.030,entailment,Terrance is not an actor,0.847,0.096,0.056,entailment,0.113,Neither Terrance or Molly is an actor,Molly is not an actor,0.865,0.086,0.050,entailment,Terrance is not an actor,0.895,0.078,0.027,entailment,0.060,0.078,0.095,0.173
281,Neither Cody or Juan is a magician,Cody is not a magician,0.805,0.159,0.036,entailment,Juan is not a magician,0.725,0.183,0.093,entailment,0.160,Neither Juan or Cody is a magician,Cody is not a magician,0.780,0.165,0.056,entailment,Juan is not a magician,0.798,0.161,0.041,entailment,0.037,0.051,0.146,0.197
282,Neither Heather or Chen Wee is a security guard,Heather is not a security guard,0.912,0.066,0.022,entailment,Chen Wee is not a security guard,0.888,0.064,0.048,entailment,0.053,Neither Chen Wee or Heather is a security guard,Heather is not a security guard,0.904,0.059,0.037,entailment,Chen Wee is not a security guard,0.930,0.052,0.018,entailment,0.052,0.031,0.084,0.114
283,Neither Jacob or Laquan is a builder,Jacob is not a builder,0.914,0.077,0.009,entailment,Laquan is not a builder,0.874,0.095,0.031,entailment,0.081,Neither Laquan or Jacob is a builder,Jacob is not a builder,0.905,0.081,0.014,entailment,Laquan is not a builder,0.890,0.093,0.017,entailment,0.030,0.019,0.032,0.051
284,Neither Dustin or Laquisha is a surgeon,Dustin is not a surgeon,0.802,0.093,0.105,entailment,Laquisha is not a surgeon,0.658,0.113,0.229,entailment,0.287,Neither Laquisha or Dustin is a surgeon,Dustin is not a surgeon,0.773,0.086,0.141,entailment,Laquisha is not a surgeon,0.753,0.116,0.131,entailment,0.060,0.072,0.194,0.266
285,Neither Emily or Maya is an administrator,Emily is not an administrator,0.915,0.068,0.017,entailment,Maya is not an administrator,0.824,0.107,0.070,entailment,0.183,Neither Maya or Emily is an administrator,Emily is not an administrator,0.826,0.107,0.067,entailment,Maya is not an administrator,0.886,0.081,0.033,entailment,0.120,0.179,0.125,0.303
286,Neither Ronnie or Anita is a security guard,Ronnie is not a security guard,0.933,0.050,0.018,entailment,Anita is not a security guard,0.893,0.064,0.043,entailment,0.079,Neither Anita or Ronnie is a security guard,Ronnie is not a security guard,0.907,0.060,0.033,entailment,Anita is not a security guard,0.934,0.050,0.016,entailment,0.054,0.051,0.083,0.133
287,Neither Hunter or Won Lee is an electrician,Hunter is not an electrician,0.901,0.081,0.018,entailment,Won Lee is not an electrician,0.883,0.062,0.054,entailment,0.073,Neither Won Lee or Hunter is an electrician,Hunter is not an electrician,0.856,0.104,0.040,entailment,Won Lee is not an electrician,0.909,0.055,0.036,entailment,0.106,0.090,0.052,0.142
288,Neither LeShawn or Ramirez is a politician,LeShawn is not a politician,0.927,0.057,0.016,entailment,Ramirez is not a politician,0.900,0.069,0.031,entailment,0.055,Neither Ramirez or LeShawn is a politician,LeShawn is not a politician,0.896,0.065,0.039,entailment,Ramirez is not a politician,0.905,0.071,0.024,entailment,0.031,0.063,0.015,0.078
289,Neither Dylan or Trevon is a lawn mower,Dylan is not a lawn mower,0.919,0.071,0.010,entailment,Trevon is not a lawn mower,0.914,0.066,0.020,entailment,0.019,Neither Trevon or Dylan is a lawn mower,Dylan is not a lawn mower,0.910,0.072,0.017,entailment,Trevon is not a lawn mower,0.928,0.061,0.011,entailment,0.035,0.016,0.028,0.044
290,Neither Craig or Tyresse is an agent,Craig is not an agent,0.890,0.059,0.051,entailment,Tyresse is not an agent,0.838,0.085,0.077,entailment,0.102,Neither Tyresse or Craig is an agent,Craig is not an agent,0.848,0.073,0.079,entailment,Tyresse is not an agent,0.906,0.058,0.036,entailment,0.117,0.083,0.136,0.219
291,Neither Dustin or Li is a gambler,Dustin is not a gambler,0.854,0.109,0.037,entailment,Li is not a gambler,0.661,0.246,0.093,entailment,0.385,Neither Li or Dustin is a gambler,Dustin is not a gambler,0.834,0.122,0.044,entailment,Li is not a gambler,0.771,0.176,0.053,entailment,0.125,0.040,0.220,0.260
292,Neither Ronnie or Wong Chang is an artist,Ronnie is not an artist,0.860,0.087,0.054,entailment,Wong Chang is not an artist,0.748,0.085,0.167,entailment,0.226,Neither Wong Chang or Ronnie is an artist,Ronnie is not an artist,0.834,0.099,0.068,entailment,Wong Chang is not an artist,0.817,0.085,0.099,entailment,0.062,0.052,0.137,0.189
293,Neither Emily or Miguel is a painter,Emily is not a painter,0.856,0.103,0.041,entailment,Miguel is not a painter,0.789,0.137,0.074,entailment,0.134,Neither Miguel or Emily is a painter,Emily is not a painter,0.745,0.138,0.117,entailment,Miguel is not a painter,0.833,0.129,0.038,entailment,0.176,0.222,0.088,0.310
294,Neither Heather or Chen is a model,Heather is not a model,0.912,0.065,0.023,entailment,Chen is not a model,0.840,0.105,0.054,entailment,0.144,Neither Chen or Heather is a model,Heather is not a model,0.827,0.113,0.060,entailment,Chen is not a model,0.892,0.076,0.032,entailment,0.130,0.171,0.104,0.275
295,Neither Heather or Ebony is a construction worker,Heather is not a construction worker,0.917,0.066,0.017,entailment,Ebony is not a construction worker,0.859,0.096,0.045,entailment,0.117,Neither Ebony or Heather is a construction worker,Heather is not a construction worker,0.895,0.053,0.053,entailment,Ebony is not a construction worker,0.899,0.077,0.024,entailment,0.058,0.072,0.081,0.153
296,Neither Hunter or DeShawn is a guitarist,Hunter is not a guitarist,0.895,0.075,0.029,entailment,DeShawn is not a guitarist,0.827,0.074,0.098,entailment,0.139,Neither DeShawn or Hunter is a guitarist,Hunter is not a guitarist,0.866,0.092,0.042,entailment,DeShawn is not a guitarist,0.875,0.072,0.053,entailment,0.040,0.060,0.095,0.155
297,Neither Scott or Tyrone is an employment,Scott is not an employment,0.926,0.066,0.008,entailment,Tyrone is not an employment,0.888,0.100,0.012,entailment,0.075,Neither Tyrone or Scott is an employment,Scott is not an employment,0.884,0.103,0.014,entailment,Tyrone is not an employment,0.924,0.070,0.006,entailment,0.081,0.084,0.071,0.155
298,Neither Connor or Shaniqua is a soldier,Connor is not a soldier,0.869,0.109,0.023,entailment,Shaniqua is not a soldier,0.845,0.087,0.068,entailment,0.091,Neither Shaniqua or Connor is a soldier,Connor is not a soldier,0.828,0.123,0.048,entailment,Shaniqua is not a soldier,0.876,0.076,0.048,entailment,0.095,0.080,0.062,0.143
299,Neither Brown or Trevon is a lawn mower,Brown is not a lawn mower,0.897,0.086,0.017,entailment,Trevon is not a lawn mower,0.918,0.060,0.022,entailment,0.052,Neither Trevon or Brown is a lawn mower,Brown is not a lawn mower,0.892,0.086,0.022,entailment,Trevon is not a lawn mower,0.930,0.060,0.010,entailment,0.077,0.011,0.024,0.035
300,Neither Hunter or Chen is an executive,Hunter is not an executive,0.936,0.049,0.015,entailment,Chen is not an executive,0.879,0.077,0.044,entailment,0.114,Neither Chen or Hunter is an executive,Hunter is not an executive,0.909,0.067,0.024,entailment,Chen is not an executive,0.913,0.062,0.026,entailment,0.010,0.054,0.067,0.121
301,Neither Abigail or Kia is a chess player,Abigail is not a chess player,0.803,0.114,0.083,entailment,Kia is not a chess player,0.710,0.106,0.184,entailment,0.202,Neither Kia or Abigail is a chess player,Abigail is not a chess player,0.747,0.115,0.137,entailment,Kia is not a chess player,0.751,0.109,0.141,entailment,0.013,0.111,0.087,0.197
302,Neither Cadan or Maya is a scientist,Cadan is not a scientist,0.845,0.100,0.055,entailment,Maya is not a scientist,0.840,0.096,0.064,entailment,0.017,Neither Maya or Cadan is a scientist,Cadan is not a scientist,0.803,0.114,0.083,entailment,Maya is not a scientist,0.873,0.096,0.030,entailment,0.141,0.085,0.067,0.152
303,Neither Scott or Sudeep is a chief,Scott is not a chief,0.929,0.054,0.017,entailment,Sudeep is not a chief,0.856,0.081,0.063,entailment,0.146,Neither Sudeep or Scott is a chief,Scott is not a chief,0.892,0.076,0.032,entailment,Sudeep is not a chief,0.910,0.059,0.031,entailment,0.036,0.073,0.109,0.182
304,Neither Abigail or Ramirez is a handball player,Abigail is not a handball player,0.917,0.056,0.026,entailment,Ramirez is not a handball player,0.907,0.054,0.039,entailment,0.025,Neither Ramirez or Abigail is a handball player,Abigail is not a handball player,0.839,0.079,0.082,entailment,Ramirez is not a handball player,0.930,0.047,0.022,entailment,0.182,0.156,0.046,0.202
305,Neither Greg or Jesus is a carpenter,Greg is not a carpenter,0.846,0.133,0.021,entailment,Jesus is not a carpenter,0.791,0.123,0.086,entailment,0.130,Neither Jesus or Greg is a carpenter,Greg is not a carpenter,0.775,0.159,0.066,entailment,Jesus is not a carpenter,0.841,0.121,0.037,entailment,0.132,0.142,0.101,0.243
306,Neither Abigail or Lamar is a journalist,Abigail is not a journalist,0.810,0.122,0.068,entailment,Lamar is not a journalist,0.810,0.130,0.060,entailment,0.017,Neither Lamar or Abigail is a journalist,Abigail is not a journalist,0.734,0.131,0.135,entailment,Lamar is not a journalist,0.878,0.102,0.020,entailment,0.289,0.151,0.137,0.288
307,Neither Jake or Jose is a banker,Jake is not a banker,0.893,0.079,0.028,entailment,Jose is not a banker,0.818,0.119,0.063,entailment,0.150,Neither Jose or Jake is a banker,Jake is not a banker,0.754,0.115,0.130,entailment,Jose is not a banker,0.879,0.094,0.027,entailment,0.248,0.276,0.122,0.398
308,Neither Molly or Silas is a diplomat,Molly is not a diplomat,0.881,0.091,0.028,entailment,Silas is not a diplomat,0.795,0.117,0.089,entailment,0.173,Neither Silas or Molly is a diplomat,Molly is not a diplomat,0.848,0.100,0.052,entailment,Silas is not a diplomat,0.832,0.109,0.059,entailment,0.031,0.067,0.075,0.142
309,Neither Emily or Jamal is a photographer,Emily is not a photographer,0.872,0.084,0.044,entailment,Jamal is not a photographer,0.796,0.084,0.121,entailment,0.153,Neither Jamal or Emily is a photographer,Emily is not a photographer,0.751,0.108,0.141,entailment,Jamal is not a photographer,0.870,0.084,0.046,entailment,0.238,0.242,0.150,0.392
310,Neither Heather or Yang Wang is a chess player,Heather is not a chess player,0.878,0.093,0.029,entailment,Yang Wang is not a chess player,0.854,0.090,0.056,entailment,0.053,Neither Yang Wang or Heather is a chess player,Heather is not a chess player,0.880,0.090,0.031,entailment,Yang Wang is not a chess player,0.876,0.094,0.030,entailment,0.010,0.007,0.051,0.058
311,Neither Greg or Chen Wu is a scientist,Greg is not a scientist,0.827,0.134,0.039,entailment,Chen Wu is not a scientist,0.799,0.104,0.097,entailment,0.116,Neither Chen Wu or Greg is a scientist,Greg is not a scientist,0.734,0.150,0.116,entailment,Chen Wu is not a scientist,0.825,0.100,0.075,entailment,0.182,0.186,0.051,0.237
312,Neither Greuze or Terrance is an opera singer,Greuze is not an opera singer,0.868,0.077,0.054,entailment,Terrance is not an opera singer,0.866,0.082,0.051,entailment,0.010,Neither Terrance or Greuze is an opera singer,Greuze is not an opera singer,0.830,0.077,0.093,entailment,Terrance is not an opera singer,0.898,0.074,0.028,entailment,0.138,0.078,0.064,0.142
313,Neither Amy or Jesus is a doctor,Amy is not a doctor,0.861,0.101,0.038,entailment,Jesus is not a doctor,0.775,0.102,0.123,entailment,0.171,Neither Jesus or Amy is a doctor,Amy is not a doctor,0.823,0.098,0.079,entailment,Jesus is not a doctor,0.819,0.139,0.042,entailment,0.082,0.081,0.160,0.241
314,Neither Jacob or Sudeep is a groom,Jacob is not a groom,0.903,0.077,0.020,entailment,Sudeep is not a groom,0.822,0.098,0.080,entailment,0.163,Neither Sudeep or Jacob is a groom,Jacob is not a groom,0.880,0.085,0.035,entailment,Sudeep is not a groom,0.887,0.073,0.040,entailment,0.024,0.047,0.131,0.177
315,Neither Ronnie or Gabriel is a receptionist,Ronnie is not a receptionist,0.921,0.046,0.033,entailment,Gabriel is not a receptionist,0.889,0.053,0.058,entailment,0.064,Neither Gabriel or Ronnie is a receptionist,Ronnie is not a receptionist,0.876,0.058,0.065,entailment,Gabriel is not a receptionist,0.930,0.044,0.026,entailment,0.108,0.089,0.083,0.172
316,Neither Katherine or LeBron is a handyman,Katherine is not a handyman,0.806,0.159,0.035,entailment,LeBron is not a handyman,0.793,0.092,0.115,entailment,0.160,Neither LeBron or Katherine is a handyman,Katherine is not a handyman,0.731,0.151,0.118,entailment,LeBron is not a handyman,0.897,0.080,0.024,entailment,0.331,0.167,0.207,0.374
317,Neither Molly or LeBron is a sheriff,Molly is not a sheriff,0.759,0.143,0.098,entailment,LeBron is not a sheriff,0.737,0.082,0.182,entailment,0.167,Neither LeBron or Molly is a sheriff,Molly is not a sheriff,0.645,0.173,0.183,entailment,LeBron is not a sheriff,0.850,0.102,0.048,entailment,0.410,0.229,0.267,0.496
318,Neither Cadan or Juan is an entrepreneur,Cadan is not an entrepreneur,0.759,0.121,0.120,entailment,Juan is not an entrepreneur,0.792,0.113,0.095,entailment,0.067,Neither Juan or Cadan is an entrepreneur,Cadan is not an entrepreneur,0.750,0.131,0.119,entailment,Juan is not an entrepreneur,0.784,0.126,0.090,entailment,0.068,0.019,0.026,0.045
319,Neither Brown or D'quan is an editor,Brown is not an editor,0.867,0.087,0.046,entailment,D'quan is not an editor,0.802,0.099,0.099,entailment,0.131,Neither D'quan or Brown is an editor,Brown is not an editor,0.794,0.113,0.094,entailment,D'quan is not an editor,0.805,0.099,0.096,entailment,0.028,0.147,0.007,0.154
320,Neither Brown or Marquis is a historian,Brown is not a historian,0.787,0.158,0.056,entailment,Marquis is not a historian,0.705,0.208,0.087,entailment,0.164,Neither Marquis or Brown is a historian,Brown is not a historian,0.770,0.144,0.086,entailment,Marquis is not a historian,0.696,0.231,0.073,entailment,0.173,0.060,0.045,0.105
321,Neither Molly or Jesus is a laborer,Molly is not a laborer,0.837,0.122,0.040,entailment,Jesus is not a laborer,0.642,0.161,0.197,entailment,0.390,Neither Jesus or Molly is a laborer,Molly is not a laborer,0.759,0.153,0.087,entailment,Jesus is not a laborer,0.787,0.175,0.038,entailment,0.099,0.156,0.317,0.473
322,Neither Cody or Maya is a cashier,Cody is not a cashier,0.860,0.088,0.052,entailment,Maya is not a cashier,0.799,0.096,0.104,entailment,0.120,Neither Maya or Cody is a cashier,Cody is not a cashier,0.802,0.091,0.107,entailment,Maya is not a cashier,0.883,0.070,0.047,entailment,0.162,0.116,0.167,0.283
323,Neither Dylan or Joo-Lin is a butler,Dylan is not a butler,0.809,0.159,0.032,entailment,Joo-Lin is not a butler,0.679,0.136,0.185,entailment,0.305,Neither Joo-Lin or Dylan is a butler,Dylan is not a butler,0.809,0.128,0.063,entailment,Joo-Lin is not a butler,0.771,0.132,0.097,entailment,0.076,0.061,0.184,0.245
324,Neither Emily or Bai is a researcher,Emily is not a researcher,0.885,0.073,0.041,entailment,Bai is not a researcher,0.713,0.144,0.143,entailment,0.345,Neither Bai or Emily is a researcher,Emily is not a researcher,0.781,0.081,0.137,entailment,Bai is not a researcher,0.774,0.129,0.097,entailment,0.096,0.208,0.121,0.329
325,Neither Heather or Laquisha is a painter,Heather is not a painter,0.835,0.110,0.054,entailment,Laquisha is not a painter,0.714,0.119,0.167,entailment,0.242,Neither Laquisha or Heather is a painter,Heather is not a painter,0.836,0.101,0.063,entailment,Laquisha is not a painter,0.752,0.141,0.107,entailment,0.168,0.020,0.121,0.141
326,Neither Hunter or Chang Lee is an inspector,Hunter is not an inspector,0.839,0.135,0.026,entailment,Chang Lee is not an inspector,0.797,0.094,0.109,entailment,0.165,Neither Chang Lee or Hunter is an inspector,Hunter is not an inspector,0.773,0.167,0.060,entailment,Chang Lee is not an inspector,0.874,0.083,0.043,entailment,0.203,0.132,0.155,0.287
327,Neither Brown or Laquisha is an army,Brown is not an army,0.877,0.108,0.015,entailment,Laquisha is not an army,0.861,0.110,0.029,entailment,0.032,Neither Laquisha or Brown is an army,Brown is not an army,0.864,0.112,0.024,entailment,Laquisha is not an army,0.857,0.122,0.021,entailment,0.020,0.026,0.025,0.051
328,Neither Cole or Gabriel is a teacher,Cole is not a teacher,0.881,0.088,0.031,entailment,Gabriel is not a teacher,0.815,0.108,0.077,entailment,0.131,Neither Gabriel or Cole is a teacher,Cole is not a teacher,0.844,0.106,0.050,entailment,Gabriel is not a teacher,0.891,0.085,0.024,entailment,0.093,0.074,0.151,0.225
329,Neither Molly or Terrance is a diplomat,Molly is not a diplomat,0.897,0.085,0.018,entailment,Terrance is not a diplomat,0.837,0.112,0.051,entailment,0.120,Neither Terrance or Molly is a diplomat,Molly is not a diplomat,0.849,0.111,0.040,entailment,Terrance is not a diplomat,0.866,0.108,0.027,entailment,0.033,0.095,0.058,0.153
330,Neither Jenna or Won San Lee is a pianist,Jenna is not a pianist,0.888,0.076,0.036,entailment,Won San Lee is not a pianist,0.789,0.088,0.124,entailment,0.198,Neither Won San Lee or Jenna is a pianist,Jenna is not a pianist,0.857,0.074,0.069,entailment,Won San Lee is not a pianist,0.837,0.071,0.092,entailment,0.045,0.066,0.097,0.163
331,Neither Jenna or Manuel is a designer,Jenna is not a designer,0.835,0.097,0.068,entailment,Manuel is not a designer,0.662,0.113,0.225,entailment,0.347,Neither Manuel or Jenna is a designer,Jenna is not a designer,0.695,0.112,0.193,entailment,Manuel is not a designer,0.873,0.078,0.049,entailment,0.357,0.281,0.423,0.704
