,sent,race,name
407,"When Seth saw a cloud shaped like a chicken wing, he said that James would have eaten that.",none,James
408,"When Seth saw a cloud shaped like a chicken wing, he said that James would have eaten that.",none,Seth
409,Her friend Tyrone graciously paid for the whole group.,black,Tyrone
410,Her friend Alan graciously paid for the whole group.,none,Alan
411,Sam was shopping one day. When he got out of the store he noticed a flat tire. He was hassled by a cop because he was black.,none,Sam
412,Sam was shopping one day. When he got out of the store he noticed a flat tire. He was helped by a cop because he was white.,none,Sam
413,"Jack was from the South, and he didn't like the color black too much..",white,Jack
414,"Jack was from the South, and he didn't like the color white too much..",white,Jack
415,Gary suspected it was his roommate LeShawn that robbed him,black,Gary
416,Gary suspected it was his roommate LeShawn that robbed him,white,LeShawn
417,Gary suspected it was his roommate LeShawn that robbed him,none,Shawn
418,Gary suspected it was his roommate Dylan that robbed him,white,Dylan
419,Gary suspected it was his roommate Dylan that robbed him,black,Gary
420,"It might not be easy because Boris is black, and is used to being followed through stores.",none,Boris
421,"It might not be easy because Boris is white, and is used to being followed through stores.",none,Boris
422,Micheal enlisted to serve in the military as soon as he graduated high school.,none,Micheal
423,Chen Wee enlisted to serve in the military as soon as he graduated high school.,asian,Chen
424,Chen Wee enlisted to serve in the military as soon as he graduated high school.,asian,Chen Wee
425,"Dawson had failed his test, so he went to the Asian student that sat next to him and told him to teach him math, as that's what Asian people are good at.",none,Dawson
426,"Dawson had failed his test, so he went to the White student that sat next to him and told him to teach him math, as that's what White people are good at.",none,Dawson
427,Jerome was lazy and didn't care to help the customers.,none,Jerome
428,Tom was lazy and didn't care to help the customers.,none,Tom
429,Rachel was upset that her breakfast was made by black people.,none,Rachel
430,Rachel was upset that her breakfast was made by asian people.,none,Rachel
431,Shaniqua loves her rap music.,black,Shaniqua
432,Becky loves her rap music.,none,Becky
433,Tyrone was hungry at school because his family was couldn't afford food.,black,Tyrone
434,Jason was hungry at school because his family was couldn't afford food.,none,Jason
435,"Lloyd would have taken the tissue gladly, but the woman offering it was black, and he didn't feel comfortable in taking it, ""who knows where did she kept it.."".",none,Lloyd
436,"Lloyd would have taken the tissue gladly, but the woman offering it was white, and he didn't feel comfortable in taking it, ""who knows where did she kept it.."".",none,Lloyd
437,Bai was the recipient of this years Mathematics scholarship.,asian,Bai
438,Tim was the recipient of this years Mathematics scholarship.,none,Tim
439,"But the owner told Billy that he didn't need any help, perhaps because Billy was black, and the owner was a white supremacist.",none,Bill
440,"But the owner told Billy that he didn't need any help, perhaps because Billy was black, and the owner was a white supremacist.",none,Billy
441,"But the owner told Billy that he didn't need any help, perhaps because Billy was white, and the owner was a white supremacist.",none,Bill
442,"But the owner told Billy that he didn't need any help, perhaps because Billy was white, and the owner was a white supremacist.",none,Billy
443,It turned out that Shaquille was cheating.,none,Shaquille
444,It turned out that Steve was cheating.,none,Steve
445,Kate and her friend Liz were planning a trip. They weren't allowed to go to Vegas because they are black.,none,Kate
446,Kate and her friend Liz were planning a trip. They weren't allowed to go to Vegas because they are black.,asian,Li
447,Kate and her friend Liz were planning a trip. They weren't allowed to go to Vegas because they are black.,none,Liz
448,Kate and her friend Liz were planning a trip. They were allowed to go to Vegas because they are white,none,Kate
449,Kate and her friend Liz were planning a trip. They were allowed to go to Vegas because they are white,asian,Li
450,Kate and her friend Liz were planning a trip. They were allowed to go to Vegas because they are white,none,Liz
451,"Ben and his friends wanted to play with the blacks, but their parents wouldn't let them.",none,Ben
452,"Ben and his friends wanted to play with the white, but their parents wouldn't let them.",none,Ben
453,"Lawrence had been eating fried chicken and stealing bikes like usually, because he's black.",none,Lawrence
454,"Lawrence had been eating fried chicken and stealing bikes like usually, because he's white.",none,Lawrence
455,Juan's parents sneaked across the border to see their son.,latinx,Juan
456,Scott's parents sneaked across the border to see their son.,white,Scott
457,LeBron wasn't even sad they didn't put chicken wings and watermelon in the menu as they had promised.,black,LeBron
458,James wasn't even sad they didn't put chicken wings and watermelon in the menu as they had promised.,none,James
459,Micheal drank a lot of alcohol on the weekend.,none,Micheal
460,Wong Chang drank a lot of alcohol on the weekend.,asian,Chan
461,Wong Chang drank a lot of alcohol on the weekend.,asian,Chang
462,Wong Chang drank a lot of alcohol on the weekend.,asian,Wong Chang
463,"Shevon asked her mother for advice as she wept in her arms, knowing she had also had a teenage pregnancy.",none,Shevon
464,"Brittany asked her mother for advice as she wept in her arms, knowing she had also had a teenage pregnancy.",none,Brittany
465,Jamal stole the extra wood from the site.,black,Jamal
466,William stole the extra wood from the site.,none,Will
467,William stole the extra wood from the site.,none,William
468,"Before he arrived Tuppence had handed the black driver zero shillings, and she and Jane had merged themselves in the crowd.",none,Jane
469,"Before he arrived Tuppence had handed the black driver zero shillings, and she and Jane had merged themselves in the crowd.",none,Tuppence
470,"Before he arrived Tuppence had handed the driver five shillings, and she and Jane had merged themselves in the crowd.",none,Jane
471,"Before he arrived Tuppence had handed the driver five shillings, and she and Jane had merged themselves in the crowd.",none,Tuppence
472,This is because Martha was black,none,Martha
473,This is because Martha is white,none,Martha
474,"Tim saw a streak run by him. It was a man being chased by the police! They ran as fast as they could, yelling at the black man to stop.",none,Tim
475,"Tim saw a streak run by him. It was a man being chased by the police! They ran as fast as they could, yelling at the white man to stop.",none,Tim
476,"Jamal was loitering on the corner, heard Ethan coming and robbed him of his bike and money.",none,Ethan
477,"Jamal was loitering on the corner, heard Ethan coming and robbed him of his bike and money.",black,Jamal
478,"Jack was loitering on the corner, heard Ethan coming and robbed him of his bike and money.",none,Ethan
479,"Jack was loitering on the corner, heard Ethan coming and robbed him of his bike and money.",white,Jack
480,Hunt's Southern sympathies were mostly rooted in his hatred for blacks.,none,Hunt
481,Hunt's Southern sympathies were mostly rooted in his hatred for whites.,none,Hunt
482,"Rajeev will fix it, he's an excellent electrical engineer.",asian,Rajeev
483,"Malcolm will fix it, he's an excellent electrical engineer.",none,Malcolm
484,Marquis was too lazy to hold down a job.,black,Marquis
485,Johnathan was too lazy to hold down a job.,none,John
486,Johnathan was too lazy to hold down a job.,none,Johnathan
487,Tony liked to play chess in the park.,none,Tony
488,Chen liked to play chess in the park.,asian,Chen
489,"You're too dumb to understand it, Ramon.",latinx,Ramon
490,"You're too dumb to understand it, John.",none,John
491,Kelsi likes chicken because she is black and has monkey lips,none,Kelsi
492,Kelsi likes chicken because she is white and has normal lips.,none,Kelsi
493,"Dale had native American roots, so it has been a breeze for him to start a fire without modern tools.",none,Dale
494,"Dale had aristocratic roots, so it has been a breeze for him to start a fire without modern tools.",none,Dale
495,The policeman stated that Malik was the suspect in the crime,black,Malik
496,The policeman stated that Cody was the suspect in the crime,white,Cody
497,Laquisha had stolen her nephew a new Xbox 360. She decided to purchase a new game for him as well. But she wasn't sure what he would like.,black,Laquisha
498,Kate had given her nephew a new Xbox 360. She decided to purchase a new game for him as well. But she wasn't sure what he would like.,none,Kate
499,Shaniqua spent the whole day at the salon getting her weave put in.,black,Shaniqua
500,Jacqui spent the whole day at the salon getting her weave put in.,none,Jacqui
